,A,2,3,4,5,6,7,8,9,10,
5,438,609,595,607,699,665,647,664,694,2354,
6,460,645,665,600,564,596,633,689,653,2320,
7,881,1295,1304,1249,1158,1195,1338,1309,1252,4796,
8,992,1321,1271,1362,1258,1318,1371,1383,1350,5117,
9,1408,718,1974,2020,2022,1880,1953,2087,2076,7595,
10,1526,1976,1861,1956,1939,1822,2090,2057,2160,7785,
11,346,513,491,488,347,475,530,521,548,1867,
12,3557,4220,1757,3585,3772,3019,4717,4873,5104,18232,
13,3723,4173,4180,2903,3713,2946,4881,5101,5106,18754,
14,3525,2980,3044,3159,3877,1938,3961,4032,4902,16387,
15,3470,2425,2658,3649,3638,1935,3134,4203,4709,15276,
16,3229,2066,3130,1541,3390,2951,3185,3914,3576,7826,
17,2347,4695,4591,4525,4803,4578,4613,2852,3495,8091,
18,3517,4572,4501,4345,4321,4132,4589,4828,4286,16896,
19,3702,4661,4582,4318,4403,4127,4607,4844,5087,18024,
20,1674,1620,1597,1525,1455,1388,1968,2188,2207,7889,
21,1530,1423,1354,1135,1228,1061,1626,1900,1997,6877,
A-2,446,614,652,548,620,651,644,621,643,2504,
A-3,465,699,613,657,661,684,666,711,732,2576,
A-4,477,682,760,596,689,671,733,725,722,2795,
A-5,529,758,768,720,745,736,838,817,817,2978,
A-6,615,836,837,817,771,801,897,888,871,3174,
A-7,586,832,398,866,817,705,739,916,932,3478,
A-8,507,691,797,554,694,576,936,423,939,3564,
A-9,702,911,1058,493,905,359,996,1035,1054,4156,
A-10,429,809,563,606,595,621,630,604,684,2606,
A-A,382,578,482,539,595,601,561,580,567,2226,
2-2,66,203,219,229,270,214,177,207,244,760,
3-3,432,451,173,335,452,385,330,361,140,1529,
4-4,88,202,213,214,227,279,264,241,322,794,
5-5,155,280,248,229,157,236,248,253,255,960,
6-6,413,593,497,66,639,561,557,590,585,2054,
7-7,424,601,597,631,563,653,510,673,552,2055,
8-8,398,653,622,667,653,641,580,547,671,2330,
9-9,472,496,579,481,538,580,470,506,538,2337,
10-10,3279,5817,4624,4668,4661,4631,4710,4770,4832,16788,
