,A,2,3,4,5,6,7,8,9,10,
5,[-0.099529 0.021242 -0.176765  _ ],[-0.074657 0.055411 -0.082452  _ ],[-0.061111 0.060046 -0.119464  _ ],[-0.032433 0.066732 -0.088214  _ ],[-0.034826 0.080823 -0.062927  _ ],[-0.012429 0.086417 -0.037596  _ ],[-0.091750 0.064564 -0.193360  _ ],[-0.080100 0.057507 -0.216830  _ ],[-0.081919 0.033127 -0.159184  _ ],[-0.279896 0.070651 -0.631461  _ ],
6,[-0.085763 0.020980 -0.155419  _ ],[-0.043195 0.049868 -0.089778  _ ],[-0.068183 0.058761 -0.065237  _ ],[-0.028468 0.060367 -0.063978  _ ],[-0.026344 0.065464 -0.027602  _ ],[-0.038409 0.081289 -0.069302  _ ],[-0.092490 0.061600 -0.147065  _ ],[-0.089931 0.050419 -0.158115  _ ],[-0.095017 0.030305 -0.173407  _ ],[-0.298216 0.067323 -0.601688  _ ],
7,[-0.177185 0.028423 -0.329413  _ ],[-0.119911 0.068330 -0.142192  _ ],[-0.102053 0.076889 -0.123019  _ ],[-0.076776 0.082713 -0.133183  _ ],[-0.076657 0.093641 -0.080863  _ ],[-0.077120 0.108328 -0.100727  _ ],[-0.165633 0.092530 -0.175991  _ ],[-0.154653 0.059788 -0.313552  _ ],[-0.175273 0.037115 -0.438512  _ ],[-0.434715 0.059916 -0.771683  _ ],
8,[-0.165858 0.031908 -0.178521  _ ],[-0.098451 0.113112 -0.028950  _ ],[-0.074639 0.108094 -0.103685  _ ],[-0.079246 0.136358 -0.029942  _ ],[-0.059577 0.121944 0.023113  _ ],[-0.060646 0.024890 0.127640  _ ],[-0.182989 0.204397 -0.090784  _ ],[-0.152244 0.100103 -0.167276  _ ],[-0.201110 0.037392 -0.230037  _ ],[-0.439276 0.048739 -0.618049  _ ],
9,[-0.239819 0.119092 -0.158238  _ ],[-0.161845 0.189264 0.043029  _ ],[-0.123668 0.207193 0.036998  _ ],[-0.089334 0.036845 0.205468  _ ],[-0.042578 0.046022 0.275202  _ ],[-0.012007 0.046469 0.267864  _ ],[-0.206904 0.286261 0.053553  _ ],[-0.236543 0.265481 0.047960  _ ],[-0.257171 0.156156 -0.160515  _ ],[-0.489755 0.088834 -0.423429  _ ],
10,[-0.254983 0.229527 -0.022663  _ ],[-0.147120 0.039191 0.361229  _ ],[-0.111781 0.036793 0.399434  _ ],[-0.080533 0.038939 0.505077  _ ],[-0.065300 0.040031 0.596693  _ ],[-0.053206 0.041480 0.531022  _ ],[-0.217256 0.049994 0.437699  _ ],[-0.234114 0.043673 0.222498  _ ],[-0.264408 0.037181 0.151210  _ ],[-0.510534 0.249026 0.043153  _ ],
11,[-0.043205 0.205708 -0.002557  _ ],[-0.032483 0.011990 0.435439  _ ],[-0.027409 0.009776 0.419226  _ ],[-0.016693 0.010152 0.456766  _ ],[-0.009035 0.008428 0.458532  _ ],[-0.006389 0.011484 0.378618  _ ],[-0.037926 0.014626 0.385936  _ ],[-0.049451 0.011433 0.271784  _ ],[-0.054750 0.010341 0.220841  _ ],[-0.186275 0.330466 0.088335  _ ],
12,[-0.415532 -0.174207 -0.382566  _ ],[-0.235089 -0.165759 -0.236829  _ ],[-0.222168 -0.201415 -0.221076  _ ],[-0.210518 -0.211517 -0.082104  _ ],[-0.157100 -0.197627 -0.049921  _ ],[-0.168000 -0.195247 -0.101472  _ ],[-0.371788 -0.126441 -0.198750  _ ],[-0.423211 -0.145036 -0.270410  _ ],[-0.427361 -0.153215 -0.323948  _ ],[-0.556309 -0.188906 -0.521117  _ ],
13,[-0.480688 -0.225095 -0.354173  _ ],[-0.291562 -0.253709 -0.289100  _ ],[-0.256443 -0.245254 -0.254875  _ ],[-0.221883 -0.277652 -0.178209  _ ],[-0.166572 -0.265585 -0.185647  _ ],[-0.176202 -0.262808 -0.075624  _ ],[-0.353915 -0.220694 -0.258503  _ ],[-0.415257 -0.209753 -0.300823  _ ],[-0.454718 -0.249944 -0.300045  _ ],[-0.551303 -0.251880 -0.527648  _ ],
14,[-0.446823 -0.309668 -0.368801  _ ],[-0.284016 -0.314218 -0.319942  _ ],[-0.262795 -0.317335 -0.285041  _ ],[-0.217933 -0.306832 -0.221856  _ ],[-0.175440 -0.309523 -0.201424  _ ],[-0.122113 -0.292927 -0.181546  _ ],[-0.351797 -0.313266 -0.201527  _ ],[-0.421164 -0.283336 -0.337543  _ ],[-0.435995 -0.316015 -0.371874  _ ],[-0.553285 -0.341154 -0.420969  _ ],
