,A,2,3,4,5,6,7,8,9,10,
19,[0.231363 -0.739627 -0.539048  _ ],[0.387352 -0.758958 -0.735499  _ ],[0.426834 -0.698918 -0.693705  _ ],[0.409741 -0.650717 -0.562781  _ ],[0.589645 -0.699812 -0.697782  _ ],[0.398414 -0.708348 -0.688090  _ ],[0.608851 -0.714735 -0.501455  _ ],[0.534555 -0.719244 -0.613135  _ ],[0.252793 -0.624410 -0.580091  _ ],[0.146458 -0.746505 -0.632772  _ ],
20,[0.635606 -0.834425 -0.774771  _ ],[0.649769 -0.820464 -0.667437  _ ],[0.624196 -0.855074 -0.731458  _ ],[0.621552 -0.776521 -0.744018  _ ],[0.669671 -0.786843 -0.679208  _ ],[0.733232 -0.804911 -0.720597  _ ],[0.769507 -0.763489 -0.695689  _ ],[0.806249 -0.859183 -0.768556  _ ],[0.717578 -0.817557 -0.687229  _ ],[0.661595 -0.834215 -0.693288  _ ],
21,[0.932060 -0.973167 0.000000  _ ],[0.833693 -0.986588 0.000000  _ ],[0.873817 -0.976453 0.000000  _ ],[0.923051 -0.967193 0.000000  _ ],[0.902897 -0.969728 0.000000  _ ],[0.900530 -0.980547 0.000000  _ ],[0.921807 -0.986986 0.000000  _ ],[0.910364 -0.987624 0.000000  _ ],[0.897310 -0.992127 0.000000  _ ],[0.940753 -1.000000 0.000000  _ ],
A-2,[-0.446582 0.173463 -0.309213  _ ],[-0.272144 0.220683 -0.018526  _ ],[-0.103684 0.201461 -0.096510  _ ],[-0.160325 0.229682 -0.077169  _ ],[-0.048887 0.221371 0.101464  _ ],[0.022944 0.265591 0.135361  _ ],[-0.399656 0.292333 -0.201846  _ ],[-0.347266 0.232379 -0.380071  _ ],[-0.433365 0.175700 -0.573043  _ ],[-0.659143 0.197190 -0.474750  _ ],
A-3,[-0.386606 0.138134 -0.547675  _ ],[-0.175972 0.211747 -0.264322  _ ],[-0.256865 0.199995 0.072893  _ ],[-0.191607 0.209651 -0.013080  _ ],[-0.154455 0.235772 -0.019737  _ ],[-0.253305 0.235421 0.136848  _ ],[-0.390561 0.269009 -0.220884  _ ],[-0.374026 0.250838 -0.305924  _ ],[-0.469596 0.218709 -0.149520  _ ],[-0.556147 0.166965 -0.294027  _ ],
A-4,[-0.421991 0.156634 -0.438393  _ ],[-0.128335 0.196966 -0.084518  _ ],[-0.156686 0.178960 0.110421  _ ],[0.031807 0.174356 0.089094  _ ],[-0.204163 0.175267 -0.282640  _ ],[-0.128035 0.211517 -0.083020  _ ],[-0.434199 0.244167 0.116324  _ ],[-0.402227 0.209727 -0.457702  _ ],[-0.534192 0.157769 -0.419304  _ ],[-0.635505 0.147671 -0.313868  _ ],
A-5,[-0.412222 0.149187 -0.249219  _ ],[-0.227736 0.172037 -0.299706  _ ],[-0.150202 0.197697 0.024378  _ ],[-0.151740 0.164152 -0.174332  _ ],[-0.044003 0.173287 0.072826  _ ],[-0.171467 0.222611 0.120332  _ ],[-0.399758 0.250875 0.039195  _ ],[-0.417871 0.210869 -0.421991  _ ],[-0.476308 0.167176 -0.117669  _ ],[-0.593735 0.140020 -0.468749  _ ],
A-6,[-0.378863 0.145854 -0.519783  _ ],[-0.072115 0.149417 -0.036779  _ ],[0.055286 0.148157 0.132007  _ ],[0.015270 0.213262 0.111077  _ ],[0.048025 0.203176 -0.033321  _ ],[-0.135032 0.100927 0.367026  _ ],[-0.039004 0.210156 -0.191975  _ ],[-0.343507 0.196563 -0.328607  _ ],[-0.332780 0.140687 -0.232813  _ ],[-0.432772 0.144929 -0.654783  _ ],
A-7,[-0.146732 0.103337 -0.358706  _ ],[0.047702 0.198303 0.102828  _ ],[0.084199 0.174185 0.123236  _ ],[0.118830 0.246113 0.105550  _ ],[0.116096 0.241455 0.123734  _ ],[0.226468 0.174092 0.188140  _ ],[0.533327 0.226350 -0.208421  _ ],[0.075747 0.229355 0.052830  _ ],[-0.204679 0.161979 -0.223869  _ ],[-0.160624 0.126644 -0.275428  _ ],
A-8,[0.129573 0.183243 -0.250354  _ ],[0.394123 0.172098 0.006755  _ ],[0.387758 0.195941 0.233919  _ ],[0.401101 0.207034 0.123768  _ ],[0.438591 0.201276 0.290935  _ ],[0.475845 0.239257 0.218777  _ ],[0.629435 0.297819 0.216133  _ ],[0.581073 0.260941 -0.045669  _ ],[0.147958 0.211003 -0.136916  _ ],[-0.008282 0.143771 -0.112710  _ ],
