,A,2,3,4,5,6,7,8,9,10,
5,1792,2643,2657,2889,2881,2779,2752,2806,2727,10177,
6,1897,2499,2881,2539,2755,2603,2635,2587,2787,10101,
7,3631,5313,5545,5447,5505,5413,5424,5393,5438,20474,
8,3920,5490,5594,5800,3014,5709,5661,5748,5760,21344,
9,6016,8534,1641,8724,8896,8638,7551,8518,8818,33090,
10,6347,9225,9431,9367,9388,9304,9251,9095,9427,34946,
11,1915,2843,2558,2402,2311,2136,2555,2789,2957,10627,
12,15643,18689,16304,13759,18177,18690,20712,20814,21656,85806,
13,16428,17539,9737,17364,20278,16499,22461,23013,23787,93337,
14,15686,17346,15177,14226,11583,4989,16622,18348,21851,89645,
15,16157,16997,17958,17313,17585,3073,23703,23159,18177,95769,
16,15034,14621,2916,15852,16083,10962,20650,21403,20941,60603,
17,14598,19909,17753,17089,15659,15691,21001,20291,20431,98336,
18,15448,16404,13743,13641,12006,12765,17828,17394,20364,87359,
19,14709,16245,12203,11308,11010,10244,16779,17975,19037,87684,
20,7259,3426,1331,871,467,457,4636,4825,6695,44076,
21,5755,3121,1368,968,486,470,4738,4957,6743,35751,
A-2,1769,2616,2866,2313,2776,2872,2871,2845,2818,10233,
A-3,1866,2926,2917,2252,2841,2846,2973,2969,2977,10806,
A-4,1976,3009,3117,1126,2720,2560,3064,3106,3199,11668,
A-5,2219,3424,3430,1732,2314,2818,3511,3494,3520,12869,
A-6,2624,3071,3621,3167,3335,2913,3666,3941,3950,14199,
A-7,2522,4268,4314,3844,3611,3184,4190,4344,4281,16209,
A-8,2998,4329,4464,4090,3267,3372,4537,4272,4796,15877,
A-9,3179,4554,4045,3672,3187,2764,4424,4519,4941,19383,
A-10,1950,2009,2034,1627,1159,917,1999,1958,2251,12374,
A-A,1654,2790,2735,2604,2232,2726,2751,2803,2641,10153,
2-2,1894,2442,2674,2701,2888,2669,2738,2806,2637,9670,
3-3,803,2803,2477,2803,3123,2724,2625,2749,2552,9587,
4-4,1861,1083,2689,1006,2906,1126,1167,1160,2674,9963,
5-5,819,1164,1132,1062,1007,1214,1121,1159,1158,4236,
6-6,1699,2756,2807,2793,2786,2407,2651,2649,2638,9872,
7-7,1889,2635,2742,2867,2818,2743,2371,2705,2623,9792,
8-8,1902,2847,2718,2887,2746,2596,2753,2255,2622,9737,
9-9,1795,2824,2860,2423,2819,1143,1115,2607,2340,9846,
10-10,13363,19445,19327,19248,19203,19229,18959,19120,19032,68326,
