,A,2,3,4,5,6,7,8,9,10,
5,[104 1792 104 0],[155 2643 148 0],[159 2657 145 0],[173 2889 152 0],[192 2881 205 0],[192 2779 187 0],[151 2752 152 0],[171 2806 163 0],[177 2727 171 0],[588 10177 633 0],
6,[124 1897 112 0],[152 2499 163 0],[171 2881 167 0],[152 2539 141 0],[184 2755 168 0],[161 2603 176 0],[148 2635 173 0],[181 2587 156 0],[184 2787 171 0],[620 10101 598 0],
7,[225 3631 230 0],[304 5313 330 0],[316 5545 367 0],[321 5447 311 0],[311 5505 319 0],[349 5413 319 0],[339 5424 352 0],[348 5393 316 0],[329 5438 362 0],[1272 20474 1205 0],
8,[225 3920 245 0],[315 5490 356 0],[327 5594 355 0],[346 5800 350 0],[381 3014 3020 0],[335 5709 312 0],[334 5661 322 0],[354 5748 343 0],[358 5760 324 0],[1325 21344 1261 0],
9,[390 6016 382 0],[536 8534 537 0],[507 1641 7821 0],[513 455 8724 0],[536 520 8896 0],[510 530 8638 0],[507 7551 1583 0],[550 8518 547 0],[572 8818 509 0],[1906 33090 1924 0],
10,[397 6347 423 0],[514 531 9225 0],[542 534 9431 0],[559 569 9367 0],[500 555 9388 0],[542 549 9304 0],[548 506 9251 0],[530 518 9095 0],[548 541 9427 0],[1986 34946 1961 0],
11,[66 1915 53 0],[86 96 2843 0],[77 80 2558 0],[95 74 2402 0],[61 74 2311 0],[91 75 2136 0],[92 70 2555 0],[81 83 2789 0],[104 101 2957 0],[350 10627 459 0],
12,[900 15643 885 0],[1291 18689 3638 0],[3370 4592 16304 0],[2797 6388 13759 0],[3548 1278 18177 0],[2151 1196 18690 0],[1245 20712 1821 0],[1246 20814 2223 0],[1257 21656 1230 0],[4817 85806 4881 0],
13,[931 16428 1269 0],[2749 17539 6162 0],[6023 8561 9737 0],[5517 1538 17364 0],[20278 1315 1649 0],[4616 1259 16499 0],[1276 22461 2446 0],[1349 23013 2092 0],[1350 23787 1537 0],[4990 93337 5104 0],
14,[882 15686 1393 0],[4719 1856 17346 0],[15177 1389 5999 0],[14226 1089 4507 0],[11583 1137 7098 0],[12702 1122 4989 0],[1159 16622 6533 0],[1198 18348 4700 0],[1203 21851 2274 0],[4522 89645 4882 0],
