,A,2,3,4,5,6,7,8,9,10,
5,782,1176,1171,1273,1281,1167,1140,1178,1171,4343,
6,814,1079,1178,1039,1079,1132,1157,1166,1215,4281,
7,1597,2392,2304,2334,2331,2242,2327,2274,2456,8667,
8,1668,2363,2318,1594,2189,2420,2493,2448,2531,9160,
9,2599,3768,3681,3656,3713,3690,3677,3761,3845,13998,
10,2313,3941,3984,3922,4013,3889,3999,3917,4016,14600,
11,782,1034,853,780,799,647,804,1115,1260,4207,
12,4285,5034,2844,1729,3292,8629,6124,4589,2862,32486,
13,4001,4156,4150,5204,6088,6114,3187,2979,4525,29447,
14,2125,3814,4351,4039,4529,3943,5830,2577,3211,13260,
15,2902,4471,4439,3719,3345,4650,6644,3081,4886,16683,
16,3423,3912,4397,3338,5092,2901,5348,5044,2839,12911,
17,2908,6959,6229,6765,7012,6553,6600,2011,4402,15541,
18,5063,6427,6106,5641,5733,5141,6295,6530,6671,30638,
19,5307,6172,5158,4916,4887,4827,5340,6686,6908,29372,
20,1952,951,819,608,599,456,1035,1556,1839,12665,
21,1323,1033,849,670,626,537,1052,1492,2087,8891,
A-2,734,1144,1108,1070,1199,1074,1205,1197,1212,4477,
A-3,790,1319,1134,1112,1210,1274,1172,1273,1235,4715,
A-4,882,1291,1164,1063,1117,1193,1324,1296,1388,4853,
A-5,862,1351,1412,1231,1125,1295,1452,1492,1482,5379,
A-6,1092,1276,1598,1275,1245,1233,1503,1665,1608,5932,
A-7,1138,1788,1627,1275,1388,1362,1682,1804,1719,6686,
A-8,1237,1803,1635,1399,1461,1351,1811,1762,1880,7370,
A-9,1288,1842,1472,1253,1270,1180,1595,1918,1994,7670,
A-10,736,853,441,240,225,226,806,849,949,4596,
A-A,628,1083,143,502,493,477,1082,1183,1219,4128,
2-2,710,940,1151,1112,1160,1107,1070,1149,1123,4148,
3-3,728,1200,1001,1145,1166,814,481,1084,1004,4051,
4-4,825,421,500,378,507,455,480,524,1112,1782,
5-5,288,501,485,423,431,470,514,478,488,1825,
6-6,795,1090,1140,1138,177,804,1062,1016,1124,4226,
7-7,782,1090,1016,1153,1149,1081,1045,1118,1177,4051,
8-8,735,1026,1269,1133,1260,1106,1121,961,1077,4036,
9-9,852,492,471,470,536,496,464,456,1006,4217,
10-10,5727,8089,8236,8365,8354,8357,8323,8176,8379,29387,
