,A,2,3,4,5,6,7,8,9,10,
5,[115 782 115 0],[174 1176 167 0],[162 1171 161 0],[169 1273 171 0],[199 1281 174 0],[165 1167 183 0],[179 1140 183 0],[160 1178 188 0],[183 1171 195 0],[620 4343 698 0],
6,[120 814 106 0],[155 1079 165 0],[182 1178 161 0],[151 1039 169 0],[166 1079 205 0],[176 1132 150 0],[189 1157 149 0],[175 1166 180 0],[164 1215 186 0],[589 4281 641 0],
7,[247 1597 224 0],[328 2392 331 0],[335 2304 351 0],[354 2334 327 0],[302 2331 338 0],[355 2242 321 0],[342 2327 319 0],[355 2274 360 0],[325 2456 333 0],[1160 8667 1195 0],
8,[232 1668 245 0],[343 2363 414 0],[322 2318 473 0],[330 1594 1230 0],[365 2189 472 0],[316 323 2420 0],[333 2493 331 0],[342 2448 330 0],[355 2531 354 0],[1200 9160 1272 0],
9,[378 2599 369 0],[510 3768 527 0],[539 553 3681 0],[513 532 3656 0],[519 518 3713 0],[512 497 3690 0],[515 523 3677 0],[536 3761 562 0],[526 3845 518 0],[1970 13998 1962 0],
10,[382 2313 983 0],[525 574 3941 0],[533 524 3984 0],[538 559 3922 0],[537 549 4013 0],[550 504 3889 0],[517 521 3999 0],[540 522 3917 0],[528 556 4016 0],[2001 14600 2104 0],
11,[82 62 782 0],[84 87 1034 0],[72 82 853 0],[77 84 780 0],[72 79 799 0],[70 68 647 0],[72 86 804 0],[82 97 1115 0],[102 1260 92 0],[359 328 4207 0],
12,[1737 4285 2519 0],[3482 2989 5034 0],[2844 2349 6193 0],[2543 1729 6712 0],[3292 1710 6425 0],[1264 1326 8629 0],[1897 3426 6124 0],[2378 4928 4589 0],[2862 5962 3264 0],[5933 32486 7159 0],
13,[1980 4001 3005 0],[4156 3127 5072 0],[4150 2418 5064 0],[4492 1604 5204 0],[3860 1533 6088 0],[3723 1425 6114 0],[2283 3187 6369 0],[2979 4072 5400 0],[3107 5170 4525 0],[8275 29447 10759 0],
14,[2125 3140 2941 0],[3814 2267 4863 0],[4351 2039 3925 0],[4066 1589 4039 0],[3683 1298 4529 0],[4216 1089 3943 0],[2294 2482 5830 0],[2577 3228 5125 0],[3211 4081 4308 0],[10370 20438 13260 0],
15,[2254 2902 3238 0],[4471 2043 4656 0],[4528 1887 4439 0],[4658 1637 3719 0],[5117 1407 3345 0],[4650 1169 3955 0],[2269 2124 6644 0],[3126 3081 5375 0],[3404 3689 4886 0],[12382 16683 17748 0],
16,[2067 2205 3423 0],[3912 1740 4258 0],[4397 1580 3462 0],[4305 1379 3338 0],[5092 1248 2534 0],[4381 1065 2901 0],[2439 1821 5348 0],[2684 2460 5044 0],[3176 2839 4699 0],[12911 11554 18474 0],
17,[2908 1795 3402 0],[6959 1152 2050 0],[6229 1040 2057 0],[6765 1076 1299 0],[7012 1018 1077 0],[6553 1000 1000 0],[6600 1148 2023 0],[3439 2011 5129 0],[4402 2519 4261 0],[20042 8444 15541 0],
18,[5063 651 872 0],[6427 952 918 0],[6106 890 940 0],[5641 868 933 0],[5733 953 870 0],[5141 904 868 0],[6295 926 1014 0],[6530 937 910 0],[6671 1187 1871 0],[30638 3867 4080 0],
19,[5307 694 678 0],[6172 968 911 0],[5158 916 961 0],[4916 958 902 0],[4887 940 998 0],[4827 935 877 0],[5340 928 958 0],[6686 1012 998 0],[6908 986 949 0],[29372 3768 3735 0],
20,[1952 236 217 0],[951 260 270 0],[819 239 260 0],[608 225 244 0],[599 251 256 0],[456 253 214 0],[1035 255 236 0],[1556 275 291 0],[1839 306 284 0],[12665 1426 1458 0],
21,[1323 346 0 0],[1033 315 0 0],[849 354 0 0],[670 357 0 0],[626 325 0 0],[537 319 0 0],[1052 370 0 0],[1492 344 0 0],[2087 424 0 0],[8891 1698 0 0],
A-2,[106 734 99 0],[156 1144 160 0],[156 1108 156 0],[169 161 1070 0],[158 160 1199 0],[168 1074 167 0],[167 1205 164 0],[177 1197 176 0],[182 1212 171 0],[645 4477 627 0],
A-3,[116 790 116 0],[178 1319 174 0],[165 1134 186 0],[171 1112 170 0],[176 182 1210 0],[152 182 1274 0],[161 1172 193 0],[183 1273 206 0],[181 1235 160 0],[668 4715 672 0],
A-4,[114 882 125 0],[192 1291 183 0],[179 1164 209 0],[147 169 1063 0],[175 151 1117 0],[194 171 1193 0],[172 1324 166 0],[180 1296 173 0],[186 1388 177 0],[671 4853 708 0],
A-5,[117 862 105 0],[189 1351 301 0],[206 1412 209 0],[188 236 1231 0],[165 1125 178 0],[180 178 1295 0],[216 1452 245 0],[183 1492 209 0],[183 1482 189 0],[671 5379 740 0],
A-6,[126 1092 159 0],[201 1276 520 0],[191 196 1598 0],[181 200 1275 0],[197 185 1245 0],[166 182 1233 0],[229 1503 329 0],[180 1665 206 0],[216 1608 210 0],[748 5932 740 0],
A-7,[140 1138 127 0],[1788 198 213 0],[1627 213 213 0],[254 190 1275 0],[190 224 1388 0],[187 168 1362 0],[1682 223 221 0],[207 183 1804 0],[194 1719 227 0],[776 6686 794 0],
A-8,[1237 160 129 0],[1803 187 225 0],[1635 196 219 0],[1399 214 198 0],[208 157 1461 0],[1351 195 220 0],[1811 229 212 0],[1762 234 225 0],[1880 241 199 0],[7370 884 828 0],
A-9,[1288 136 138 0],[1842 235 218 0],[1472 215 230 0],[1253 207 189 0],[220 201 1270 0],[193 219 1180 0],[1595 226 228 0],[1918 209 233 0],[1994 215 227 0],[7670 873 894 0],
A-10,[736 69 68 0],[853 97 104 0],[441 101 88 0],[240 82 109 0],[225 82 93 0],[226 102 84 0],[806 102 99 0],[849 106 108 0],[949 117 137 0],[4596 488 517 0],
A-A,[31 27 41 628],[77 48 60 1083],[66 64 471 143],[64 48 502 130],[56 61 493 121],[61 62 477 151],[64 65 97 1082],[63 58 66 1183],[64 68 58 1219],[212 233 218 4128],
2-2,[43 55 35 710],[55 67 55 940],[62 101 58 1151],[72 70 62 1112],[69 64 91 1160],[64 63 60 1107],[56 54 73 1070],[52 63 59 1149],[53 50 49 1123],[227 201 210 4148],
3-3,[46 50 29 728],[55 50 73 1200],[49 53 45 1001],[85 50 54 1145],[52 73 55 1166],[53 67 191 814],[53 481 47 111],[53 69 63 1084],[70 58 60 1004],[202 240 210 4051],
4-4,[41 53 46 825],[68 421 63 96],[70 500 71 138],[60 67 378 85],[45 507 65 83],[68 455 98 126],[56 480 55 123],[54 524 68 118],[58 70 56 1112],[231 1782 211 412],
5-5,[53 288 70 77],[62 58 501 123],[59 47 485 107],[59 94 423 97],[42 61 431 90],[70 52 470 110],[57 45 514 143],[62 478 101 112],[58 47 488 129],[224 1825 219 409],
6-6,[43 50 51 795],[69 48 88 1090],[54 63 52 1140],[65 62 65 1138],[53 67 475 177],[94 38 56 804],[42 66 69 1062],[54 62 56 1016],[75 61 42 1124],[214 244 179 4226],
7-7,[43 39 45 782],[57 63 68 1090],[61 55 102 1016],[58 67 76 1153],[71 53 49 1149],[41 39 124 1081],[43 42 44 1045],[55 71 65 1118],[60 74 51 1177],[213 224 207 4051],
8-8,[35 49 39 735],[56 60 60 1026],[50 53 79 1269],[41 52 51 1133],[54 57 54 1260],[63 61 66 1106],[55 66 61 1121],[51 45 45 961],[64 62 65 1077],[228 219 217 4036],
9-9,[51 39 49 852],[492 51 53 103],[471 53 65 100],[470 58 64 119],[536 66 67 118],[496 56 73 132],[464 76 51 112],[456 60 63 117],[55 55 40 1006],[204 237 212 4217],
10-10,[5727 741 757 1459],[8089 992 1062 2117],[8236 1028 1062 2033],[8365 1074 1016 2158],[8354 1022 1015 2054],[8357 1024 967 2143],[8323 1013 1012 2204],[8176 1044 1079 2105],[8379 967 1115 2091],[29387 3614 3757 7859],
