,A,2,3,4,5,6,7,8,9,10,
5,[-0.068233 0.022402 -0.133061  _ ],[-0.043667 0.066298 -0.092673  _ ],[-0.031734 0.055320 -0.060981  _ ],[-0.033330 0.078280 -0.057960  _ ],[-0.009950 0.082820 -0.046737  _ ],[-0.022174 0.097175 -0.036237  _ ],[-0.070240 0.069965 -0.138981  _ ],[-0.097920 0.052444 -0.177828  _ ],[-0.078767 0.039672 -0.145730  _ ],[-0.267187 0.070890 -0.502887  _ ],
6,[-0.063955 0.017795 -0.123463  _ ],[-0.057476 0.057494 -0.116919  _ ],[-0.027971 0.055351 -0.051021  _ ],[-0.029946 0.064109 -0.048490  _ ],[-0.023770 0.075354 -0.059568  _ ],[-0.014983 0.087075 -0.040225  _ ],[-0.075067 0.063429 -0.098274  _ ],[-0.079424 0.042961 -0.131946  _ ],[-0.073489 0.033573 -0.118803  _ ],[-0.256883 0.067363 -0.494934  _ ],
7,[-0.150878 0.029234 -0.185911  _ ],[-0.072632 0.067308 -0.125164  _ ],[-0.107024 0.064361 -0.080116  _ ],[-0.063274 0.096163 -0.053855  _ ],[-0.051458 0.113141 -0.058514  _ ],[-0.035001 0.101695 -0.022600  _ ],[-0.148741 0.092408 -0.189302  _ ],[-0.108175 0.057036 -0.232214  _ ],[-0.143996 0.037927 -0.263576  _ ],[-0.394904 0.059771 -0.661761  _ ],
8,[-0.157672 0.029956 -0.202043  _ ],[-0.068447 0.110527 -0.059714  _ ],[-0.084254 0.102135 -0.013447  _ ],[-0.068031 0.135179 0.001789  _ ],[-0.027099 0.143191 0.018301  _ ],[-0.047339 0.186108 -0.038481  _ ],[-0.130366 0.223317 -0.022808  _ ],[-0.127924 0.100269 -0.191220  _ ],[-0.163885 0.047806 -0.223347  _ ],[-0.386326 0.061032 -0.504867  _ ],
9,[-0.178288 0.130044 -0.143048  _ ],[-0.101104 0.207761 0.014375  _ ],[-0.093809 0.030399 0.114828  _ ],[-0.084043 0.029918 0.217140  _ ],[-0.052161 0.041443 0.280431  _ ],[-0.091436 0.032878 0.320716  _ ],[-0.205024 0.276041 0.034260  _ ],[-0.210200 0.253758 -0.016962  _ ],[-0.232699 0.151476 -0.124633  _ ],[-0.438249 0.087352 -0.335598  _ ],
10,[-0.211872 0.245789 -0.004414  _ ],[-0.111901 0.025866 0.407367  _ ],[-0.109225 0.029394 0.336550  _ ],[-0.065652 0.031848 0.409605  _ ],[-0.054319 0.028157 0.498997  _ ],[-0.071585 0.031316 0.567595  _ ],[-0.168100 0.043730 0.378366  _ ],[-0.232407 0.032676 0.230971  _ ],[-0.212938 0.034634 0.190773  _ ],[-0.467260 0.261084 -0.015028  _ ],
11,[-0.048586 0.004146 0.132342  _ ],[-0.030704 0.007999 0.431560  _ ],[-0.018364 0.007202 0.311780  _ ],[-0.019034 0.007285 0.451689  _ ],[-0.020362 0.007221 0.471961  _ ],[-0.001958 0.009168 0.522656  _ ],[-0.036570 0.009803 0.381633  _ ],[-0.051020 0.010141 0.252414  _ ],[-0.041758 0.010933 0.232781  _ ],[-0.167168 0.346865 0.036737  _ ],
12,[-0.388173 -0.172889 -0.267191  _ ],[-0.241150 -0.204474 -0.241464  _ ],[-0.207399 -0.198270 -0.209565  _ ],[-0.192949 -0.189805 -0.177518  _ ],[-0.128482 -0.168503 -0.081894  _ ],[-0.125096 -0.183081 -0.100460  _ ],[-0.349573 -0.116541 -0.189679  _ ],[-0.389898 -0.137355 -0.253635  _ ],[-0.390031 -0.179136 -0.318854  _ ],[-0.517922 -0.184041 -0.459633  _ ],
13,[-0.438211 -0.252178 -0.313850  _ ],[-0.264184 -0.294139 -0.293761  _ ],[-0.289542 -0.290627 -0.227273  _ ],[-0.211122 -0.242036 -0.198022  _ ],[-0.192079 -0.289542 -0.122524  _ ],[-0.131543 -0.241260 -0.072275  _ ],[-0.373315 -0.191877 -0.262744  _ ],[-0.366083 -0.192119 -0.310393  _ ],[-0.419061 -0.201687 -0.338986  _ ],[-0.526933 -0.245336 -0.457881  _ ],
14,[-0.374365 -0.328663 -0.373349  _ ],[-0.311703 -0.313307 -0.311798  _ ],[-0.271144 -0.271498 -0.232929  _ ],[-0.237581 -0.277591 -0.177535  _ ],[-0.171736 -0.289100 -0.220668  _ ],[-0.194614 -0.282210 -0.087148  _ ],[-0.294075 -0.297663 -0.242535  _ ],[-0.364142 -0.309806 -0.349686  _ ],[-0.375302 -0.319136 -0.353235  _ ],[-0.558436 -0.316836 -0.446520  _ ],
