,A,2,3,4,5,6,7,8,9,10,
5,[-0.643993 0.088721 -1.332631  _ ],[-0.360452 0.099920 -0.646651  _ ],[-0.219545 0.125963 -0.537179  _ ],[-0.122090 0.127873 -0.285135  _ ],[-0.110452 0.138735 -0.332663  _ ],[-0.157947 0.161199 -0.255016  _ ],[-0.431994 0.127673 -0.965250  _ ],[-0.520468 0.136861 -0.966418  _ ],[-0.498687 0.091079 -1.205588  _ ],[-0.501437 0.084751 -1.012469  _ ],
6,[-0.617476 0.082166 -1.187420  _ ],[-0.245981 0.097642 -0.639242  _ ],[-0.288426 0.106631 -0.540208  _ ],[-0.115450 0.104472 -0.409143  _ ],[-0.176089 0.141795 -0.209582  _ ],[-0.119582 0.154669 -0.317907  _ ],[-0.508292 0.115155 -0.952189  _ ],[-0.519765 0.115704 -0.934659  _ ],[-0.524017 0.086738 -1.136779  _ ],[-0.538897 0.077352 -1.099359  _ ],
7,[-0.639583 0.066183 -1.062014  _ ],[-0.296994 0.081412 -0.436136  _ ],[-0.270999 0.109323 -0.296729  _ ],[-0.150514 0.092029 -0.193101  _ ],[-0.126890 0.132077 -0.311262  _ ],[-0.233405 0.159774 -0.057869  _ ],[-0.429829 0.110392 -0.610687  _ ],[-0.479746 0.102523 -0.894042  _ ],[-0.517259 0.076629 -0.941635  _ ],[-0.567255 0.061863 -0.838980  _ ],
8,[-0.695378 0.078347 -0.745012  _ ],[-0.278158 0.126554 -0.188155  _ ],[-0.265527 0.149769 -0.072911  _ ],[-0.158646 0.141463 0.047073  _ ],[-0.133169 0.205291 -0.037866  _ ],[-0.165713 0.219795 0.090572  _ ],[-0.511179 0.234267 -0.169902  _ ],[-0.488540 0.140154 -0.497427  _ ],[-0.507946 0.064851 -0.730437  _ ],[-0.558029 0.058973 -0.761207  _ ],
9,[-0.652086 0.171487 -0.437364  _ ],[-0.234449 0.217986 -0.067120  _ ],[-0.221324 0.229293 0.099599  _ ],[-0.218266 0.236617 0.149476  _ ],[-0.122442 0.272826 0.194117  _ ],[-0.158505 0.291073 0.233201  _ ],[-0.495440 0.322654 0.120791  _ ],[-0.530587 0.275122 -0.103357  _ ],[-0.581890 0.184356 -0.292399  _ ],[-0.579447 0.081543 -0.386425  _ ],
10,[-0.636908 0.316252 0.013534  _ ],[-0.283358 0.324315 0.235437  _ ],[-0.299999 0.311650 0.275362  _ ],[-0.230602 0.323438 0.292707  _ ],[-0.119478 0.334641 0.568792  _ ],[-0.152535 0.356398 0.627446  _ ],[-0.503694 0.386594 0.324985  _ ],[-0.434659 0.397889 0.276728  _ ],[-0.617540 0.319324 0.077426  _ ],[-0.535698 0.239773 0.014339  _ ],
11,[-0.470160 0.387748 0.135549  _ ],[-0.251020 0.378956 0.327039  _ ],[-0.191670 0.355210 0.563872  _ ],[-0.210725 0.337037 0.555868  _ ],[-0.085056 0.366961 0.686517  _ ],[-0.184883 0.375306 0.812012  _ ],[-0.450518 0.438148 0.348789  _ ],[-0.498868 0.429623 0.359065  _ ],[-0.520839 0.353125 0.185095  _ ],[-0.532127 0.361556 0.075024  _ ],
12,[-0.675676 -0.170441 -0.538893  _ ],[-0.271583 -0.141112 -0.251056  _ ],[-0.289898 -0.147041 -0.296471  _ ],[-0.237284 -0.163726 -0.238125  _ ],[-0.216357 -0.177580 -0.224722  _ ],[-0.191576 -0.128421 -0.193445  _ ],[-0.396899 -0.086021 -0.283508  _ ],[-0.485469 -0.124132 -0.242513  _ ],[-0.577368 -0.179677 -0.336843  _ ],[-0.482836 -0.162290 -0.607171  _ ],
13,[-0.671664 -0.274069 -0.487464  _ ],[-0.314186 -0.213161 -0.319430  _ ],[-0.301458 -0.189746 -0.315124  _ ],[-0.292846 -0.186740 -0.300139  _ ],[-0.270230 -0.209368 -0.274876  _ ],[-0.257956 -0.202990 -0.262653  _ ],[-0.547034 -0.210600 -0.268466  _ ],[-0.467083 -0.196933 -0.319594  _ ],[-0.538831 -0.321994 -0.362639  _ ],[-0.551710 -0.292808 -0.453506  _ ],
14,[-0.645094 -0.316656 -0.440868  _ ],[-0.380537 -0.285562 -0.415505  _ ],[-0.279888 -0.342966 -0.377082  _ ],[-0.156653 -0.323916 -0.287834  _ ],[-0.135812 -0.306820 -0.254225  _ ],[-0.192303 -0.294398 -0.281200  _ ],[-0.452108 -0.356498 -0.099582  _ ],[-0.456482 -0.265493 -0.365707  _ ],[-0.538449 -0.323732 -0.435612  _ ],[-0.516821 -0.312093 -0.530075  _ ],
