,A,2,3,4,5,6,7,8,9,10,
5,3140,4483,4508,4480,4745,4618,4468,4553,4586,17396,
6,3133,4344,4584,4354,4571,4674,4459,4459,4683,16782,
7,6341,9159,9231,8977,9186,9301,9158,9286,9630,35089,
8,6673,9621,9666,9787,9728,9607,9791,9986,10008,36823,
9,10555,14908,15291,14912,15031,14925,14727,15256,15471,56840,
10,11026,15887,15962,15719,15873,15735,16014,15859,16268,60630,
11,3298,4915,4994,4761,4911,4915,4634,4801,5041,18384,
12,27883,40230,40807,36761,39193,39546,38865,39360,39630,147489,
13,30649,43684,41000,41130,42112,40559,42539,43838,43831,162900,
14,29481,39310,36521,31809,33281,36390,41082,41273,42821,154059,
15,31636,21175,31881,38152,32142,28881,44114,44814,44598,164039,
16,29643,31934,17229,42530,16169,39661,41350,40330,41576,152795,
17,30702,47755,46589,44790,42965,43308,46788,31793,32209,81847,
18,32500,42851,41905,39397,39146,38017,43249,43354,43289,164595,
19,33143,42846,41259,39451,39033,38015,42010,43697,43406,164004,
20,18552,21912,20440,19331,19149,17023,21480,23182,23416,87107,
21,14583,15710,14616,13202,12686,12088,17215,18202,19008,72004,
A-2,2994,4560,4867,4733,4687,4840,4670,4689,4640,17572,
A-3,3203,5113,4964,4974,5171,5088,5116,5237,5137,19355,
A-4,3475,5432,5335,5234,5289,5327,5388,5397,5551,20421,
A-5,3956,6161,6075,6000,5877,5989,6047,6014,6114,22737,
A-6,4270,6888,6972,6849,6793,6727,6864,6799,6844,25012,
A-7,4799,7713,7594,7394,7615,7373,7171,7575,7662,28504,
A-8,5179,8016,7951,7999,8208,8140,6155,6803,8044,31284,
A-9,2182,7131,3453,7139,7900,5117,8754,8023,8810,33993,
A-10,4261,7587,7428,6502,6540,6078,5909,5742,6038,22014,
A-A,2871,4837,5118,4755,4668,4893,5045,4735,4874,17707,
2-2,1333,2873,3968,1159,1922,3716,1734,1762,1705,3881,
3-3,1059,640,3516,1833,4502,1600,1042,3682,2946,16640,
4-4,1351,1394,424,1603,1976,1959,1885,1984,4376,6608,
5-5,1389,2075,1907,1959,1688,1972,2049,1997,2040,7451,
6-6,3261,4854,4758,4585,4940,4249,4560,4731,4633,17415,
7-7,3192,5029,4817,4960,4843,4958,4171,4740,4840,17491,
8-8,3388,4752,5033,4889,4914,4931,4833,4164,4805,17522,
9-9,3173,4922,4826,4986,4820,4598,4397,4869,4094,17749,
10-10,12635,28361,25133,33180,33599,33683,33699,33382,33523,119863,
