,A,2,3,4,5,6,7,8,9,10,
5,1991,2805,2774,3060,2973,2939,2960,2992,2938,10906,
6,1923,2729,2891,2713,2822,2837,2851,2713,2832,10787,
7,4052,5704,5564,5736,5636,5793,5789,5835,5803,21947,
8,4279,6047,5847,6064,5597,5531,6100,6155,6054,22317,
9,6367,9089,9171,4863,9129,9211,7922,9059,9319,34635,
10,6659,9886,9749,9682,9815,9787,9785,9634,7425,36397,
11,1823,2481,2702,2201,2089,1999,2413,2544,2574,9889,
12,16519,21292,11774,20359,21985,21619,21440,22808,23594,89838,
13,17908,20063,14791,22076,13923,18708,20379,24822,25474,97637,
14,16240,20287,14702,10307,11166,17395,22152,16372,23917,91747,
15,17028,22474,19259,19966,19688,18406,22920,4834,22455,95777,
16,16905,19659,18770,18368,17737,14174,20431,21947,24126,64034,
17,8655,21161,19127,18587,17464,16870,20285,20755,23087,99166,
18,15412,17631,15489,15007,14221,14023,17394,18021,22190,87048,
19,14945,16817,15708,13373,12809,12438,16754,18843,20194,86970,
20,6873,4077,2248,1657,1584,1516,4028,5621,9099,41456,
21,5415,4191,2298,1923,1815,1669,4345,5550,7284,36287,
A-2,1967,2787,2926,1801,2905,2957,2961,2975,2996,10757,
A-3,1916,3088,2912,2510,2140,2509,3142,3106,3139,11609,
A-4,2135,3144,3126,2334,2568,3091,3197,3226,3281,12422,
A-5,2296,3507,2536,3278,2496,3307,3656,3637,3584,13547,
A-6,2542,3936,2460,3645,3758,3136,3917,3934,3937,14666,
A-7,2847,4380,4151,4141,4084,3684,4185,4392,4429,16370,
A-8,3064,4494,4059,4343,3998,3510,4362,4350,4800,17445,
A-9,3256,4564,4547,3988,3712,3147,4554,4707,4734,19141,
A-10,1929,2053,1876,1390,1799,1250,2053,2160,2809,12160,
A-A,1755,2551,2460,786,2875,2703,2713,2868,2792,10315,
2-2,2043,2373,2795,2713,2726,2512,2822,2636,2718,10034,
3-3,1804,2786,2400,2745,2679,2780,2693,2758,2630,9904,
4-4,844,1195,1151,1076,608,1229,1187,1181,1217,10455,
5-5,886,1161,1194,1219,993,1272,1194,1143,1131,4442,
6-6,1846,2881,2711,2817,2705,2544,2820,2746,2778,10070,
7-7,1795,2865,2737,2734,2808,2781,2509,2718,2704,10368,
8-8,1986,2769,2627,2753,2857,2791,2594,2308,2879,10241,
9-9,1809,1167,2836,1224,2714,1280,1182,2795,2566,9965,
10-10,14111,20459,20497,20566,20529,20529,20609,20397,20237,73308,
