,A,2,3,4,5,6,7,8,9,10,
5,6095,8723,8264,9433,9319,9196,8801,8630,9195,31877,
6,6165,7994,8548,8197,8687,8774,8625,8488,9121,33327,
7,12547,17560,17351,17661,17584,18115,17743,17612,18336,65934,
8,12825,18036,18258,18914,18845,17921,19004,18687,18767,68354,
9,19693,27758,27630,27853,26381,26969,28208,28477,29076,105878,
10,21026,25508,17816,15147,31023,27723,26321,28609,30784,111955,
11,5741,2947,8041,8370,8578,8357,6783,7768,8551,30120,
12,51325,68227,67130,55596,55110,40376,69710,72672,74255,272170,
13,55188,72547,63820,51998,64371,58539,73124,77962,80474,296808,
14,52272,36906,47055,55131,59970,50125,58953,71458,75013,283263,
15,54775,67151,70789,67273,65790,63365,75318,52872,75848,292655,
16,39728,65149,66002,61725,60737,55815,70327,74893,48891,199223,
17,40086,71167,68245,64297,62561,60932,69835,40003,66745,291916,
18,50093,61409,58891,53939,52381,50156,60556,65786,72215,269526,
19,48880,58118,55894,51540,49298,48542,58408,64629,67744,270894,
20,24241,21732,17350,12060,7939,7549,24029,28717,34376,128442,
21,20768,16222,13970,9387,8574,7426,19330,23425,28991,110840,
A-2,5892,8618,8923,9172,9008,9051,9003,8913,9213,33071,
A-3,6162,9822,9241,9814,9448,9132,9563,9746,9654,35336,
A-4,6636,9944,9904,9457,9833,9613,10050,10163,10297,38260,
A-5,7300,11054,11002,11126,9807,8611,11231,11038,11041,41019,
A-6,7817,11937,12089,11863,11764,10854,12267,12235,12221,45819,
A-7,8699,13149,13096,11912,11427,4140,12754,13577,13443,50487,
A-8,8647,14419,14224,14703,14200,13178,13967,14187,12705,54105,
A-9,9993,15241,15183,15108,15051,14620,14075,15271,14919,60308,
A-10,5877,9190,8304,8117,7051,6974,8283,9061,9313,37278,
A-A,4966,9070,8794,8708,8508,8819,8540,8538,8684,32169,
2-2,5891,619,2584,8649,8693,8428,1902,2932,8916,7517,
3-3,5741,8644,7713,8810,8822,8408,7846,1618,8507,18553,
4-4,5624,3735,3612,3176,3718,3701,3743,3719,880,28995,
5-5,2579,2784,1650,3731,3251,3724,3516,3700,3393,13554,
6-6,5863,8576,8667,8717,8718,7500,8473,8416,8463,31186,
7-7,5591,8463,8722,8893,8519,8686,7444,8336,8333,31012,
8-8,5872,8615,8642,8378,8906,8716,8770,7458,8376,31686,
9-9,5854,7158,8709,8479,8661,7697,3609,8388,7280,31318,
10-10,44001,63602,63394,63546,63559,63288,63173,63235,62935,224834,
