,A,2,3,4,5,6,7,8,9,10,
5,[108 1103 108 0],[159 1560 151 0],[145 1693 137 0],[161 1775 154 0],[149 1794 154 0],[167 1637 144 0],[141 1765 163 0],[161 1724 161 0],[160 1799 161 0],[629 6391 604 0],
6,[126 1147 98 0],[138 1521 128 0],[188 1774 165 0],[199 1467 125 0],[189 1578 166 0],[140 1709 166 0],[157 1645 163 0],[149 1617 154 0],[177 1752 154 0],[567 6286 604 0],
7,[238 2251 234 0],[317 3348 309 0],[304 3435 305 0],[301 3304 323 0],[267 3318 327 0],[330 3343 319 0],[315 3388 291 0],[330 3478 325 0],[324 3569 325 0],[1171 12901 1170 0],
8,[209 2569 219 0],[333 3558 292 0],[311 3563 329 0],[308 3603 280 0],[312 3438 322 0],[370 3435 343 0],[348 3623 333 0],[325 3591 311 0],[360 3731 348 0],[1236 13331 1188 0],
9,[343 3765 329 0],[482 5396 584 0],[457 495 5549 0],[516 495 5508 0],[512 468 5422 0],[481 474 5427 0],[547 5482 538 0],[472 5431 502 0],[494 5524 486 0],[1861 20722 1834 0],
10,[347 3693 504 0],[465 513 5896 0],[510 495 5993 0],[508 523 5780 0],[529 500 5996 0],[477 502 5814 0],[530 527 5945 0],[492 513 5672 0],[537 538 6016 0],[1836 21897 1887 0],
11,[72 1080 80 0],[86 77 1637 0],[91 71 1470 0],[72 74 1241 0],[78 66 1336 0],[83 77 1271 0],[92 77 1724 0],[82 1564 182 0],[98 1834 74 0],[359 6567 378 0],
12,[901 9625 888 0],[1686 8674 5148 0],[1533 2359 11964 0],[1951 1251 11981 0],[4843 1219 8935 0],[1486 1189 12284 0],[1264 11644 2856 0],[1217 13532 1336 0],[1210 13855 1306 0],[4580 53778 4619 0],
13,[848 10066 1262 0],[3548 7997 5385 0],[2943 1566 11292 0],[6260 1287 7607 0],[7387 1235 6639 0],[2117 1187 11495 0],[1230 10678 5386 0],[1269 14131 1857 0],[1307 15099 1469 0],[4827 58661 4896 0],
14,[896 8933 1708 0],[3992 1395 9755 0],[1994 1090 11170 0],[6459 1063 4924 0],[9852 1069 2073 0],[4432 1112 7355 0],[1156 3514 10892 0],[1136 6961 7909 0],[1228 13309 2397 0],[4499 55823 4490 0],
15,[1225 6661 4705 0],[12384 1119 2153 0],[8341 1113 4829 0],[9081 1142 3434 0],[10685 1079 1098 0],[11002 1076 1348 0],[1183 1174 13737 0],[1220 1202 14823 0],[1634 11702 4633 0],[4634 57706 6879 0],
16,[1241 3335 7341 0],[10823 1022 1867 0],[9510 1018 2202 0],[9246 970 1806 0],[9382 1009 1282 0],[8860 973 1957 0],[946 1067 12297 0],[2007 1683 11733 0],[1790 2510 12385 0],[5145 53054 8783 0],
17,[2612 1343 8294 0],[12005 1060 1048 0],[10858 1100 1026 0],[9831 997 1035 0],[9706 1041 997 0],[9811 1004 1048 0],[12030 1020 1167 0],[3145 1078 11103 0],[11924 1425 3838 0],[62690 4359 4410 0],
18,[9380 626 688 0],[9598 897 901 0],[8218 905 858 0],[8231 890 880 0],[8180 861 876 0],[8163 910 868 0],[10285 871 904 0],[10547 911 930 0],[13059 957 897 0],[55087 3831 3747 0],
19,[8784 673 684 0],[9339 918 847 0],[7330 894 854 0],[6698 913 885 0],[6696 824 869 0],[6503 841 849 0],[9687 903 899 0],[11005 955 954 0],[12192 902 987 0],[55454 3866 3825 0],
20,[4249 234 217 0],[1608 221 231 0],[541 233 245 0],[432 257 229 0],[468 221 229 0],[438 224 230 0],[2122 261 274 0],[2865 274 265 0],[4421 275 310 0],[27845 1532 1501 0],
21,[3310 305 0 0],[1696 329 0 0],[641 333 0 0],[466 303 0 0],[481 301 0 0],[512 300 0 0],[2298 342 0 0],[3311 388 0 0],[4798 416 0 0],[23547 1865 0 0],
A-2,[103 1100 105 0],[136 1493 304 0],[170 1829 151 0],[166 153 1651 0],[142 1692 151 0],[151 185 1772 0],[148 1781 168 0],[138 1770 151 0],[169 1783 180 0],[594 6499 596 0],
A-3,[110 1159 101 0],[166 1836 179 0],[154 1772 156 0],[148 198 1654 0],[166 1720 243 0],[151 166 1574 0],[186 1836 143 0],[174 1849 186 0],[167 1843 174 0],[609 6924 580 0],
A-4,[116 1230 102 0],[162 1945 155 0],[172 2024 152 0],[154 162 1481 0],[140 180 1762 0],[163 198 1602 0],[190 1986 167 0],[182 1851 173 0],[158 1978 162 0],[653 7308 636 0],
A-5,[102 1368 118 0],[158 1408 907 0],[163 2005 350 0],[178 1694 202 0],[161 180 1788 0],[166 1794 191 0],[185 2118 234 0],[172 2087 156 0],[199 2208 178 0],[730 8009 682 0],
A-6,[141 1607 106 0],[188 2253 176 0],[189 2239 302 0],[176 184 1882 0],[210 203 2020 0],[182 175 1989 0],[177 2367 185 0],[185 2353 184 0],[195 2417 177 0],[719 8981 749 0],
A-7,[121 1762 147 0],[189 193 2701 0],[2719 232 207 0],[172 149 2064 0],[159 165 2151 0],[256 190 2093 0],[2665 218 202 0],[2614 230 258 0],[236 2639 220 0],[752 10148 729 0],
A-8,[1882 151 139 0],[2652 197 181 0],[2715 238 237 0],[2097 197 200 0],[223 192 2264 0],[214 184 2275 0],[2776 234 210 0],[2696 185 211 0],[2985 205 195 0],[975 10597 765 0],
A-9,[1997 160 138 0],[2584 206 222 0],[2410 210 193 0],[1763 200 180 0],[1817 199 188 0],[195 204 1886 0],[2762 222 242 0],[2824 216 221 0],[2917 211 209 0],[12255 830 827 0],
A-10,[1128 83 80 0],[1172 95 90 0],[1317 109 92 0],[234 92 88 0],[362 67 78 0],[698 86 100 0],[1280 119 87 0],[1242 117 119 0],[1460 109 100 0],[7576 501 441 0],
A-A,[34 33 35 1044],[59 67 75 1614],[45 48 54 1788],[52 58 781 129],[51 61 729 91],[104 58 71 1607],[52 56 48 1695],[64 49 58 1640],[60 65 45 1774],[207 213 217 6380],
