,A,2,3,4,5,6,7,8,9,10,
5,1183,1653,1690,1849,1677,1797,1747,1703,1755,6390,
6,1177,1633,1644,1620,1748,1651,1635,1636,1751,6404,
7,2411,3418,3443,3324,3356,3519,3461,3284,3493,12773,
8,2543,3502,3562,3529,3416,3520,3651,3626,3589,13316,
9,3887,5555,4938,5464,5609,5422,919,5425,5549,20556,
10,3991,5832,5921,5741,5973,5673,5790,5743,4840,21665,
11,1254,1819,1658,1317,1492,1131,1333,1635,1753,6595,
12,9809,10963,8056,12566,12329,12106,12538,12777,14306,53762,
13,10655,7906,2643,3988,9358,4868,9168,14719,15434,58603,
14,9511,5121,6343,5600,10372,7077,1635,9711,13817,55730,
15,7924,4902,12159,11007,10363,2818,13181,1962,14053,59551,
16,7582,3302,11044,9458,9584,7862,11802,13236,14122,37202,
17,3135,12141,11735,10503,9898,9617,11646,11467,9269,60712,
18,9478,9363,9868,8314,7911,7317,9955,10783,13354,54566,
19,9131,9734,8700,6796,6808,6759,8335,10892,12838,54145,
20,4284,1445,1054,444,603,426,2106,3126,6225,26566,
21,3265,1462,1133,507,508,485,1981,3535,4921,22007,
A-2,1096,1578,1811,805,1678,1660,1860,1773,1695,6641,
A-3,1162,1854,1788,1408,1577,1644,1866,1856,1820,6974,
A-4,1306,2047,1922,1270,1760,1668,1779,1854,1916,7467,
A-5,1382,2136,2151,1510,1873,1669,2162,2249,2166,8112,
A-6,1592,2388,1859,2090,1994,1746,2381,2309,2339,8875,
A-7,1712,2788,2472,2356,2160,1918,2512,2719,2581,10021,
A-8,1803,2574,2882,2423,2180,1777,2725,2693,2913,10839,
A-9,1956,2832,2979,2126,1886,1627,2406,2727,2891,12038,
A-10,1212,1309,1386,645,424,167,1277,1262,1773,7684,
A-A,982,1838,1650,685,714,673,1725,1843,1655,6407,
2-2,1096,1445,1808,1534,1686,1564,1710,1683,1676,6455,
3-3,1152,1763,1449,1741,1717,1706,1696,1706,1719,6365,
4-4,1153,1659,688,563,1406,687,735,720,1544,5778,
5-5,484,733,701,702,638,761,648,685,686,2693,
6-6,1227,1532,1761,1748,1597,1457,1524,1710,1648,6037,
7-7,1004,1742,1781,1613,1600,1576,1309,1622,1575,6381,
8-8,1166,1596,1680,1821,1709,1675,1700,1524,1726,6020,
9-9,1221,1764,725,725,686,724,742,705,1413,6104,
10-10,8493,12223,12176,12105,11989,12147,12091,11974,12187,43133,
