,A,2,3,4,5,6,7,8,9,10,
5,[-0.073123 0.022990 -0.164601  _ ],[-0.067036 0.051233 -0.095066  _ ],[-0.025024 0.064142 -0.115035  _ ],[-0.036847 0.070315 -0.060258  _ ],[-0.003545 0.075676 -0.062003  _ ],[-0.025670 0.094257 -0.032949  _ ],[-0.056504 0.074673 -0.128621  _ ],[-0.075568 0.059718 -0.216997  _ ],[-0.075330 0.033487 -0.185819  _ ],[-0.250263 0.071211 -0.519789  _ ],
6,[-0.082987 0.020616 -0.111997  _ ],[-0.040800 0.046790 -0.063925  _ ],[-0.030473 0.056774 -0.057901  _ ],[-0.027798 0.070628 -0.014069  _ ],[-0.024576 0.072906 -0.051859  _ ],[-0.025628 0.090057 -0.040154  _ ],[-0.077224 0.073201 -0.151423  _ ],[-0.070544 0.050992 -0.158919  _ ],[-0.091760 0.031812 -0.156122  _ ],[-0.243396 0.069736 -0.595606  _ ],
7,[-0.136354 0.031209 -0.255723  _ ],[-0.063083 0.062093 -0.182578  _ ],[-0.077662 0.072225 -0.084478  _ ],[-0.083537 0.084278 0.000227  _ ],[-0.045420 0.088352 -0.054804  _ ],[-0.058429 0.104462 -0.013072  _ ],[-0.139251 0.100482 -0.147293  _ ],[-0.170227 0.062622 -0.250371  _ ],[-0.160012 0.039492 -0.266813  _ ],[-0.407477 0.057437 -0.690539  _ ],
8,[-0.161580 0.036304 -0.150366  _ ],[-0.064233 0.102691 -0.089820  _ ],[-0.060018 0.116450 -0.078017  _ ],[-0.046340 0.130392 0.012477  _ ],[-0.033153 0.012304 0.073029  _ ],[-0.049437 0.017491 0.128769  _ ],[-0.154771 0.212118 -0.041731  _ ],[-0.148522 0.109063 -0.105031  _ ],[-0.155272 0.042755 -0.233230  _ ],[-0.391722 0.054574 -0.546681  _ ],
9,[-0.236406 0.129045 -0.133243  _ ],[-0.117554 0.028538 0.090817  _ ],[-0.095229 0.214524 0.037199  _ ],[-0.075139 0.031016 0.235772  _ ],[-0.074344 0.038009 0.332853  _ ],[-0.042401 0.033635 0.339788  _ ],[-0.192286 0.309231 -0.035211  _ ],[-0.198979 0.263279 -0.014603  _ ],[-0.225310 0.169188 -0.133537  _ ],[-0.445713 0.089631 -0.355316  _ ],
10,[-0.182776 0.243210 0.006643  _ ],[-0.110709 0.030781 0.414569  _ ],[-0.121743 0.029885 0.410457  _ ],[-0.066343 0.026380 0.574120  _ ],[-0.090265 0.030535 0.539616  _ ],[-0.076117 0.028248 0.586000  _ ],[-0.175578 0.038976 0.446405  _ ],[-0.203749 0.034732 0.329424  _ ],[-0.223105 0.231680 0.030057  _ ],[-0.463404 0.251796 -0.043473  _ ],
11,[-0.043419 0.203444 0.003203  _ ],[-0.021261 0.008386 0.376899  _ ],[-0.011676 0.008020 0.497358  _ ],[-0.015446 0.008426 0.449712  _ ],[-0.005804 0.004710 0.415225  _ ],[-0.021310 0.005348 0.455536  _ ],[-0.028813 0.011094 0.457848  _ ],[-0.040449 0.009355 0.275131  _ ],[-0.050251 0.283772 0.006162  _ ],[-0.158425 0.337276 0.030679  _ ],
12,[-0.372974 -0.172122 -0.305975  _ ],[-0.222674 -0.166781 -0.223407  _ ],[-0.215742 -0.202096 -0.217420  _ ],[-0.194512 -0.196773 -0.106149  _ ],[-0.155467 -0.180152 -0.147711  _ ],[-0.116549 -0.183937 -0.073092  _ ],[-0.349056 -0.140903 -0.202131  _ ],[-0.369035 -0.141991 -0.255090  _ ],[-0.404783 -0.159591 -0.322061  _ ],[-0.515056 -0.171984 -0.438832  _ ],
13,[-0.412605 -0.255737 -0.322771  _ ],[-0.291013 -0.249073 -0.294406  _ ],[-0.270804 -0.271412 -0.173566  _ ],[-0.212707 -0.256143 -0.150647  _ ],[-0.194231 -0.240748 -0.218238  _ ],[-0.167966 -0.233990 -0.092352  _ ],[-0.350588 -0.217829 -0.255464  _ ],[-0.395034 -0.229031 -0.311537  _ ],[-0.391946 -0.194625 -0.302840  _ ],[-0.531131 -0.273694 -0.511852  _ ],
14,[-0.380465 -0.332015 -0.380599  _ ],[-0.270754 -0.350410 -0.354520  _ ],[-0.271875 -0.285761 -0.197909  _ ],[-0.126953 -0.268450 -0.227553  _ ],[-0.215347 -0.277144 -0.218251  _ ],[-0.107131 -0.302913 -0.175792  _ ],[-0.333631 -0.300094 -0.173336  _ ],[-0.389914 -0.279695 -0.325217  _ ],[-0.372259 -0.270114 -0.367606  _ ],[-0.516726 -0.327758 -0.501237  _ ],
