,A,2,3,4,5,6,7,8,9,10,
5,[-0.006263 0.001766 -0.014916  _ ],[-0.007430 0.010984 -0.010130  _ ],[-0.003180 0.011337 -0.004775  _ ],[-0.001283 0.015034 -0.006744  _ ],[-0.003265 0.016624 -0.006159  _ ],[-0.003674 0.021440 -0.003579  _ ],[-0.008430 0.012449 -0.015287  _ ],[-0.008916 0.010090 -0.020829  _ ],[-0.009622 0.004384 -0.019047  _ ],[-0.029852 0.028937 -0.065657  _ ],
6,[-0.008853 0.001670 -0.014315  _ ],[-0.004965 0.010324 -0.007940  _ ],[-0.004662 0.011916 -0.006571  _ ],[-0.003773 0.012845 -0.005953  _ ],[-0.004663 0.016876 -0.001974  _ ],[-0.002682 0.019986 -0.004163  _ ],[-0.010100 0.011184 -0.012484  _ ],[-0.011793 0.009740 -0.020801  _ ],[-0.009027 0.004277 -0.012701  _ ],[-0.032512 0.026627 -0.057010  _ ],
7,[-0.015603 0.002830 -0.026458  _ ],[-0.008768 0.019438 -0.014741  _ ],[-0.009668 0.020979 -0.009643  _ ],[-0.005312 0.023946 -0.006117  _ ],[-0.007778 0.030155 -0.000737  _ ],[-0.003478 0.033366 -0.005726  _ ],[-0.016021 0.023604 -0.021608  _ ],[-0.016600 0.017530 -0.030662  _ ],[-0.020824 0.007540 -0.031505  _ ],[-0.059427 0.033342 -0.118332  _ ],
8,[-0.017004 0.004821 -0.020933  _ ],[-0.009463 0.038128 -0.008241  _ ],[-0.010122 0.042446 -0.005740  _ ],[-0.006513 0.047806 0.000359  _ ],[-0.008075 0.000441 0.039178  _ ],[-0.002073 0.000299 0.071481  _ ],[-0.015427 0.083703 -0.007482  _ ],[-0.016230 0.036581 -0.010419  _ ],[-0.020784 0.010082 -0.026762  _ ],[-0.067290 0.029066 -0.088741  _ ],
9,[-0.025017 0.046581 -0.008069  _ ],[-0.016587 0.000532 0.061913  _ ],[-0.015066 0.000832 0.098876  _ ],[-0.006940 0.000601 0.164283  _ ],[-0.008187 0.000520 0.208272  _ ],[-0.010529 0.000728 0.264900  _ ],[-0.028934 0.001016 0.090701  _ ],[-0.022043 0.134736 0.000489  _ ],[-0.026680 0.073066 -0.012730  _ ],[-0.100735 0.069277 -0.073815  _ ],
10,[-0.024257 0.063507 0.000116  _ ],[-0.014312 0.000460 0.319792  _ ],[-0.013139 0.000415 0.359972  _ ],[-0.014144 0.000394 0.397918  _ ],[-0.006676 0.000430 0.424293  _ ],[-0.009603 0.000517 0.472994  _ ],[-0.028521 0.000429 0.324550  _ ],[-0.026586 0.000581 0.233876  _ ],[-0.026243 0.000437 0.131119  _ ],[-0.093365 0.232135 0.002888  _ ],
11,[-0.004480 0.000035 0.048182  _ ],[-0.002690 0.000085 0.153093  _ ],[-0.000994 0.000098 0.179972  _ ],[-0.001891 0.000073 0.178863  _ ],[-0.002393 0.000104 0.157843  _ ],[-0.000100 0.000086 0.182432  _ ],[-0.004879 0.000064 0.162902  _ ],[-0.003687 0.000251 0.146928  _ ],[-0.005278 0.058738 -0.000797  _ ],[-0.019477 0.001612 0.165250  _ ],
12,[-0.220604 -0.219019 -0.220611  _ ],[-0.188435 -0.188365 -0.186892  _ ],[-0.158372 -0.158211 -0.156417  _ ],[-0.089060 -0.089226 -0.089314  _ ],[-0.081207 -0.081398 -0.078958  _ ],[-0.032509 -0.039205 -0.015877  _ ],[-0.185282 -0.185162 -0.178924  _ ],[-0.205738 -0.202590 -0.205607  _ ],[-0.218561 -0.215236 -0.218534  _ ],[-0.240258 -0.179215 -0.239854  _ ],
13,[-0.273375 -0.270615 -0.273466  _ ],[-0.209608 -0.209560 -0.208917  _ ],[-0.184854 -0.184841 -0.184619  _ ],[-0.145363 -0.145304 -0.138924  _ ],[-0.118298 -0.118378 -0.112338  _ ],[-0.100413 -0.100361 -0.100493  _ ],[-0.192685 -0.192854 -0.189425  _ ],[-0.262723 -0.262296 -0.262620  _ ],[-0.272874 -0.271141 -0.272980  _ ],[-0.306302 -0.262108 -0.306044  _ ],
14,[-0.296214 -0.296254 -0.296248  _ ],[-0.214786 -0.214451 -0.214720  _ ],[-0.177717 -0.177682 -0.177841  _ ],[-0.170958 -0.171311 -0.171381  _ ],[-0.132471 -0.132413 -0.132386  _ ],[-0.112822 -0.112546 -0.112538  _ ],[-0.204780 -0.204831 -0.201583  _ ],[-0.266748 -0.266680 -0.263104  _ ],[-0.315725 -0.315662 -0.315749  _ ],[-0.370121 -0.340743 -0.369919  _ ],
