,A,2,3,4,5,6,7,8,9,10,
5,[97 1128 96 0],[146 1704 132 0],[135 1676 134 0],[150 1802 134 0],[145 1799 153 0],[121 1762 156 0],[155 1646 146 0],[160 1596 147 0],[151 1670 134 0],[545 6492 562 0],
6,[95 1144 96 0],[145 1621 130 0],[154 1630 130 0],[135 1684 126 0],[133 1734 141 0],[130 1615 144 0],[144 1687 149 0],[135 1664 129 0],[138 1763 153 0],[557 6604 513 0],
7,[196 2341 165 0],[275 3354 303 0],[271 3369 292 0],[310 3436 285 0],[315 3396 308 0],[313 3546 284 0],[315 3369 275 0],[332 3405 318 0],[289 3393 296 0],[1140 13159 1077 0],
8,[225 2549 229 0],[297 3567 293 0],[301 3541 311 0],[308 3547 412 0],[272 3539 433 0],[269 359 3594 0],[326 3690 309 0],[305 3767 323 0],[302 3649 302 0],[1120 13589 1159 0],
9,[336 3833 337 0],[469 4651 1396 0],[459 5482 618 0],[451 441 5614 0],[451 461 5518 0],[435 443 5630 0],[440 4952 945 0],[463 5430 454 0],[472 5662 446 0],[1750 20896 1668 0],
10,[353 4003 364 0],[439 459 5916 0],[457 451 5997 0],[472 452 6116 0],[461 461 5994 0],[425 465 5845 0],[464 432 5913 0],[464 472 5670 0],[500 498 6006 0],[1728 22381 1654 0],
11,[63 1151 60 0],[73 63 1769 0],[84 84 1705 0],[59 68 1449 0],[80 77 1472 0],[80 72 1131 0],[70 79 1629 0],[85 90 1747 0],[75 73 1803 0],[297 334 6768 0],
12,[784 10031 776 0],[1410 11705 2620 0],[2295 7600 5889 0],[3300 1193 10585 0],[1772 1127 12764 0],[1438 1082 12349 0],[1068 13022 1588 0],[1128 13027 1424 0],[1210 13399 1083 0],[4164 54168 4266 0],
13,[826 10582 809 0],[2347 1765 13246 0],[4585 3148 8888 0],[4888 1086 9247 0],[7383 1082 7324 0],[6234 1136 7426 0],[1186 10196 5662 0],[1175 13616 2541 0],[1234 15085 1336 0],[4398 59232 4460 0],
14,[732 9317 1467 0],[6181 1343 7251 0],[4996 1234 8728 0],[7836 1001 4360 0],[8102 1018 4450 0],[9508 945 2505 0],[1059 3700 10899 0],[1221 11410 3605 0],[1107 13650 1952 0],[4064 56206 4445 0],
15,[1137 5263 6325 0],[10273 1063 4173 0],[8175 1038 6138 0],[11003 1015 1815 0],[10465 996 1907 0],[10253 1017 1683 0],[1092 1109 14020 0],[1498 3416 12064 0],[1341 11609 4949 0],[4282 58752 5778 0],
