,A,2,3,4,5,6,7,8,9,10,
5,[-0.205270 0.034996 -0.405859  _ ],[-0.137654 0.085814 -0.287958  _ ],[-0.083387 0.086705 -0.210062  _ ],[-0.093462 0.102268 -0.157919  _ ],[-0.036049 0.120734 -0.124244  _ ],[-0.060409 0.131161 -0.133228  _ ],[-0.207061 0.106118 -0.422426  _ ],[-0.221615 0.079150 -0.488325  _ ],[-0.229292 0.066527 -0.456524  _ ],[-0.449660 0.073937 -0.901954  _ ],
6,[-0.216401 0.033699 -0.380732  _ ],[-0.110560 0.079647 -0.211624  _ ],[-0.102046 0.079500 -0.221438  _ ],[-0.072922 0.091603 -0.136761  _ ],[-0.046204 0.118826 -0.096237  _ ],[-0.072728 0.123312 -0.133092  _ ],[-0.177384 0.104095 -0.388761  _ ],[-0.229040 0.074163 -0.413543  _ ],[-0.235847 0.065835 -0.452112  _ ],[-0.448204 0.063978 -0.949920  _ ],
7,[-0.369311 0.040311 -0.634010  _ ],[-0.175342 0.082742 -0.351585  _ ],[-0.182177 0.088535 -0.263868  _ ],[-0.134644 0.097786 -0.154831  _ ],[-0.058467 0.129693 -0.110806  _ ],[-0.111527 0.140448 -0.063680  _ ],[-0.312470 0.112268 -0.397205  _ ],[-0.330608 0.070689 -0.579471  _ ],[-0.360584 0.068598 -0.652711  _ ],[-0.535814 0.061669 -0.960642  _ ],
8,[-0.357516 0.044368 -0.446442  _ ],[-0.194005 0.119565 -0.135577  _ ],[-0.165968 0.139695 -0.076441  _ ],[-0.148457 0.153711 -0.060421  _ ],[-0.086824 0.179315 -0.022394  _ ],[-0.108014 0.214008 0.064580  _ ],[-0.313635 0.236073 -0.099874  _ ],[-0.350013 0.121465 -0.301820  _ ],[-0.369719 0.065110 -0.466803  _ ],[-0.535932 0.056252 -0.778890  _ ],
9,[-0.467945 0.142113 -0.295033  _ ],[-0.215549 0.213266 0.006457  _ ],[-0.245386 0.214699 0.117262  _ ],[-0.179668 0.123421 0.170816  _ ],[-0.118140 0.144343 0.254985  _ ],[-0.140946 0.154052 0.348140  _ ],[-0.368817 0.324789 0.049669  _ ],[-0.438509 0.282529 -0.059256  _ ],[-0.425928 0.173434 -0.210278  _ ],[-0.525142 0.088356 -0.492318  _ ],
10,[-0.473913 0.280374 -0.000515  _ ],[-0.240343 0.139012 0.401141  _ ],[-0.193860 0.138309 0.388632  _ ],[-0.178331 0.136003 0.446686  _ ],[-0.109344 0.150223 0.566523  _ ],[-0.100069 0.158546 0.608186  _ ],[-0.389015 0.193013 0.380503  _ ],[-0.421011 0.177098 0.276917  _ ],[-0.445924 0.315237 0.078333  _ ],[-0.552711 0.258116 -0.034651  _ ],
11,[-0.137362 0.037011 0.167388  _ ],[-0.096366 0.059256 0.432340  _ ],[-0.037829 0.051330 0.481261  _ ],[-0.039566 0.047778 0.481204  _ ],[-0.040479 0.050541 0.610461  _ ],[-0.037440 0.049454 0.589252  _ ],[-0.111402 0.064513 0.441127  _ ],[-0.145448 0.066632 0.360803  _ ],[-0.129947 0.339640 0.052019  _ ],[-0.386033 0.342594 0.102386  _ ],
12,[-0.646033 -0.193270 -0.479811  _ ],[-0.281061 -0.165208 -0.219934  _ ],[-0.246274 -0.153459 -0.211176  _ ],[-0.199888 -0.191328 -0.109068  _ ],[-0.167946 -0.178386 -0.107136  _ ],[-0.171314 -0.152768 -0.030833  _ ],[-0.500008 -0.100065 -0.199559  _ ],[-0.498606 -0.113162 -0.325297  _ ],[-0.523171 -0.150278 -0.461582  _ ],[-0.548591 -0.181460 -0.482774  _ ],
13,[-0.632448 -0.250024 -0.461526  _ ],[-0.277051 -0.220999 -0.273421  _ ],[-0.224932 -0.271567 -0.245800  _ ],[-0.216564 -0.274454 -0.246645  _ ],[-0.184458 -0.255534 -0.102383  _ ],[-0.154319 -0.242833 -0.179847  _ ],[-0.493559 -0.197397 -0.212011  _ ],[-0.510738 -0.216471 -0.273562  _ ],[-0.530626 -0.226636 -0.416325  _ ],[-0.563045 -0.248951 -0.500434  _ ],
14,[-0.630243 -0.331200 -0.432607  _ ],[-0.282282 -0.340539 -0.300728  _ ],[-0.233356 -0.324538 -0.285632  _ ],[-0.227838 -0.338164 -0.251021  _ ],[-0.158363 -0.323406 -0.174608  _ ],[-0.145735 -0.315671 -0.187863  _ ],[-0.462315 -0.280621 -0.223905  _ ],[-0.519316 -0.263963 -0.374143  _ ],[-0.517340 -0.307101 -0.436061  _ ],[-0.549716 -0.329947 -0.488009  _ ],
15,[-0.627495 -0.393302 -0.447302  _ ],[-0.287964 -0.404324 -0.328503  _ ],[-0.260577 -0.414410 -0.287653  _ ],[-0.200119 -0.414446 -0.248200  _ ],[-0.150486 -0.415418 -0.255317  _ ],[-0.162532 -0.381284 -0.231616  _ ],[-0.467248 -0.363678 -0.200258  _ ],[-0.489142 -0.379748 -0.321548  _ ],[-0.537712 -0.385381 -0.412533  _ ],[-0.540336 -0.420392 -0.474825  _ ],
16,[-0.618390 -0.479331 -0.415698  _ ],[-0.295467 -0.491755 -0.335232  _ ],[-0.271674 -0.489121 -0.286346  _ ],[-0.198134 -0.487088 -0.269677  _ ],[-0.167129 -0.482897 -0.282378  _ ],[-0.143055 -0.434382 -0.261668  _ ],[-0.476842 -0.402465 -0.183270  _ ],[-0.519839 -0.451317 -0.291284  _ ],[-0.546076 -0.477154 -0.351439  _ ],[-0.547925 -0.523475 -0.472394  _ ],
17,[-0.453556 -0.569881 -0.482727  _ ],[-0.156224 -0.576320 -0.385099  _ ],[-0.126836 -0.538902 -0.366448  _ ],[-0.074389 -0.549618 -0.350460  _ ],[-0.068591 -0.540191 -0.352179  _ ],[0.023107 -0.536666 -0.300616  _ ],[-0.104762 -0.493665 -0.249761  _ ],[-0.380714 -0.511035 -0.362122  _ ],[-0.418577 -0.576176 -0.454787  _ ],[-0.425572 -0.560334 -0.489575  _ ],
18,[-0.097631 -0.618639 -0.443610  _ ],[0.122454 -0.647351 -0.454762  _ ],[0.172371 -0.642904 -0.425127  _ ],[0.162864 -0.621865 -0.397698  _ ],[0.197475 -0.618013 -0.452734  _ ],[0.291427 -0.623212 -0.441720  _ ],[0.433778 -0.596815 -0.375610  _ ],[0.105378 -0.594646 -0.430128  _ ],[-0.186176 -0.608907 -0.449083  _ ],[-0.180622 -0.673769 -0.537521  _ ],
19,[0.289902 -0.695434 -0.565872  _ ],[0.385702 -0.749401 -0.584607  _ ],[0.406736 -0.729240 -0.594460  _ ],[0.412603 -0.737939 -0.575688  _ ],[0.438572 -0.729427 -0.585724  _ ],[0.506305 -0.736870 -0.561683  _ ],[0.606055 -0.722309 -0.566184  _ ],[0.598046 -0.718022 -0.567885  _ ],[0.294279 -0.718509 -0.560371  _ ],[0.087840 -0.720672 -0.621007  _ ],
