,A,2,3,4,5,6,7,8,9,10,
5,[787 4037 762 0],[1016 5456 1109 0],[1088 5631 967 0],[1167 5976 1150 0],[1078 5969 1132 0],[1074 6018 1085 0],[1096 5803 1159 0],[1133 5771 1076 0],[1110 5912 1123 0],[4081 21666 4095 0],
6,[759 4052 722 0],[972 5441 1051 0],[1136 5629 1053 0],[1026 5407 989 0],[1091 6025 1143 0],[1088 5729 1025 0],[1098 5572 1080 0],[1076 5645 1090 0],[1105 5937 1062 0],[4065 21715 4076 0],
7,[1533 8227 1553 0],[2132 11257 2115 0],[2152 11413 2157 0],[2081 11581 2201 0],[2089 11607 2086 0],[2213 11552 2266 0],[2294 11657 2204 0],[2138 11775 2188 0],[2237 11700 2196 0],[8124 43899 8368 0],
8,[1563 8406 1560 0],[2186 11851 2231 0],[2208 11958 2188 0],[2219 12312 2303 0],[2142 11991 2272 0],[2175 11907 2440 0],[2312 12255 2266 0],[2196 12344 2305 0],[2192 12228 2226 0],[8317 45329 8346 0],
9,[2344 13149 2354 0],[3413 18634 3350 0],[3365 10017 11985 0],[3342 3310 18442 0],[3424 3378 18829 0],[3295 3407 18343 0],[3243 18353 3480 0],[3567 18537 3399 0],[3451 18974 3509 0],[12614 69518 12658 0],
10,[2428 13657 2490 0],[3556 3500 19227 0],[3429 3385 19594 0],[3505 3436 19747 0],[3608 3537 20063 0],[3487 3478 19362 0],[3491 3476 19585 0],[3548 3493 19282 0],[3537 19271 3945 0],[13173 73071 13146 0],
11,[456 439 3624 0],[597 598 5225 0],[494 530 4536 0],[501 465 4198 0],[557 508 4286 0],[548 496 3951 0],[554 575 5040 0],[631 601 5080 0],[579 5444 588 0],[2356 20233 2387 0],
12,[6068 33168 5881 0],[8381 41710 11357 0],[8486 40389 13159 0],[8456 8448 43816 0],[8471 8376 43416 0],[8414 8486 42654 0],[8347 44618 9012 0],[8526 45797 8583 0],[8735 48320 8709 0],[32106 179938 31984 0],
13,[6177 35750 6351 0],[10853 41770 15567 0],[12351 8463 43759 0],[39689 8696 14187 0],[10274 8668 43043 0],[20663 8623 30928 0],[8899 46762 11157 0],[8842 48727 9642 0],[9219 52132 9019 0],[33672 194195 33593 0],
14,[5715 33038 5785 0],[9294 7971 43611 0],[23598 7804 26762 0],[24869 7380 19822 0],[36556 7641 9990 0],[29167 7493 15262 0],[8020 18726 35196 0],[8277 42747 11060 0],[8265 48615 8555 0],[30858 183437 30550 0],
