,A,2,3,4,5,6,7,8,9,10,
5,[-0.000087 0.000000 -0.000166  _ ],[-0.000042 0.000000 -0.000112  _ ],[-0.000047 0.000000 -0.000066  _ ],[-0.000022 0.000000 -0.000120  _ ],[-0.000022 0.000000 -0.000026  _ ],[-0.000024 0.000000 -0.000034  _ ],[-0.000077 0.000000 -0.000180  _ ],[-0.000089 0.000000 -0.000154  _ ],[-0.000071 0.000000 -0.000158  _ ],[-0.000315 0.000000 -0.000638  _ ],
6,[-0.000069 0.000000 -0.000150  _ ],[-0.000057 0.000000 -0.000106  _ ],[-0.000051 0.000000 -0.000080  _ ],[-0.000046 0.000000 -0.000098  _ ],[-0.000031 0.000000 -0.000034  _ ],[-0.000017 0.000000 -0.000034  _ ],[-0.000079 0.000000 -0.000162  _ ],[-0.000081 0.000000 -0.000178  _ ],[-0.000079 0.000000 -0.000188  _ ],[-0.000329 0.000000 -0.000758  _ ],
7,[-0.000156 0.000000 -0.000296  _ ],[-0.000090 0.000000 -0.000202  _ ],[-0.000058 0.000000 -0.000056  _ ],[-0.000060 0.000000 -0.000016  _ ],[-0.000031 0.000000 -0.000068  _ ],[-0.000049 0.000000 -0.000044  _ ],[-0.000172 0.000000 -0.000284  _ ],[-0.000200 0.000000 -0.000312  _ ],[-0.000217 0.000000 -0.000364  _ ],[-0.000639 0.000000 -0.001165  _ ],
8,[-0.000158 0.000000 -0.000190  _ ],[-0.000123 0.000000 -0.000048  _ ],[-0.000073 0.000001 -0.000038  _ ],[-0.000060 0.000000 -0.000000  _ ],[-0.000043 0.000001 -0.000042  _ ],[-0.000044 0.000000 0.000264  _ ],[-0.000171 0.000001 -0.000088  _ ],[-0.000214 0.000000 -0.000154  _ ],[-0.000166 0.000000 -0.000272  _ ],[-0.000652 0.000000 -0.000915  _ ],
9,[-0.000240 0.000001 -0.000186  _ ],[-0.000189 0.000000 0.000114  _ ],[-0.000084 0.000000 0.000563  _ ],[-0.000072 0.000000 0.000876  _ ],[-0.000092 0.000000 0.001066  _ ],[-0.000088 0.000000 0.001204  _ ],[-0.000253 0.000000 0.000559  _ ],[-0.000272 0.000003 -0.000002  _ ],[-0.000271 0.000001 -0.000174  _ ],[-0.001025 0.000007 -0.000849  _ ],
10,[-0.000236 0.000001 -0.000014  _ ],[-0.000167 0.000000 0.001304  _ ],[-0.000175 0.000000 0.001499  _ ],[-0.000096 0.000000 0.001757  _ ],[-0.000071 0.000000 0.002158  _ ],[-0.000076 0.000000 0.002236  _ ],[-0.000278 0.000000 0.001649  _ ],[-0.000298 0.000000 0.001146  _ ],[-0.000321 0.000000 0.000641  _ ],[-0.001094 0.000016 -0.000082  _ ],
11,[-0.000042 0.000000 -0.000006  _ ],[-0.000042 0.000000 0.000342  _ ],[-0.000032 0.000000 0.000554  _ ],[-0.000015 0.000000 0.000356  _ ],[0.000002 0.000000 0.000516  _ ],[-0.000017 0.000000 0.000448  _ ],[-0.000029 0.000000 0.000402  _ ],[-0.000061 0.000000 0.000432  _ ],[-0.000047 0.000000 0.000308  _ ],[-0.000169 0.000007 -0.000058  _ ],
12,[-0.001321 -0.001320 -0.001320  _ ],[-0.000981 -0.000981 -0.000982  _ ],[-0.000899 -0.000899 -0.000899  _ ],[-0.000627 -0.000627 -0.000615  _ ],[-0.000370 -0.000414 -0.000382  _ ],[-0.000248 -0.000407 -0.000250  _ ],[-0.001120 -0.001121 -0.001121  _ ],[-0.001406 -0.001406 -0.001407  _ ],[-0.001644 -0.001644 -0.001645  _ ],[-0.006300 -0.006299 -0.006300  _ ],
13,[-0.001481 -0.001483 -0.001483  _ ],[-0.001177 -0.001177 -0.001169  _ ],[-0.000968 -0.000969 -0.000968  _ ],[-0.000861 -0.000861 -0.000861  _ ],[-0.000661 -0.000660 -0.000644  _ ],[-0.000492 -0.000519 -0.000492  _ ],[-0.001252 -0.001252 -0.001250  _ ],[-0.001565 -0.001564 -0.001564  _ ],[-0.001846 -0.001845 -0.001845  _ ],[-0.007179 -0.007179 -0.007179  _ ],
14,[-0.001373 -0.001374 -0.001374  _ ],[-0.001110 -0.001112 -0.001113  _ ],[-0.001024 -0.001025 -0.001022  _ ],[-0.000721 -0.000721 -0.000718  _ ],[-0.000686 -0.000686 -0.000683  _ ],[-0.000591 -0.000592 -0.000586  _ ],[-0.001202 -0.001201 -0.001203  _ ],[-0.001437 -0.001437 -0.001437  _ ],[-0.001810 -0.001810 -0.001807  _ ],[-0.006956 -0.006956 -0.006954  _ ],
