,A,2,3,4,5,6,7,8,9,10,
5,[102 449 111 0],[149 583 149 0],[157 580 140 0],[172 613 176 0],[168 607 183 0],[191 645 165 0],[168 661 135 0],[157 637 168 0],[172 633 159 0],[623 2455 597 0],
6,[110 426 112 0],[157 623 137 0],[176 700 179 0],[162 614 146 0],[183 661 192 0],[165 641 164 0],[181 644 151 0],[178 651 182 0],[161 684 166 0],[575 2377 627 0],
7,[222 925 225 0],[353 1318 337 0],[329 1295 329 0],[309 1247 360 0],[338 1084 363 0],[338 1229 359 0],[306 1336 332 0],[349 1266 339 0],[332 1286 327 0],[1155 4904 1166 0],
8,[241 967 243 0],[313 1267 323 0],[338 1357 374 0],[335 1370 307 0],[320 1314 398 0],[323 1300 410 0],[351 1361 318 0],[331 1377 368 0],[359 1480 340 0],[1236 5005 1327 0],
9,[389 1457 346 0],[503 1870 606 0],[525 1881 647 0],[492 1949 662 0],[523 1941 663 0],[500 1920 695 0],[482 1991 611 0],[487 2033 575 0],[500 2148 481 0],[1849 7897 2011 0],
10,[325 1472 399 0],[539 1894 702 0],[537 1879 718 0],[509 1966 727 0],[528 1939 857 0],[514 1738 969 0],[476 1934 729 0],[490 2158 647 0],[533 2036 752 0],[1883 7861 2346 0],
11,[63 370 62 0],[81 451 174 0],[83 420 204 0],[86 478 168 0],[70 435 150 0],[83 413 184 0],[95 480 93 0],[79 429 110 0],[81 499 130 0],[325 1893 421 0],
12,[868 3675 941 0],[1448 4598 1738 0],[1721 4491 1774 0],[1775 4308 1842 0],[2172 3766 1998 0],[2099 3829 1817 0],[1242 4910 1678 0],[1343 5002 1583 0],[1352 5058 1571 0],[5138 18758 5639 0],
13,[936 3760 1311 0],[2665 3676 2112 0],[2180 4040 2024 0],[2624 3580 2220 0],[2391 4041 1982 0],[3258 3026 1936 0],[1510 5164 1794 0],[1581 5311 1759 0],[1411 5256 1789 0],[5820 19430 6451 0],
14,[1000 3340 1137 0],[1921 3491 2189 0],[2152 3789 2013 0],[3294 2377 1879 0],[3092 2532 2007 0],[3441 2091 2029 0],[1602 4103 2222 0],[1385 4597 1885 0],[1527 4683 1566 0],[5871 17388 6208 0],
15,[1030 3238 1493 0],[3099 2963 1928 0],[2651 3670 2119 0],[4025 2130 1795 0],[3713 1813 2138 0],[3554 2272 1867 0],[1603 4323 2257 0],[1537 4586 2113 0],[1766 4644 1887 0],[6611 16426 7996 0],
