,A,2,3,4,5,6,7,8,9,10,
5,[-0.349422 0.077591 -0.666267  _ ],[-0.186450 0.110111 -0.370773  _ ],[-0.158219 0.112413 -0.364097  _ ],[-0.110087 0.125143 -0.267712  _ ],[-0.095025 0.142044 -0.109004  _ ],[-0.084594 0.166266 -0.238229  _ ],[-0.269303 0.146978 -0.619738  _ ],[-0.349587 0.108615 -0.698181  _ ],[-0.380013 0.089785 -0.703064  _ ],[-0.525524 0.071392 -1.089827  _ ],
6,[-0.352874 0.069213 -0.691411  _ ],[-0.162002 0.097130 -0.381549  _ ],[-0.163016 0.104466 -0.259219  _ ],[-0.132725 0.118321 -0.239245  _ ],[-0.114990 0.121474 -0.271641  _ ],[-0.068798 0.165594 -0.231070  _ ],[-0.343642 0.128920 -0.570703  _ ],[-0.355039 0.101275 -0.606428  _ ],[-0.352955 0.083956 -0.699913  _ ],[-0.517756 0.065513 -1.049157  _ ],
7,[-0.501983 0.067287 -0.861451  _ ],[-0.237029 0.087964 -0.452270  _ ],[-0.214372 0.095984 -0.347018  _ ],[-0.199999 0.114395 -0.231831  _ ],[-0.155729 0.128258 -0.144765  _ ],[-0.139571 0.156587 -0.165761  _ ],[-0.414842 0.122732 -0.500869  _ ],[-0.455212 0.089224 -0.741322  _ ],[-0.453046 0.073290 -0.830176  _ ],[-0.540834 0.062250 -0.966173  _ ],
8,[-0.521329 0.065791 -0.679823  _ ],[-0.229654 0.126338 -0.193557  _ ],[-0.264386 0.142238 -0.158705  _ ],[-0.181740 0.169222 -0.074089  _ ],[-0.155532 0.186298 -0.012653  _ ],[-0.123060 0.228044 0.077759  _ ],[-0.405922 0.252947 -0.145009  _ ],[-0.468436 0.129471 -0.442018  _ ],[-0.505256 0.073890 -0.629820  _ ],[-0.531060 0.061449 -0.709312  _ ],
9,[-0.607687 0.160273 -0.416346  _ ],[-0.271627 0.222130 0.047158  _ ],[-0.208695 0.226953 0.158007  _ ],[-0.204399 0.237777 0.173004  _ ],[-0.136317 0.250854 0.237412  _ ],[-0.143305 0.242238 0.396252  _ ],[-0.438401 0.318654 0.130773  _ ],[-0.502658 0.271974 0.020914  _ ],[-0.528949 0.177473 -0.189008  _ ],[-0.558879 0.094915 -0.485086  _ ],
10,[-0.600418 0.293218 -0.053227  _ ],[-0.256480 0.297611 0.233957  _ ],[-0.262149 0.250318 0.487983  _ ],[-0.213536 0.241643 0.510085  _ ],[-0.152604 0.269403 0.515268  _ ],[-0.169123 0.274536 0.586452  _ ],[-0.438358 0.311900 0.390800  _ ],[-0.502523 0.374523 0.224497  _ ],[-0.490403 0.317140 0.174307  _ ],[-0.542937 0.257471 -0.059913  _ ],
11,[-0.229407 0.352896 0.042894  _ ],[-0.115497 0.130902 0.482085  _ ],[-0.100920 0.125876 0.538430  _ ],[-0.057891 0.132590 0.581503  _ ],[-0.044584 0.113371 0.628912  _ ],[-0.043451 0.114087 0.690384  _ ],[-0.209296 0.148891 0.498785  _ ],[-0.251035 0.145134 0.325170  _ ],[-0.271353 0.360734 0.100121  _ ],[-0.475409 0.350815 0.183212  _ ],
12,[-0.649158 -0.167290 -0.532783  _ ],[-0.255581 -0.137465 -0.227491  _ ],[-0.210889 -0.156391 -0.167901  _ ],[-0.218857 -0.150148 -0.196052  _ ],[-0.190152 -0.126309 -0.200375  _ ],[-0.171307 -0.135651 -0.024046  _ ],[-0.468895 -0.119843 -0.181466  _ ],[-0.494466 -0.149809 -0.273602  _ ],[-0.529043 -0.178383 -0.400511  _ ],[-0.561211 -0.175325 -0.461641  _ ],
13,[-0.686425 -0.270567 -0.541600  _ ],[-0.308331 -0.224916 -0.283350  _ ],[-0.255874 -0.219756 -0.251387  _ ],[-0.233777 -0.250725 -0.135014  _ ],[-0.198844 -0.220543 -0.065681  _ ],[-0.189628 -0.212035 -0.117743  _ ],[-0.502528 -0.179424 -0.224372  _ ],[-0.494709 -0.203877 -0.340989  _ ],[-0.525326 -0.253834 -0.430186  _ ],[-0.552567 -0.246208 -0.499152  _ ],
14,[-0.679815 -0.323526 -0.458823  _ ],[-0.301947 -0.340672 -0.349915  _ ],[-0.236474 -0.306282 -0.331828  _ ],[-0.203941 -0.303606 -0.248935  _ ],[-0.211021 -0.290600 -0.201374  _ ],[-0.139226 -0.283039 -0.196473  _ ],[-0.491445 -0.285706 -0.244110  _ ],[-0.540982 -0.271658 -0.337462  _ ],[-0.545003 -0.326097 -0.344996  _ ],[-0.508857 -0.332823 -0.474830  _ ],
15,[-0.666499 -0.394418 -0.449744  _ ],[-0.315128 -0.423080 -0.348257  _ ],[-0.285537 -0.376568 -0.301666  _ ],[-0.198609 -0.366335 -0.302377  _ ],[-0.160481 -0.384925 -0.247312  _ ],[-0.182236 -0.380497 -0.192941  _ ],[-0.454750 -0.310245 -0.202087  _ ],[-0.506533 -0.358382 -0.384469  _ ],[-0.554052 -0.369351 -0.437134  _ ],[-0.513167 -0.386631 -0.465646  _ ],
16,[-0.678520 -0.508278 -0.443378  _ ],[-0.245572 -0.447041 -0.380874  _ ],[-0.257124 -0.474899 -0.319000  _ ],[-0.177651 -0.470810 -0.300163  _ ],[-0.176746 -0.455646 -0.301592  _ ],[-0.125080 -0.454979 -0.225944  _ ],[-0.530050 -0.422310 -0.175101  _ ],[-0.504429 -0.445823 -0.339986  _ ],[-0.562595 -0.509575 -0.388275  _ ],[-0.528910 -0.525065 -0.414814  _ ],
17,[-0.482217 -0.546875 -0.434999  _ ],[-0.173023 -0.549651 -0.464935  _ ],[-0.119130 -0.557858 -0.389619  _ ],[-0.107785 -0.504645 -0.307651  _ ],[-0.033860 -0.522981 -0.291336  _ ],[-0.015411 -0.514924 -0.317093  _ ],[-0.116761 -0.483680 -0.270820  _ ],[-0.398818 -0.532443 -0.312927  _ ],[-0.410439 -0.536083 -0.469279  _ ],[-0.420263 -0.570550 -0.482089  _ ],
18,[-0.097996 -0.646503 -0.492987  _ ],[0.103009 -0.619362 -0.475041  _ ],[0.163780 -0.620823 -0.478198  _ ],[0.167165 -0.636631 -0.465118  _ ],[0.233519 -0.615318 -0.417960  _ ],[0.278057 -0.618000 -0.439907  _ ],[0.388741 -0.610248 -0.437309  _ ],[0.107834 -0.599081 -0.408982  _ ],[-0.193371 -0.619087 -0.428614  _ ],[-0.175720 -0.647946 -0.493471  _ ],
19,[0.276112 -0.740763 -0.581792  _ ],[0.393257 -0.747061 -0.584872  _ ],[0.400690 -0.729006 -0.628366  _ ],[0.423415 -0.720895 -0.583022  _ ],[0.413290 -0.714981 -0.637687  _ ],[0.530623 -0.709571 -0.596302  _ ],[0.635609 -0.712113 -0.597076  _ ],[0.560720 -0.736435 -0.595960  _ ],[0.300327 -0.728049 -0.632359  _ ],[0.060850 -0.704191 -0.601574  _ ],
20,[0.661256 -0.724155 -0.671497  _ ],[0.638167 -0.738304 -0.672736  _ ],[0.658643 -0.718683 -0.663837  _ ],[0.648852 -0.697326 -0.637533  _ ],[0.645228 -0.719541 -0.640125  _ ],[0.670738 -0.699518 -0.601623  _ ],[0.803692 -0.729361 -0.611919  _ ],[0.810087 -0.763201 -0.685857  _ ],[0.773819 -0.782056 -0.681390  _ ],[0.590134 -0.861011 -0.752226  _ ],
21,[0.919282 -0.894191 0.000000  _ ],[0.882756 -0.916611 0.000000  _ ],[0.884789 -0.902330 0.000000  _ ],[0.887915 -0.901447 0.000000  _ ],[0.889276 -0.879855 0.000000  _ ],[0.879359 -0.881645 0.000000  _ ],[0.932499 -0.932210 0.000000  _ ],[0.932029 -0.946037 0.000000  _ ],[0.939597 -0.963215 0.000000  _ ],[0.958797 -0.999997 0.000000  _ ],
A-2,[-0.350317 0.181212 -0.333263  _ ],[-0.172834 0.202962 -0.089678  _ ],[-0.148941 0.218186 0.011291  _ ],[-0.126150 0.207630 0.064470  _ ],[-0.115398 0.233765 0.066462  _ ],[-0.084713 0.089868 0.190278  _ ],[-0.309927 0.277092 -0.080369  _ ],[-0.324531 0.257657 -0.261629  _ ],[-0.371323 0.213078 -0.262032  _ ],[-0.526733 0.190443 -0.446281  _ ],
A-3,[-0.349676 0.173063 -0.353894  _ ],[-0.180939 0.193292 -0.042736  _ ],[-0.172997 0.200294 0.047054  _ ],[-0.122384 0.196168 0.062726  _ ],[-0.099124 0.217245 0.004250  _ ],[-0.136976 0.194122 0.091228  _ ],[-0.310479 0.250381 -0.229054  _ ],[-0.328530 0.243517 -0.184944  _ ],[-0.374348 0.193331 -0.347713  _ ],[-0.564433 0.166421 -0.494668  _ ],
A-4,[-0.348432 0.160701 -0.330680  _ ],[-0.223451 0.187545 -0.025534  _ ],[-0.217205 0.170466 0.027325  _ ],[-0.153794 0.186895 -0.014160  _ ],[-0.143023 0.200369 0.060482  _ ],[-0.085143 0.203531 0.085316  _ ],[-0.347681 0.229603 -0.117838  _ ],[-0.379805 0.226763 -0.185545  _ ],[-0.384142 0.192464 -0.362613  _ ],[-0.497929 0.167270 -0.530669  _ ],
A-5,[-0.336637 0.149468 -0.336441  _ ],[-0.186935 0.155887 -0.087752  _ ],[-0.211222 0.162363 0.029850  _ ],[-0.169223 0.166093 0.035662  _ ],[-0.103373 0.169863 0.044175  _ ],[-0.093377 0.074181 0.149830  _ ],[-0.343053 0.222998 -0.062825  _ ],[-0.395707 0.217917 -0.235805  _ ],[-0.405785 0.164877 -0.339868  _ ],[-0.538373 0.147155 -0.442927  _ ],
A-6,[-0.264906 0.152447 -0.274777  _ ],[-0.102505 0.157766 0.029989  _ ],[-0.062677 0.158190 0.008038  _ ],[-0.082256 0.152918 0.075293  _ ],[-0.024018 0.074264 0.142353  _ ],[-0.011200 0.074972 0.271096  _ ],[-0.099023 0.213993 -0.030677  _ ],[-0.275911 0.198414 -0.222829  _ ],[-0.322379 0.164240 -0.310513  _ ],[-0.425852 0.122906 -0.478926  _ ],
A-7,[-0.067954 0.135836 -0.158158  _ ],[0.087781 0.137067 0.093163  _ ],[0.141843 0.096045 0.137797  _ ],[0.125620 0.100839 0.299011  _ ],[0.166209 0.103435 0.338145  _ ],[0.198578 0.124115 0.374363  _ ],[0.433589 0.160746 0.206455  _ ],[0.075495 0.208888 0.004134  _ ],[-0.122119 0.149197 -0.245272  _ ],[-0.161091 0.124461 -0.313834  _ ],
A-8,[0.286097 0.080170 -0.069903  _ ],[0.397289 0.132316 0.187912  _ ],[0.387876 0.147112 0.251653  _ ],[0.417280 0.132393 0.234556  _ ],[0.441681 0.162289 0.342308  _ ],[0.490398 0.156715 0.340305  _ ],[0.648102 0.215390 0.253955  _ ],[0.610479 0.209579 0.107273  _ ],[0.309068 0.114550 -0.097195  _ ],[0.060160 0.137188 -0.131017  _ ],
A-9,[0.646047 0.119822 -0.016530  _ ],[0.647951 0.180818 0.280868  _ ],[0.657752 0.167115 0.380677  _ ],[0.652036 0.171343 0.362279  _ ],[0.661137 0.164867 0.399288  _ ],[0.706433 0.166099 0.416249  _ ],[0.772336 0.224457 0.327278  _ ],[0.800296 0.205602 0.149265  _ ],[0.767184 0.192052 0.027395  _ ],[0.558006 0.244680 0.017459  _ ],
A-10,[0.906563 0.117035 0.099506  _ ],[0.867188 0.133822 0.262699  _ ],[0.870337 0.138320 0.235802  _ ],[0.871871 0.132765 0.295601  _ ],[0.871749 0.144881 0.288668  _ ],[0.845992 0.136009 0.253534  _ ],[0.912923 0.158285 0.216409  _ ],[0.928655 0.178983 0.259208  _ ],[0.933449 0.166119 0.112054  _ ],[0.963280 0.343758 0.241710  _ ],
A-A,[-0.136230 0.014773 -0.105366 0.358122],[-0.110548 0.030860 -0.016734 0.425840],[-0.082919 0.027883 -0.001923 0.443335],[-0.068557 0.042515 0.056576 0.452209],[-0.046895 0.039273 0.036502 0.462716],[-0.066340 0.046728 0.077425 0.466063],[-0.120912 0.040568 -0.031797 0.504766],[-0.144624 0.031626 -0.136996 0.473455],[-0.153933 0.032970 -0.154333 0.421975],[-0.417280 0.112588 -0.442466 0.396733],
2-2,[-0.154180 0.004286 -0.330967 0.065297],[-0.065493 0.017530 -0.140658 0.116548],[-0.097869 0.021707 -0.186335 0.144848],[-0.068472 0.023463 -0.085712 0.154902],[-0.051673 0.027373 -0.150508 0.161651],[-0.063828 0.032609 -0.070302 0.202334],[-0.146266 0.019888 -0.271574 0.144129],[-0.173871 0.016301 -0.355325 0.102469],[-0.165271 0.011218 -0.315964 0.083090],[-0.437178 0.048662 -0.797011 0.075415],
3-3,[-0.169121 0.004853 -0.302807 0.069281],[-0.113052 0.018062 -0.126973 0.105081],[-0.083226 0.018936 -0.140354 0.130763],[-0.037580 0.022795 -0.171741 0.135929],[-0.032698 0.025442 -0.094564 0.152326],[-0.023310 0.029149 -0.095331 0.171245],[-0.137748 0.020999 -0.280670 0.131220],[-0.170717 0.015361 -0.346322 0.094217],[-0.165925 0.007492 -0.304383 0.085820],[-0.394455 0.037673 -0.876820 0.070319],
4-4,[-0.160064 0.005275 -0.158301 0.055938],[-0.095495 0.111851 -0.044962 0.025431],[-0.076537 0.144828 -0.037926 0.031207],[-0.057936 0.134648 -0.029800 0.028978],[-0.047316 0.164178 0.010243 0.036382],[-0.084604 0.197530 0.025747 0.045485],[-0.125306 0.218863 -0.039720 0.028087],[-0.177590 0.120494 -0.139425 0.022416],[-0.175407 0.011020 -0.266371 0.073380],[-0.414082 0.029867 -0.504043 0.064816],
5-5,[-0.132766 0.217737 0.001980 0.006011],[-0.089031 0.056339 0.395204 0.023019],[-0.069642 0.053469 0.415868 0.023288],[-0.068966 0.059494 0.314979 0.022120],[-0.030671 0.054117 0.558097 0.022782],[-0.051389 0.068536 0.583529 0.032886],[-0.137627 0.078331 0.326809 0.024300],[-0.159765 0.067610 0.253340 0.020332],[-0.156005 0.255390 0.059831 0.011250],[-0.392700 0.243920 0.030685 0.042712],
6-6,[-0.151279 -0.060635 -0.159632 0.048693],[-0.084388 -0.052406 -0.052178 0.098718],[-0.079530 -0.053430 -0.008548 0.114085],[-0.053702 -0.070978 -0.057486 0.128000],[-0.029396 -0.062454 -0.062788 0.127720],[-0.041685 -0.047014 -0.003075 0.173995],[-0.143081 -0.047143 -0.068435 0.110347],[-0.167952 -0.052119 -0.070459 0.083346],[-0.175183 -0.037252 -0.175218 0.064459],[-0.370811 -0.148895 -0.329086 0.064481],
7-7,[-0.122652 -0.074584 -0.121515 0.049959],[-0.095480 -0.096393 -0.086504 0.084721],[-0.064350 -0.121811 -0.067796 0.103127],[-0.062485 -0.116813 -0.001775 0.118841],[-0.034004 -0.106166 -0.031068 0.135389],[-0.032652 -0.106574 -0.016535 0.174593],[-0.135404 -0.088563 -0.038105 0.121290],[-0.167460 -0.105006 -0.105991 0.069627],[-0.174051 -0.106452 -0.106535 0.066373],[-0.427812 -0.292147 -0.377106 0.060533],
8-8,[-0.141705 -0.115255 -0.064163 0.055550],[-0.117153 -0.160583 -0.083319 0.135642],[-0.081576 -0.163721 -0.080941 0.149659],[-0.059177 -0.138873 -0.104642 0.167080],[-0.037494 -0.158569 -0.116251 0.181011],[-0.066528 -0.128177 -0.038525 0.232192],[-0.181115 -0.140186 -0.086806 0.245518],[-0.162426 -0.126039 -0.060805 0.114065],[-0.176273 -0.169309 -0.137576 0.068101],[-0.432494 -0.360009 -0.331314 0.052351],
9-9,[-0.007515 -0.149975 -0.108377 0.135662],[0.037574 -0.201993 -0.156298 0.204014],[0.048079 -0.204186 -0.146040 0.217508],[0.024139 -0.203793 -0.143932 0.227166],[0.059121 -0.204641 -0.122041 0.226688],[0.060572 -0.197297 -0.130624 0.265170],[0.364357 -0.205324 -0.124718 0.094686],[0.042197 -0.200685 -0.129215 0.231780],[-0.056681 -0.215286 -0.130017 0.145566],[-0.141168 -0.485327 -0.417967 0.082347],
10-10,[0.658029 -0.859186 -0.783178 0.228192],[0.656353 -0.852858 -0.771044 0.260703],[0.663900 -0.875034 -0.794634 0.266410],[0.652887 -0.855459 -0.803560 0.279068],[0.676005 -0.847432 -0.766140 0.285730],[0.709106 -0.859110 -0.786099 0.308859],[0.751742 -0.862932 -0.780006 0.317700],[0.785789 -0.863358 -0.780899 0.311059],[0.768544 -0.854722 -0.786107 0.273705],[0.545347 -0.854168 -0.761230 0.214310],
