,A,2,3,4,5,6,7,8,9,10,
5,6282,8603,8591,9112,9114,9247,9108,9240,8980,31594,
6,6288,8313,8657,8153,8672,8689,8807,8616,8972,32284,
7,12682,17451,17618,17558,17479,18242,18002,17734,18243,66016,
8,12866,18168,18305,19076,18668,18051,18813,18766,18687,68305,
9,20096,28058,27924,26828,25686,25724,28309,28439,29162,105700,
10,21088,25650,17157,7820,28291,30622,27212,29446,31022,112455,
11,5708,4965,8252,8425,8542,8316,7160,8073,8467,29980,
12,51268,69916,64859,62573,48400,41238,71562,72757,74078,270657,
13,55382,63395,56452,47429,48302,41235,75711,79908,80733,297497,
14,52392,31263,39912,58579,31002,50037,55535,69990,75456,285249,
15,54213,66898,70927,62323,64837,59416,70073,56162,78654,290414,
16,34673,64831,64967,63512,60256,55948,70203,75464,53104,225764,
17,36420,70132,68199,65315,62040,60378,69693,55410,71147,295498,
18,50001,60285,59123,56445,52375,49592,60762,66291,72389,270763,
19,48683,58050,55669,52169,48775,47752,58975,65500,68931,272194,
20,23981,20823,17589,12281,8511,6930,24488,29282,34956,130703,
21,20303,16257,13830,11570,8189,7451,19727,24247,29652,111884,
A-2,5860,8676,9479,9088,9245,9068,9145,9246,9138,32468,
A-3,6135,9838,9027,9718,9774,9519,9765,9597,9729,35202,
A-4,6540,10004,9862,9296,9652,9752,9731,10185,10096,38363,
A-5,7159,11023,11315,11013,10389,11334,11033,11198,11223,41097,
A-6,7716,12238,12307,12134,11580,11467,12123,12080,12099,45346,
A-7,8702,12663,12093,12740,12987,6871,12359,13681,13599,50462,
A-8,8949,14699,14336,14682,14457,13870,14076,14232,4580,53903,
A-9,9801,15413,15030,15459,15089,14397,14056,15308,15041,60118,
A-10,5956,8840,8339,7438,7392,6740,8222,9192,9499,37344,
A-A,5240,8743,9171,8878,8769,8912,8587,8620,8622,32464,
2-2,5754,7556,8940,8855,8891,8922,8529,8548,8654,12075,
3-3,5914,8397,7454,8487,8791,8787,8664,8484,8419,22437,
4-4,5904,3185,3643,3238,3629,3592,3703,3752,8090,29574,
5-5,2517,1402,3557,1889,3123,3668,2774,3578,3649,13703,
6-6,5716,8304,8881,8875,8528,7551,8209,8605,8766,30789,
7-7,5770,8409,8672,8875,8646,8733,7587,8374,8396,31121,
8-8,5820,8464,8793,8842,8921,8864,8445,7413,8465,31030,
9-9,5773,8483,8474,8567,8318,6949,3695,8563,7242,31009,
10-10,44270,63410,63340,63319,63364,63301,63344,62846,63006,224774,
