,A,2,3,4,5,6,7,8,9,10,
5,[-0.633679 0.079412 -1.229720  _ ],[-0.331181 0.096180 -0.585507  _ ],[-0.190543 0.120453 -0.523326  _ ],[-0.127888 0.124260 -0.504659  _ ],[-0.129930 0.154112 -0.310742  _ ],[-0.094470 0.144575 -0.431129  _ ],[-0.500671 0.145756 -0.928227  _ ],[-0.522476 0.111831 -0.927291  _ ],[-0.621345 0.093493 -1.009354  _ ],[-0.565996 0.071763 -1.208728  _ ],
6,[-0.652832 0.069009 -1.235340  _ ],[-0.312514 0.089523 -0.572187  _ ],[-0.290757 0.114732 -0.506453  _ ],[-0.221308 0.104087 -0.455723  _ ],[-0.184801 0.121071 -0.285963  _ ],[-0.135718 0.136912 -0.299227  _ ],[-0.468871 0.120316 -0.768729  _ ],[-0.473619 0.105564 -1.030295  _ ],[-0.440708 0.091405 -0.984573  _ ],[-0.622946 0.080682 -1.028084  _ ],
7,[-0.714354 0.072327 -1.011158  _ ],[-0.356952 0.078848 -0.651888  _ ],[-0.264390 0.099110 -0.376725  _ ],[-0.176803 0.107514 -0.323005  _ ],[-0.097761 0.114090 -0.206695  _ ],[-0.079356 0.136258 -0.125148  _ ],[-0.496393 0.107715 -0.601935  _ ],[-0.537995 0.095218 -0.742084  _ ],[-0.551488 0.069025 -0.944247  _ ],[-0.546915 0.061259 -1.002354  _ ],
8,[-0.621817 0.076982 -0.741492  _ ],[-0.265348 0.110028 -0.121192  _ ],[-0.309329 0.137934 -0.124916  _ ],[-0.160969 0.148410 -0.064786  _ ],[-0.138216 0.170893 -0.173853  _ ],[-0.167795 0.202597 0.095554  _ ],[-0.456108 0.238032 -0.318034  _ ],[-0.470287 0.125368 -0.476025  _ ],[-0.531928 0.073812 -0.627553  _ ],[-0.595353 0.047328 -0.836988  _ ],
9,[-0.682050 0.168244 -0.495748  _ ],[-0.279286 0.206773 0.092045  _ ],[-0.191454 0.208815 0.072135  _ ],[-0.162573 0.236078 0.194265  _ ],[-0.224531 0.241807 0.198921  _ ],[-0.122401 0.300815 0.238024  _ ],[-0.488011 0.304510 0.081989  _ ],[-0.457061 0.279873 -0.156101  _ ],[-0.525019 0.161823 -0.358693  _ ],[-0.571318 0.079759 -0.512126  _ ],
10,[-0.701425 0.268153 0.090303  _ ],[-0.372611 0.316807 0.257319  _ ],[-0.225474 0.312972 0.281866  _ ],[-0.221228 0.313040 0.260275  _ ],[-0.247828 0.265122 0.579656  _ ],[-0.206810 0.355473 0.292576  _ ],[-0.541898 0.388009 0.317624  _ ],[-0.559961 0.383154 0.321191  _ ],[-0.574069 0.323117 0.092705  _ ],[-0.558341 0.259029 0.025084  _ ],
11,[-0.552064 0.338086 -0.025013  _ ],[-0.277741 0.364655 0.308540  _ ],[-0.218776 0.324136 0.632998  _ ],[-0.296485 0.351201 0.651513  _ ],[-0.186102 0.365457 0.583982  _ ],[-0.180504 0.413590 0.719831  _ ],[-0.482535 0.435769 0.373905  _ ],[-0.483155 0.406337 0.228637  _ ],[-0.570173 0.368145 0.189738  _ ],[-0.555403 0.352406 0.285867  _ ],
12,[-0.675775 -0.115925 -0.500458  _ ],[-0.317379 -0.179624 -0.330248  _ ],[-0.238107 -0.126228 -0.200088  _ ],[-0.273494 -0.141456 -0.246334  _ ],[-0.236809 -0.177544 -0.229590  _ ],[-0.223905 -0.151702 -0.208215  _ ],[-0.479000 -0.061772 -0.255359  _ ],[-0.462157 -0.122494 -0.317281  _ ],[-0.515502 -0.152516 -0.470067  _ ],[-0.568414 -0.182444 -0.445882  _ ],
13,[-0.680848 -0.209436 -0.521899  _ ],[-0.320991 -0.239875 -0.353909  _ ],[-0.327182 -0.208255 -0.339443  _ ],[-0.150600 -0.304264 -0.326460  _ ],[-0.308644 -0.292619 -0.253509  _ ],[-0.271013 -0.267971 -0.032836  _ ],[-0.469194 -0.221565 -0.311051  _ ],[-0.533666 -0.240122 -0.312857  _ ],[-0.561414 -0.261305 -0.419886  _ ],[-0.532312 -0.258877 -0.445942  _ ],
14,[-0.673141 -0.270344 -0.510798  _ ],[-0.406227 -0.298739 -0.403303  _ ],[-0.167408 -0.375609 -0.383219  _ ],[-0.175665 -0.333946 -0.303318  _ ],[-0.133152 -0.327631 -0.304043  _ ],[-0.139438 -0.314568 -0.282431  _ ],[-0.475182 -0.309644 -0.381199  _ ],[-0.479726 -0.209676 -0.420361  _ ],[-0.551645 -0.281313 -0.553338  _ ],[-0.558230 -0.342223 -0.537433  _ ],
15,[-0.697520 -0.428163 -0.497800  _ ],[-0.304045 -0.451781 -0.414535  _ ],[-0.336544 -0.405483 -0.388370  _ ],[-0.233945 -0.348432 -0.393275  _ ],[-0.177313 -0.358281 -0.278689  _ ],[-0.155949 -0.344590 -0.355992  _ ],[-0.431878 -0.343569 -0.417568  _ ],[-0.495426 -0.341660 -0.500591  _ ],[-0.551523 -0.412245 -0.490645  _ ],[-0.532188 -0.411851 -0.514732  _ ],
16,[-0.656830 -0.463416 -0.545088  _ ],[-0.304683 -0.449189 -0.408354  _ ],[-0.257503 -0.447466 -0.426984  _ ],[-0.276746 -0.440416 -0.392246  _ ],[-0.156236 -0.468890 -0.336327  _ ],[-0.144234 -0.437597 -0.359923  _ ],[-0.466854 -0.413405 -0.171573  _ ],[-0.468345 -0.437867 -0.251485  _ ],[-0.554467 -0.536548 -0.409042  _ ],[-0.622821 -0.568055 -0.581889  _ ],
17,[-0.506653 -0.570921 -0.554140  _ ],[-0.100557 -0.526562 -0.375491  _ ],[-0.153291 -0.514966 -0.328922  _ ],[-0.065898 -0.495455 -0.452931  _ ],[-0.037028 -0.551725 -0.334228  _ ],[-0.016036 -0.523475 -0.231843  _ ],[-0.152169 -0.434320 -0.309843  _ ],[-0.446193 -0.453516 -0.305401  _ ],[-0.473557 -0.575330 -0.564298  _ ],[-0.423720 -0.550064 -0.532686  _ ],
18,[-0.090847 -0.565645 -0.564161  _ ],[0.118002 -0.624916 -0.355829  _ ],[0.131407 -0.641115 -0.622493  _ ],[0.173664 -0.601029 -0.472605  _ ],[0.168724 -0.612095 -0.398374  _ ],[0.249575 -0.587973 -0.414168  _ ],[0.386869 -0.603513 -0.495425  _ ],[0.069488 -0.629276 -0.444327  _ ],[-0.132845 -0.599506 -0.443141  _ ],[-0.085617 -0.640807 -0.544328  _ ],
