,A,2,3,4,5,6,7,8,9,10,
5,[1209 7302 1251 0],[1748 9974 1797 0],[1741 10056 1753 0],[1815 10763 1794 0],[1824 10720 1830 0],[1792 10711 1754 0],[1717 10232 1810 0],[1826 9745 1804 0],[1795 10228 1815 0],[6628 37641 6683 0],
6,[1254 7199 1236 0],[1698 9588 1688 0],[1738 9943 1745 0],[1633 9383 1626 0],[1793 10273 1831 0],[1748 10305 1794 0],[1773 10047 1763 0],[1813 9954 1725 0],[1756 9933 1817 0],[6730 37836 6812 0],
7,[2566 14801 2503 0],[3447 20057 3484 0],[3509 20315 3573 0],[3507 20639 3583 0],[3636 20617 3663 0],[3599 21094 3482 0],[3662 20380 3642 0],[3598 20327 3647 0],[3670 21017 3605 0],[13292 77134 13469 0],
8,[2557 15140 2514 0],[3652 21523 3587 0],[3638 21639 3550 0],[3754 22304 3706 0],[3596 21651 3685 0],[3732 21426 3839 0],[3728 21678 3697 0],[3695 21479 3767 0],[3770 21744 3690 0],[13629 79880 13764 0],
9,[3950 23358 3851 0],[5627 32864 5559 0],[5488 32712 6085 0],[5626 31722 6925 0],[5481 28870 9769 0],[5613 29133 9590 0],[5523 32385 5676 0],[5536 33069 5692 0],[5631 33394 5650 0],[20729 123500 20598 0],
10,[4009 24694 4061 0],[5711 30149 10779 0],[5647 19516 21284 0],[5557 24786 16129 0],[5938 21108 20744 0],[5684 8534 32632 0],[5700 33280 6833 0],[5746 33960 6082 0],[5904 35305 5957 0],[21314 130424 21474 0],
11,[688 6803 750 0],[938 5082 5564 0],[974 951 9683 0],[965 944 9739 0],[960 950 9806 0],[916 936 9739 0],[1005 7888 1631 0],[948 8911 1045 0],[1014 9233 951 0],[3668 35891 3536 0],
12,[9709 59947 9840 0],[13801 80896 16407 0],[14377 74651 22760 0],[14357 74709 23304 0],[16623 46739 48238 0],[15627 46471 49764 0],[14271 83360 14738 0],[13920 83958 14013 0],[14298 84576 14273 0],[52346 317814 52024 0],
13,[10211 65640 10458 0],[16906 83099 23153 0],[21536 70769 26202 0],[27206 65697 28092 0],[44545 37871 35742 0],[50494 16986 49258 0],[14765 84641 20991 0],[14782 91136 15628 0],[14855 93160 15179 0],[55124 348459 55994 0],
14,[9462 61193 9764 0],[29372 44513 38794 0],[66281 15322 28901 0],[67513 14298 25011 0],[71314 13414 19608 0],[65098 13007 23577 0],[13391 69396 29442 0],[13368 84548 16633 0],[13763 87804 14395 0],[50621 329958 51501 0],
15,[9878 65026 10949 0],[79159 14349 24481 0],[77214 14364 21715 0],[83952 13261 16090 0],[78264 12804 14199 0],[73192 13128 18144 0],[13920 43078 61712 0],[14180 62777 44968 0],[14308 88866 18889 0],[52902 342768 62123 0],
16,[9032 49978 22169 0],[76498 12619 17456 0],[74020 12121 14901 0],[76288 12233 12791 0],[71357 12024 13124 0],[63435 11175 14685 0],[12504 12773 83612 0],[13179 16038 85602 0],[13249 61192 40972 0],[58149 278422 97165 0],
17,[37649 9359 38960 0],[83015 12604 12646 0],[78947 12370 12409 0],[78333 12380 12218 0],[73325 12179 12044 0],[71531 12014 12005 0],[82635 12301 12792 0],[47477 12963 54688 0],[76670 13337 31789 0],[345621 49687 64953 0],
18,[59212 8040 8055 0],[71968 10867 10954 0],[66851 10687 10643 0],[67539 10505 10597 0],[62107 10265 10383 0],[58413 10221 10286 0],[72378 11039 10882 0],[76799 10860 10930 0],[84653 11497 11615 0],[318357 43272 43224 0],
19,[59089 8059 8091 0],[68717 10964 10823 0],[63619 10728 10490 0],[63645 10566 10482 0],[58488 10149 10177 0],[55807 10152 10154 0],[70358 10828 10914 0],[75672 11223 11526 0],[78287 11154 11240 0],[319388 44134 43486 0],
20,[28786 3164 3111 0],[25918 3449 3467 0],[18110 3168 3092 0],[20402 3046 3072 0],[14251 2777 2835 0],[8650 2889 2798 0],[30270 3722 3780 0],[33665 4170 4169 0],[40239 4444 4411 0],[153337 16655 16645 0],
21,[24800 4011 0 0],[19506 4506 0 0],[15086 4130 0 0],[14448 4089 0 0],[10108 3716 0 0],[8327 3804 0 0],[24520 4709 0 0],[27518 5322 0 0],[33442 5445 0 0],[132040 21299 0 0],
A-2,[1195 6974 1140 0],[1678 10054 1670 0],[1818 10791 1793 0],[1866 10430 2005 0],[1832 10622 1790 0],[1797 10622 1934 0],[1829 10717 1880 0],[1826 10327 1752 0],[1788 10372 1799 0],[6643 38586 6622 0],
