,A,2,3,4,5,6,7,8,9,10,
5,[-0.704143 0.082491 -1.365570  _ ],[-0.296792 0.086787 -0.622178  _ ],[-0.318820 0.102695 -0.475000  _ ],[-0.227644 0.116712 -0.496397  _ ],[-0.165082 0.139325 -0.229635  _ ],[-0.128994 0.172460 -0.190888  _ ],[-0.409137 0.127863 -0.986707  _ ],[-0.570801 0.126345 -1.068000  _ ],[-0.650295 0.084588 -1.025225  _ ],[-0.560029 0.067137 -1.065556  _ ],
6,[-0.703925 0.081839 -1.297074  _ ],[-0.279421 0.095891 -0.461616  _ ],[-0.157136 0.096916 -0.497326  _ ],[-0.245899 0.113286 -0.451789  _ ],[-0.165847 0.108539 -0.290413  _ ],[-0.119170 0.154257 -0.165947  _ ],[-0.473740 0.121952 -0.957420  _ ],[-0.553854 0.105649 -1.187001  _ ],[-0.542752 0.089934 -0.937592  _ ],[-0.605642 0.062938 -1.093522  _ ],
7,[-0.640020 0.073533 -1.082233  _ ],[-0.273363 0.086457 -0.467543  _ ],[-0.302203 0.100913 -0.385968  _ ],[-0.177278 0.099129 -0.412523  _ ],[-0.168962 0.112138 -0.143764  _ ],[-0.213650 0.161752 0.019858  _ ],[-0.539879 0.112646 -0.443317  _ ],[-0.497821 0.110356 -0.956872  _ ],[-0.527330 0.076000 -0.956285  _ ],[-0.532353 0.058780 -0.940433  _ ],
8,[-0.601175 0.074884 -0.876951  _ ],[-0.335149 0.111544 -0.192024  _ ],[-0.334140 0.133193 -0.064642  _ ],[-0.196725 0.160686 -0.023100  _ ],[-0.104274 0.165897 0.141792  _ ],[-0.191738 0.230177 0.030180  _ ],[-0.507588 0.236540 -0.139646  _ ],[-0.557124 0.152905 -0.476363  _ ],[-0.500004 0.059830 -0.722607  _ ],[-0.527687 0.046996 -0.696259  _ ],
9,[-0.661836 0.166394 -0.472749  _ ],[-0.294633 0.208338 -0.014763  _ ],[-0.318320 0.218412 0.171938  _ ],[-0.185801 0.260704 0.148543  _ ],[-0.149751 0.270723 0.179510  _ ],[-0.169510 0.300849 0.181387  _ ],[-0.432342 0.308731 0.096226  _ ],[-0.488585 0.277382 -0.002216  _ ],[-0.510462 0.206484 -0.327603  _ ],[-0.558883 0.066190 -0.333290  _ ],
10,[-0.660160 0.315717 0.083745  _ ],[-0.286716 0.313155 0.252578  _ ],[-0.218762 0.281955 0.393294  _ ],[-0.240829 0.326157 0.210520  _ ],[-0.203283 0.336962 0.281514  _ ],[-0.158276 0.357478 0.564252  _ ],[-0.512440 0.409742 0.249937  _ ],[-0.525524 0.374129 0.290106  _ ],[-0.550996 0.347246 0.172161  _ ],[-0.522605 0.258125 -0.043035  _ ],
11,[-0.616294 0.358365 0.112754  _ ],[-0.254467 0.373101 0.312533  _ ],[-0.188674 0.382027 0.308306  _ ],[-0.244592 0.364152 0.580447  _ ],[-0.161740 0.382310 0.548068  _ ],[-0.120381 0.404003 0.670081  _ ],[-0.480884 0.434545 0.377268  _ ],[-0.482657 0.415527 0.332519  _ ],[-0.544514 0.373468 0.146235  _ ],[-0.491656 0.338555 0.145336  _ ],
12,[-0.693118 -0.157255 -0.364364  _ ],[-0.397903 -0.201925 -0.251104  _ ],[-0.297742 -0.124230 -0.262600  _ ],[-0.261064 -0.161298 -0.247170  _ ],[-0.246993 -0.090311 -0.234939  _ ],[-0.241992 -0.210567 -0.080461  _ ],[-0.493148 -0.116187 -0.196501  _ ],[-0.431489 -0.180343 -0.264619  _ ],[-0.552615 -0.172363 -0.568438  _ ],[-0.584978 -0.252915 -0.367204  _ ],
13,[-0.594864 -0.242364 -0.395207  _ ],[-0.324685 -0.211281 -0.285958  _ ],[-0.336999 -0.277443 -0.335419  _ ],[-0.318120 -0.284592 -0.165749  _ ],[-0.110077 -0.287003 -0.311220  _ ],[-0.124382 -0.285695 -0.302217  _ ],[-0.500236 -0.204660 -0.274693  _ ],[-0.473885 -0.266210 -0.329568  _ ],[-0.541423 -0.204412 -0.427098  _ ],[-0.540942 -0.292975 -0.412916  _ ],
14,[-0.663445 -0.316731 -0.422979  _ ],[-0.299171 -0.395603 -0.394851  _ ],[-0.287606 -0.395152 -0.351134  _ ],[-0.221816 -0.313553 -0.309387  _ ],[-0.310103 -0.310534 0.031312  _ ],[-0.101363 -0.296333 -0.292100  _ ],[-0.434301 -0.231504 -0.391682  _ ],[-0.547835 -0.245223 -0.397730  _ ],[-0.553826 -0.294837 -0.521608  _ ],[-0.521503 -0.319727 -0.516537  _ ],
15,[-0.647181 -0.361818 -0.524820  _ ],[-0.279428 -0.428652 -0.445660  _ ],[-0.265026 -0.404492 -0.388367  _ ],[-0.213355 -0.340032 -0.333037  _ ],[-0.129105 -0.419646 -0.317423  _ ],[-0.161231 -0.389600 -0.281751  _ ],[-0.485728 -0.372786 -0.393919  _ ],[-0.531077 -0.448090 -0.299984  _ ],[-0.572978 -0.358322 -0.524061  _ ],[-0.553647 -0.421808 -0.537712  _ ],
16,[-0.709731 -0.481509 -0.537957  _ ],[-0.294721 -0.449692 -0.428015  _ ],[-0.247544 -0.466803 -0.501392  _ ],[-0.224794 -0.434923 -0.362882  _ ],[-0.124258 -0.396038 -0.348539  _ ],[-0.140886 -0.438470 -0.356368  _ ],[-0.449312 -0.445775 -0.207378  _ ],[-0.485543 -0.437389 -0.489125  _ ],[-0.556931 -0.439986 -0.556772  _ ],[-0.634649 -0.536554 -0.598375  _ ],
17,[-0.490865 -0.577308 -0.581682  _ ],[-0.140539 -0.529091 -0.329605  _ ],[-0.107425 -0.586602 -0.308283  _ ],[-0.097780 -0.558390 -0.404886  _ ],[-0.027060 -0.558358 -0.341729  _ ],[-0.027812 -0.444905 -0.274354  _ ],[-0.144471 -0.536283 -0.250486  _ ],[-0.498722 -0.505078 -0.427028  _ ],[-0.425501 -0.580517 -0.555376  _ ],[-0.461483 -0.570970 -0.539969  _ ],
18,[-0.086594 -0.638558 -0.507166  _ ],[0.047429 -0.620301 -0.559229  _ ],[0.187627 -0.587477 -0.456515  _ ],[0.223924 -0.643906 -0.464328  _ ],[0.184394 -0.586000 -0.374005  _ ],[0.320167 -0.648927 -0.421359  _ ],[0.430845 -0.550867 -0.469116  _ ],[0.112971 -0.616663 -0.426288  _ ],[-0.166956 -0.594709 -0.401250  _ ],[-0.201715 -0.647862 -0.565506  _ ],
19,[0.335611 -0.740115 -0.564703  _ ],[0.412993 -0.785851 -0.664882  _ ],[0.435290 -0.677175 -0.589587  _ ],[0.421140 -0.696051 -0.645547  _ ],[0.439536 -0.760690 -0.554289  _ ],[0.553584 -0.693061 -0.544714  _ ],[0.583239 -0.733505 -0.587029  _ ],[0.519995 -0.684393 -0.605854  _ ],[0.323168 -0.705627 -0.524975  _ ],[-0.004753 -0.734788 -0.579076  _ ],
20,[0.674634 -0.888242 -0.786844  _ ],[0.611912 -0.839896 -0.832078  _ ],[0.620743 -0.881030 -0.862691  _ ],[0.667343 -0.866020 -0.738853  _ ],[0.648052 -0.851182 -0.816319  _ ],[0.727374 -0.838819 -0.790395  _ ],[0.764127 -0.867860 -0.753398  _ ],[0.759746 -0.847347 -0.720910  _ ],[0.786990 -0.865944 -0.729063  _ ],[0.578555 -0.859891 -0.763813  _ ],
21,[0.934897 -1.000000 0.000000  _ ],[0.879065 -1.000000 0.000000  _ ],[0.913746 -1.000000 0.000000  _ ],[0.900827 -1.000000 0.000000  _ ],[0.912868 -1.000000 0.000000  _ ],[0.902624 -1.000000 0.000000  _ ],[0.929900 -1.000000 0.000000  _ ],[0.918599 -1.000000 0.000000  _ ],[0.938332 -1.000000 0.000000  _ ],[0.947725 -1.000000 0.000000  _ ],
A-2,[-0.642766 0.191776 -0.675749  _ ],[-0.273745 0.227312 -0.035325  _ ],[-0.310245 0.218168 0.120674  _ ],[-0.208271 0.235115 0.187803  _ ],[-0.119957 0.221028 0.087937  _ ],[-0.153741 0.237938 0.083716  _ ],[-0.492160 0.278108 -0.184885  _ ],[-0.568180 0.242257 -0.101861  _ ],[-0.566776 0.203441 -0.461351  _ ],[-0.529579 0.182176 -0.535256  _ ],
A-3,[-0.662124 0.185248 -0.589049  _ ],[-0.322021 0.212996 0.004702  _ ],[-0.216352 0.217445 0.071278  _ ],[-0.173536 0.217486 0.041314  _ ],[-0.122363 0.204112 0.003883  _ ],[-0.134877 0.244453 0.183163  _ ],[-0.474188 0.235804 -0.239303  _ ],[-0.502978 0.236662 -0.370674  _ ],[-0.532281 0.191448 -0.413694  _ ],[-0.437095 0.165142 -0.412573  _ ],
A-4,[-0.685462 0.143995 -0.632699  _ ],[-0.277430 0.189867 0.092460  _ ],[-0.271263 0.196390 0.126209  _ ],[-0.223362 0.196156 0.128661  _ ],[-0.207206 0.203926 0.141163  _ ],[-0.196812 0.205334 0.136022  _ ],[-0.441671 0.230521 -0.197860  _ ],[-0.555036 0.220044 -0.406578  _ ],[-0.567564 0.182574 -0.464178  _ ],[-0.526894 0.154470 -0.531320  _ ],
A-5,[-0.674327 0.166419 -0.607182  _ ],[-0.285846 0.177678 -0.327622  _ ],[-0.261375 0.183942 0.023749  _ ],[-0.154502 0.183851 -0.033848  _ ],[-0.095629 0.199370 0.055986  _ ],[-0.054993 0.224007 0.126334  _ ],[-0.435465 0.202203 -0.230379  _ ],[-0.472223 0.214407 -0.328380  _ ],[-0.525362 0.178694 -0.489016  _ ],[-0.577775 0.150383 -0.468445  _ ],
