,A,2,3,4,5,6,7,8,9,10,
5,[-0.007456 0.000483 -0.017494  _ ],[-0.004375 0.004338 -0.008510  _ ],[-0.004764 0.005398 -0.006334  _ ],[-0.003062 0.006344 -0.010153  _ ],[-0.003771 0.005964 -0.000831  _ ],[-0.001093 0.008279 -0.004168  _ ],[-0.009713 0.004707 -0.015269  _ ],[-0.008419 0.004148 -0.019243  _ ],[-0.011015 0.001944 -0.013320  _ ],[-0.032262 0.012317 -0.069667  _ ],
6,[-0.007453 0.000429 -0.016309  _ ],[-0.003576 0.003752 -0.009117  _ ],[-0.001983 0.004741 -0.005560  _ ],[-0.002374 0.005202 -0.009733  _ ],[-0.002578 0.005526 -0.001766  _ ],[-0.003271 0.007215 -0.002965  _ ],[-0.006450 0.004407 -0.015469  _ ],[-0.008330 0.003683 -0.016453  _ ],[-0.010014 0.001853 -0.019059  _ ],[-0.031562 0.010846 -0.059814  _ ],
7,[-0.017097 0.000809 -0.028874  _ ],[-0.010322 0.007446 -0.007304  _ ],[-0.008263 0.008622 -0.013214  _ ],[-0.008059 0.011173 -0.005449  _ ],[-0.006404 0.011602 -0.010632  _ ],[-0.003528 0.015498 -0.003160  _ ],[-0.013686 0.009157 -0.017658  _ ],[-0.015445 0.007606 -0.022497  _ ],[-0.021111 0.003579 -0.030516  _ ],[-0.061804 0.017147 -0.115811  _ ],
8,[-0.015141 0.001518 -0.022117  _ ],[-0.012392 0.017100 -0.004523  _ ],[-0.007780 0.018789 -0.000416  _ ],[-0.009449 0.024277 -0.004286  _ ],[-0.007784 0.000311 0.009531  _ ],[-0.007364 0.000310 0.044615  _ ],[-0.017104 0.037419 -0.013179  _ ],[-0.019233 0.016857 -0.015551  _ ],[-0.018489 0.005344 -0.023576  _ ],[-0.070662 0.015521 -0.078705  _ ],
9,[-0.021617 0.021978 -0.009055  _ ],[-0.011700 0.048587 -0.003051  _ ],[-0.012718 0.000493 0.055481  _ ],[-0.007683 0.000540 0.135509  _ ],[-0.006585 0.000594 0.142435  _ ],[-0.008635 0.000687 0.210778  _ ],[-0.026016 0.000838 0.072616  _ ],[-0.025268 0.071676 -0.001877  _ ],[-0.029915 0.038638 -0.009600  _ ],[-0.097242 0.056899 -0.094251  _ ],
10,[-0.024823 0.000190 0.022299  _ ],[-0.016792 0.000361 0.215525  _ ],[-0.010523 0.000407 0.276050  _ ],[-0.011165 0.000454 0.293963  _ ],[-0.010026 0.000461 0.310350  _ ],[-0.005770 0.000434 0.335255  _ ],[-0.026561 0.000494 0.261241  _ ],[-0.028799 0.000505 0.191023  _ ],[-0.030073 0.000405 0.097993  _ ],[-0.097559 0.183835 0.003479  _ ],
11,[-0.004686 0.011984 -0.001594  _ ],[-0.002893 0.000124 0.120529  _ ],[-0.001293 0.000076 0.104233  _ ],[-0.001198 0.000087 0.118884  _ ],[-0.000899 0.000113 0.093008  _ ],[-0.001593 0.000090 0.096696  _ ],[-0.005174 0.000126 0.079927  _ ],[-0.004581 0.000165 0.090737  _ ],[-0.006669 0.000134 0.045739  _ ],[-0.017468 0.001673 0.095227  _ ],
12,[-0.175023 -0.174934 -0.174996  _ ],[-0.128293 -0.128327 -0.125149  _ ],[-0.116878 -0.116812 -0.116847  _ ],[-0.076964 -0.076963 -0.075965  _ ],[-0.047123 -0.047103 -0.046671  _ ],[-0.033089 -0.039527 -0.024797  _ ],[-0.133915 -0.133488 -0.134002  _ ],[-0.177889 -0.177753 -0.177908  _ ],[-0.202827 -0.203009 -0.203089  _ ],[-0.237798 -0.196884 -0.238083  _ ],
13,[-0.209255 -0.209161 -0.208687  _ ],[-0.157523 -0.157278 -0.157505  _ ],[-0.137423 -0.137415 -0.136466  _ ],[-0.114483 -0.114515 -0.110237  _ ],[-0.096144 -0.095897 -0.096055  _ ],[-0.068628 -0.068480 -0.050660  _ ],[-0.155682 -0.155670 -0.154480  _ ],[-0.213650 -0.213565 -0.210185  _ ],[-0.240927 -0.240785 -0.240974  _ ],[-0.308023 -0.277515 -0.308212  _ ],
14,[-0.213634 -0.213574 -0.213455  _ ],[-0.153449 -0.154005 -0.154021  _ ],[-0.138090 -0.138125 -0.138126  _ ],[-0.117232 -0.118651 -0.118623  _ ],[-0.098893 -0.098871 -0.096122  _ ],[-0.079651 -0.079678 -0.078581  _ ],[-0.155497 -0.155478 -0.151897  _ ],[-0.214267 -0.214262 -0.213092  _ ],[-0.250604 -0.250540 -0.250699  _ ],[-0.374084 -0.340133 -0.374110  _ ],
15,[-0.225067 -0.225097 -0.224391  _ ],[-0.173846 -0.173791 -0.173874  _ ],[-0.157884 -0.157849 -0.157815  _ ],[-0.133735 -0.133934 -0.133892  _ ],[-0.107339 -0.107613 -0.107618  _ ],[-0.099100 -0.099788 -0.099760  _ ],[-0.148706 -0.148660 -0.148704  _ ],[-0.228727 -0.228675 -0.228823  _ ],[-0.261548 -0.261561 -0.261552  _ ],[-0.442131 -0.425279 -0.442190  _ ],
16,[-0.212376 -0.212301 -0.211993  _ ],[-0.171303 -0.173711 -0.173676  _ ],[-0.156090 -0.156346 -0.156415  _ ],[-0.127436 -0.127436 -0.127594  _ ],[-0.112502 -0.113251 -0.113292  _ ],[-0.095781 -0.095750 -0.095504  _ ],[-0.152715 -0.152639 -0.152704  _ ],[-0.200529 -0.200519 -0.199994  _ ],[-0.257582 -0.257567 -0.257565  _ ],[-0.467351 -0.467349 -0.460744  _ ],
17,[-0.207453 -0.207510 -0.207306  _ ],[-0.120656 -0.120667 -0.120681  _ ],[-0.091284 -0.091272 -0.091146  _ ],[-0.061016 -0.073354 -0.062799  _ ],[-0.035595 -0.073193 -0.040381  _ ],[0.008687 -0.070139 -0.027797  _ ],[-0.090282 -0.091406 -0.091426  _ ],[-0.195150 -0.195128 -0.195035  _ ],[-0.248554 -0.248856 -0.248974  _ ],[-0.421027 -0.425756 -0.425912  _ ],
18,[-0.070082 -0.070918 -0.070952  _ ],[0.090829 -0.072155 -0.041049  _ ],[0.126079 -0.062553 -0.043333  _ ],[0.132749 -0.070449 -0.051588  _ ],[0.138577 -0.062655 -0.031160  _ ],[0.189643 -0.063187 -0.032422  _ ],[0.306254 -0.073070 -0.033612  _ ],[0.080205 -0.068716 -0.033820  _ ],[-0.138800 -0.139045 -0.138966  _ ],[-0.178700 -0.234397 -0.185754  _ ],
19,[0.191285 -0.059519 -0.035316  _ ],[0.292918 -0.074459 -0.057588  _ ],[0.273899 -0.069472 -0.048934  _ ],[0.284335 -0.070632 -0.050433  _ ],[0.288677 -0.075426 -0.050884  _ ],[0.324885 -0.074120 -0.046342  _ ],[0.422028 -0.070707 -0.044130  _ ],[0.465712 -0.082054 -0.056214  _ ],[0.233999 -0.076024 -0.052959  _ ],[0.064270 -0.261124 -0.190607  _ ],
20,[0.190442 -0.021319 -0.016529  _ ],[0.112734 -0.022088 -0.019179  _ ],[0.098432 -0.021801 -0.023187  _ ],[0.073866 -0.022882 -0.020609  _ ],[0.062195 -0.023798 -0.017992  _ ],[0.046166 -0.025021 -0.018488  _ ],[0.133081 -0.023368 -0.018186  _ ],[0.217387 -0.027642 -0.020622  _ ],[0.241233 -0.027632 -0.023309  _ ],[0.538318 -0.109006 -0.085873  _ ],
21,[0.272113 -0.029750 0.000000  _ ],[0.158067 -0.035265 0.000000  _ ],[0.143560 -0.032173 0.000000  _ ],[0.102231 -0.032560 0.000000  _ ],[0.080891 -0.029556 0.000000  _ ],[0.068969 -0.031011 0.000000  _ ],[0.168410 -0.032173 0.000000  _ ],[0.250239 -0.039597 0.000000  _ ],[0.300521 -0.040269 0.000000  _ ],[0.881901 -0.148459 0.000000  _ ],
A-2,[-0.006171 0.002611 -0.003984  _ ],[-0.005373 0.005903 -0.001598  _ ],[-0.003667 0.003321 -0.000282  _ ],[-0.002783 0.004763 0.000012  _ ],[-0.000605 0.006531 -0.001388  _ ],[-0.001684 0.000041 0.042208  _ ],[-0.008330 0.007619 -0.000824  _ ],[-0.010417 0.007113 -0.005944  _ ],[-0.009832 0.006104 -0.005557  _ ],[-0.029256 0.043630 -0.028261  _ ],
A-3,[-0.008349 0.002709 -0.006165  _ ],[-0.007029 0.006864 -0.000986  _ ],[-0.003969 0.000025 0.024703  _ ],[-0.001686 0.005979 0.000096  _ ],[-0.001878 0.000052 0.037902  _ ],[-0.000793 0.005557 -0.001417  _ ],[-0.010010 0.007728 -0.006350  _ ],[-0.009207 0.007862 -0.008710  _ ],[-0.007539 0.006128 -0.005147  _ ],[-0.035299 0.047762 -0.034446  _ ],
A-4,[-0.006662 0.002885 -0.005571  _ ],[-0.004859 0.006610 -0.002964  _ ],[-0.003764 0.002820 -0.002773  _ ],[-0.002484 0.006198 -0.000014  _ ],[-0.004267 0.000036 0.036336  _ ],[-0.001883 0.000041 0.041789  _ ],[-0.005855 0.007651 -0.001176  _ ],[-0.008237 0.007509 -0.010323  _ ],[-0.008923 0.007111 -0.010498  _ ],[-0.037206 0.047798 -0.031268  _ ],
A-5,[-0.009440 0.003061 -0.009543  _ ],[-0.004843 0.007826 -0.000382  _ ],[-0.005453 0.003483 -0.001396  _ ],[-0.002663 0.000084 0.018233  _ ],[-0.001975 0.005978 0.000401  _ ],[-0.002084 0.000052 0.049524  _ ],[-0.007242 0.008962 -0.002174  _ ],[-0.010004 0.008031 -0.006543  _ ],[-0.009018 0.006889 -0.006762  _ ],[-0.031711 0.048016 -0.040258  _ ],
A-6,[-0.006561 0.003568 -0.005767  _ ],[-0.000893 0.007334 -0.000474  _ ],[-0.002473 0.000038 0.026166  _ ],[-0.001708 0.006439 -0.000424  _ ],[-0.002175 0.007170 -0.000206  _ ],[0.001489 0.000063 0.074707  _ ],[-0.002666 0.009626 0.000038  _ ],[-0.006729 0.009875 -0.006558  _ ],[-0.009204 0.007866 -0.010269  _ ],[-0.031993 0.051173 -0.032527  _ ],
A-7,[-0.000795 0.003878 -0.007754  _ ],[0.037307 0.000118 -0.001583  _ ],[0.043435 0.000081 0.004105  _ ],[0.063860 0.000126 0.002764  _ ],[0.002764 0.000133 0.089443  _ ],[0.005152 0.000155 0.098166  _ ],[0.006629 0.000250 0.070224  _ ],[0.041009 0.000099 -0.000973  _ ],[-0.005044 0.009026 -0.006120  _ ],[-0.015203 0.051731 -0.022710  _ ],
A-8,[0.065295 0.000117 -0.001777  _ ],[0.144784 0.000225 0.005958  _ ],[0.005644 0.000262 0.090875  _ ],[0.145715 0.000244 0.010302  _ ],[0.131151 0.000184 0.005934  _ ],[0.121919 0.000255 0.001967  _ ],[0.221569 0.000351 0.010316  _ ],[0.205235 0.000374 0.004519  _ ],[0.111849 0.000232 0.002610  _ ],[0.051087 0.000841 -0.014955  _ ],
A-9,[0.178430 0.000077 -0.000783  _ ],[0.237071 0.000159 0.013620  _ ],[0.012773 0.000145 0.110143  _ ],[0.186473 0.000148 0.010494  _ ],[0.196855 0.000206 0.006139  _ ],[0.165479 0.000183 0.010129  _ ],[0.248117 0.000306 0.002997  _ ],[0.278694 0.000245 0.013151  _ ],[0.288312 0.000175 0.005346  _ ],[0.467905 0.001783 -0.004389  _ ],
