,A,2,3,4,5,6,7,8,9,10,
5,1128,1704,1676,1802,1799,1762,1646,1596,1670,6492,
6,1144,1621,1630,1684,1734,1615,1687,1664,1763,6604,
7,2341,3354,3369,3436,3396,3546,3369,3405,3393,13159,
8,2549,3567,3541,3547,3539,3594,3690,3767,3649,13589,
9,3833,4651,5482,5614,5518,5630,4952,5430,5662,20896,
10,4003,5916,5997,6116,5994,5845,5913,5670,6006,22381,
11,1151,1769,1705,1449,1472,1131,1629,1747,1803,6768,
12,10031,11705,7600,10585,12764,12349,13022,13027,13399,54168,
13,10582,13246,8888,9247,7383,7426,10196,13616,15085,59232,
14,9317,6181,4996,7836,8102,9508,3700,11410,13650,56206,
15,5263,10273,8175,11003,10465,10253,14020,12064,11609,58752,
16,8746,9271,10600,9600,10105,8476,12608,13523,11470,43182,
17,1333,12131,11983,10050,10135,9959,12583,10245,9193,58383,
18,9240,9675,9334,8235,8421,7283,10443,11167,13083,53073,
19,8958,9327,9501,6860,7250,6641,10109,11566,12186,53432,
20,4138,1290,1135,591,431,415,2309,3366,4199,25025,
21,3134,1369,1155,476,425,467,2231,3276,4402,18874,
A-2,1135,1687,1714,1685,1372,1617,1831,1702,1742,6595,
A-3,1124,1843,1695,1799,1721,1475,1810,1870,1888,7077,
A-4,1196,1840,1782,1768,1462,1688,1882,2025,2095,7451,
A-5,1394,2199,2135,1991,1979,1743,2203,2181,2135,8238,
A-6,1589,2267,2310,2220,2261,1812,2495,2357,2410,9019,
A-7,1237,2580,2606,2238,2274,2071,2398,2709,2671,10280,
A-8,1945,2819,2819,2333,2503,1937,2813,2709,2954,10709,
A-9,1967,2963,2891,1971,2142,1677,2687,2829,3038,12465,
A-10,1137,1188,1170,860,578,225,1265,1284,1458,7775,
A-A,1049,1608,1393,1686,685,681,1623,1704,1759,6593,
2-2,1165,1495,1780,1658,1877,1788,1766,782,764,6344,
3-3,485,1676,1463,1737,1814,1732,686,1613,1756,6253,
4-4,473,688,703,1552,639,663,685,746,1602,6132,
5-5,515,758,736,719,626,772,735,717,708,2608,
6-6,1220,1701,1789,1820,1683,1544,1693,1617,1660,6171,
7-7,1138,1716,1732,1738,1801,1642,1501,1699,1689,6372,
8-8,1114,1753,1676,1722,1685,1734,1779,1384,1659,6417,
9-9,1072,1763,1794,741,1663,662,733,1697,1489,6307,
10-10,8333,12332,12048,12263,12334,12189,12527,12414,12158,43338,
