,A,2,3,4,5,6,7,8,9,10,
5,456,578,627,651,664,613,645,628,662,2450,
6,458,625,608,657,626,669,614,597,636,2430,
7,922,1265,1276,1213,1193,1203,1277,1307,1277,4935,
8,1003,1390,1297,1419,1253,1258,1352,1381,1303,5183,
9,1492,1938,1799,1932,1733,1932,1964,2097,2159,7500,
10,1495,1989,2133,1967,2017,1886,1973,1963,2158,7608,
11,418,359,480,285,349,219,509,513,499,2004,
12,3643,4651,4333,3933,4073,3935,4651,5014,4926,18090,
13,3776,4200,3959,4077,3952,3434,4810,5013,5341,18521,
14,3530,4089,3643,2405,2077,1877,4294,4466,4799,16676,
15,3448,3081,3576,3829,2100,4010,1655,4089,4491,14832,
16,3235,2467,3752,3883,3696,3124,2661,3479,3426,13781,
17,2761,4928,4971,4780,4720,4450,4609,3380,3856,7516,
18,3354,4634,4539,4466,4328,4289,4793,4806,4596,16951,
19,3631,4613,4477,4432,4281,4127,4620,4885,4953,18159,
20,1721,1738,1694,1686,1553,1354,1978,2168,2258,7926,
21,1413,1529,1391,1236,1225,1161,1721,1763,1876,6956,
A-2,429,621,635,584,622,604,686,695,642,2453,
A-3,418,704,666,667,718,616,715,672,670,2515,
A-4,480,727,687,638,703,699,734,736,764,2787,
A-5,480,741,775,715,666,781,821,833,821,3069,
A-6,551,815,814,822,892,748,831,766,898,3381,
A-7,602,842,909,773,835,801,605,966,976,3520,
A-8,511,707,843,575,485,690,417,402,894,3521,
A-9,691,253,253,926,900,956,1025,975,1166,4042,
A-10,429,650,638,581,599,580,646,570,666,2575,
A-A,336,511,659,489,497,519,650,602,588,2339,
2-2,79,249,226,129,222,241,238,374,256,536,
3-3,105,375,102,505,153,210,244,303,579,523,
4-4,115,207,222,214,205,188,269,237,191,1832,
5-5,189,162,260,197,174,157,267,245,256,910,
6-6,443,534,637,587,644,502,551,638,593,2229,
7-7,439,554,635,562,624,706,578,538,538,2332,
8-8,399,706,571,558,679,635,628,565,624,2362,
9-9,401,563,626,654,449,542,579,585,567,2241,
10-10,3274,4763,4744,4729,4589,4728,4657,4720,4621,16908,
