,A,2,3,4,5,6,7,8,9,10,
5,[107 1149 112 0],[144 1660 160 0],[159 1668 135 0],[145 1784 164 0],[187 1694 160 0],[139 1720 188 0],[150 1756 166 0],[157 1738 156 0],[133 1705 148 0],[613 6464 573 0],
6,[116 1167 104 0],[125 1524 134 0],[174 1785 149 0],[160 1588 145 0],[172 1665 152 0],[177 1668 144 0],[174 1689 164 0],[150 1650 161 0],[171 1758 154 0],[576 6415 621 0],
7,[237 2370 250 0],[318 3281 311 0],[329 3394 319 0],[314 3342 320 0],[308 3302 335 0],[320 3329 406 0],[300 3366 339 0],[308 3496 315 0],[326 3494 305 0],[1159 12992 1134 0],
8,[221 2579 223 0],[307 3496 362 0],[342 3437 405 0],[311 3560 341 0],[312 365 3585 0],[329 293 3623 0],[356 3642 358 0],[347 3590 341 0],[320 3640 342 0],[1157 13502 1239 0],
9,[349 3728 301 0],[499 5321 473 0],[489 521 5576 0],[504 485 5309 0],[473 460 5437 0],[479 489 5411 0],[463 499 5409 0],[461 5486 521 0],[513 5724 514 0],[1866 20797 1730 0],
10,[372 4006 399 0],[510 513 5841 0],[499 549 6051 0],[488 501 5633 0],[494 489 5620 0],[520 482 5648 0],[488 531 5978 0],[500 505 5776 0],[517 505 5788 0],[1978 19467 4256 0],
11,[61 55 1206 0],[78 90 1603 0],[87 92 1422 0],[81 78 1277 0],[68 64 1112 0],[56 64 1025 0],[74 63 1355 0],[86 94 1678 0],[111 1665 129 0],[332 6607 297 0],
12,[2242 6125 2902 0],[3195 3496 8593 0],[4171 3714 7629 0],[4468 2513 7802 0],[2712 1407 10709 0],[1851 1166 11539 0],[2681 5126 7736 0],[3235 6802 5689 0],[3347 8309 4903 0],[6112 48433 6993 0],
13,[2845 5696 3582 0],[4773 3400 8325 0],[5135 3354 7168 0],[6199 2658 6491 0],[5458 2111 7381 0],[3918 1498 9174 0],[3256 4356 8900 0],[3688 5906 7245 0],[4343 7791 5336 0],[8006 49766 9205 0],
14,[2730 4252 4002 0],[4948 3313 6220 0],[5433 2681 5932 0],[4605 2097 6267 0],[6666 1769 4770 0],[5307 1567 5629 0],[2675 2901 8773 0],[3599 4182 7075 0],[4299 5578 6272 0],[10858 37618 14408 0],
15,[3033 3920 4522 0],[6137 3042 5873 0],[6953 2787 5086 0],[6569 2267 5190 0],[7174 1661 4174 0],[6547 1564 5116 0],[3008 3081 8829 0],[3573 3590 8135 0],[4850 5098 6239 0],[15275 29610 20795 0],
16,[2572 3015 4845 0],[5664 2457 5114 0],[5888 2221 4800 0],[6316 1877 3786 0],[7323 1416 2999 0],[5265 1315 4266 0],[2470 1860 8784 0],[3620 3005 7364 0],[4037 3982 6530 0],[16867 15770 28574 0],
