,A,2,3,4,5,6,7,8,9,10,
5,[-0.792680 0.083304 -0.837101  _ ],[-0.003177 0.082369 -0.969624  _ ],[-0.274962 0.133794 -0.272794  _ ],[-0.132122 0.217551 -0.309624  _ ],[-0.298602 0.104584 -0.672699  _ ],[-0.001957 0.194802 -0.590109  _ ],[-0.830218 0.065070 -0.400793  _ ],[-0.438197 0.128661 -0.771789  _ ],[-0.362716 0.098683 -1.001384  _ ],[-0.520237 0.104005 -1.365436  _ ],
6,[-0.782525 0.199057 -1.491134  _ ],[-0.414501 0.085027 -1.012251  _ ],[-0.103288 0.063398 -0.575641  _ ],[-0.623197 0.116532 -0.100026  _ ],[-0.230273 0.195058 -0.665007  _ ],[-0.206084 0.200955 -0.067328  _ ],[-0.252107 0.106386 -0.749910  _ ],[-0.351155 0.107989 -1.352017  _ ],[-0.458275 0.076108 -1.619160  _ ],[-0.792940 0.069621 -0.955133  _ ],
7,[-0.516527 0.049892 -1.369389  _ ],[0.010673 0.140807 -0.460857  _ ],[-0.356037 0.065858 -0.952187  _ ],[-0.287840 0.068944 -0.626996  _ ],[-0.224699 0.114401 -1.017178  _ ],[-0.180234 0.160342 -0.273632  _ ],[-0.487719 0.203320 -0.604343  _ ],[-0.711661 0.147210 -0.597712  _ ],[-0.607962 0.026301 -1.304381  _ ],[-0.811393 0.042502 -0.682980  _ ],
8,[-0.427774 0.043435 -0.377097  _ ],[-0.696186 0.171862 -0.635189  _ ],[-0.175528 0.138939 -0.817235  _ ],[-0.297430 0.110004 -0.064795  _ ],[-0.145665 0.181920 -0.046121  _ ],[-0.084401 0.207476 0.016629  _ ],[-0.420523 0.242041 -0.267794  _ ],[-0.421597 0.108522 -0.010297  _ ],[-0.847575 0.099487 -0.379864  _ ],[-0.095320 0.071016 -1.574866  _ ],
9,[-0.793734 0.209163 -0.528873  _ ],[-0.280547 0.165872 -0.021827  _ ],[-0.293415 0.203171 -0.412390  _ ],[-0.517417 0.238608 -0.417283  _ ],[-0.137937 0.347559 -0.136496  _ ],[0.002359 0.210334 0.015744  _ ],[-0.388061 0.306914 -0.044721  _ ],[-0.768644 0.194933 -0.112089  _ ],[-0.429273 0.185826 -0.360987  _ ],[-0.590659 0.163144 -0.801274  _ ],
10,[-0.380024 0.290105 -0.464851  _ ],[-0.176219 0.256736 -0.618312  _ ],[-0.568854 0.271311 -0.079093  _ ],[-0.235190 0.386488 -0.236779  _ ],[-0.182961 0.261659 0.152281  _ ],[-0.217049 0.449110 -0.369598  _ ],[-0.780744 0.511273 0.070470  _ ],[-0.197453 0.318068 0.083592  _ ],[-0.579099 0.318449 0.006488  _ ],[-0.537016 0.352609 -0.338556  _ ],
11,[-0.611264 0.440402 0.121109  _ ],[-0.383660 0.355342 0.148433  _ ],[0.138361 0.353831 -0.025955  _ ],[-0.579133 0.270895 0.617951  _ ],[-0.155330 0.463782 0.081511  _ ],[-0.312446 0.233659 0.416436  _ ],[-0.570898 0.430347 0.019066  _ ],[-0.558763 0.563333 0.199713  _ ],[-0.629515 0.258235 -0.006004  _ ],[-0.766481 0.381855 -0.225133  _ ],
12,[-0.992216 -0.243606 -0.906854  _ ],[-0.735128 -0.112099 -0.527100  _ ],[-0.687820 -0.075392 -0.895583  _ ],[-0.459955 -0.045398 -0.615141  _ ],[-0.570350 -0.044541 -0.838235  _ ],[-0.531094 0.092499 -0.586972  _ ],[-0.628171 -0.193212 -0.827052  _ ],[-0.764173 -0.196222 -0.324488  _ ],[-0.603927 -0.131601 -0.965317  _ ],[-0.552623 -0.097326 -0.813320  _ ],
13,[-0.811768 -0.225134 -0.867608  _ ],[-0.723314 -0.091849 -0.460799  _ ],[-0.594041 -0.193754 -0.741473  _ ],[-0.581481 -0.163903 -0.684483  _ ],[-0.778269 -0.138202 -0.959145  _ ],[-0.549064 -0.423960 -0.486843  _ ],[-0.594319 -0.389670 -0.695736  _ ],[-0.881003 -0.390820 -0.940817  _ ],[-0.789775 -0.320545 -0.901819  _ ],[-0.577541 -0.089727 -0.904178  _ ],
14,[-0.666623 -0.360171 -0.738034  _ ],[-0.745071 -0.328467 -1.188157  _ ],[-0.511810 -0.572669 -0.634743  _ ],[0.261553 -0.661724 -0.825412  _ ],[-0.510290 -0.491699 -0.806206  _ ],[-0.690901 -0.634356 -0.802303  _ ],[-0.676602 -0.355078 -0.932296  _ ],[-0.680295 -0.456035 -0.617089  _ ],[-0.830335 -0.240517 -0.824800  _ ],[-0.853527 -0.222997 -1.248023  _ ],
