,A,2,3,4,5,6,7,8,9,10,
5,[-0.008055 0.000074 -0.018895  _ ],[-0.003975 0.000939 -0.007717  _ ],[-0.004762 0.000957 -0.009335  _ ],[-0.003657 0.001399 -0.009737  _ ],[-0.001700 0.001751 -0.003988  _ ],[-0.004855 0.001662 -0.001800  _ ],[-0.008625 0.000833 -0.018036  _ ],[-0.007343 0.000659 -0.018626  _ ],[-0.008038 0.000337 -0.021971  _ ],[-0.031969 0.002254 -0.077653  _ ],
6,[-0.006169 0.000063 -0.014918  _ ],[-0.006248 0.000869 -0.009738  _ ],[-0.005547 0.001052 -0.003969  _ ],[-0.002675 0.001112 -0.004167  _ ],[-0.003177 0.001336 -0.000818  _ ],[-0.002379 0.001346 -0.005947  _ ],[-0.007825 0.000792 -0.007942  _ ],[-0.008232 0.000638 -0.020414  _ ],[-0.008918 0.000435 -0.024164  _ ],[-0.035819 0.002204 -0.068850  _ ],
7,[-0.015511 0.000136 -0.026299  _ ],[-0.010229 0.001701 -0.014726  _ ],[-0.008180 0.002000 -0.006328  _ ],[-0.005899 0.002312 -0.008083  _ ],[-0.005932 0.002704 -0.006110  _ ],[-0.003863 0.003478 -0.004505  _ ],[-0.014338 0.002172 -0.012604  _ ],[-0.016217 0.001288 -0.032983  _ ],[-0.015245 0.000677 -0.028373  _ ],[-0.056711 0.003666 -0.117274  _ ],
8,[-0.015228 0.000276 -0.020543  _ ],[-0.012457 0.004816 0.000996  _ ],[-0.009040 0.005053 -0.001435  _ ],[-0.005902 0.004198 0.000053  _ ],[-0.003198 0.005390 -0.001809  _ ],[-0.002747 0.000329 0.010240  _ ],[-0.015250 0.009419 -0.001354  _ ],[-0.017904 0.003621 -0.014144  _ ],[-0.016015 0.001122 -0.026086  _ ],[-0.056452 0.004087 -0.079368  _ ],
9,[-0.024132 0.005258 -0.015260  _ ],[-0.014255 0.013297 -0.001150  _ ],[-0.015131 0.000499 0.034295  _ ],[-0.005096 0.000668 0.063346  _ ],[-0.009085 0.000518 0.087848  _ ],[-0.002942 0.000623 0.101123  _ ],[-0.028364 0.000899 0.015994  _ ],[-0.027049 0.019050 -0.008129  _ ],[-0.029421 0.010038 -0.010951  _ ],[-0.096514 0.023774 -0.091571  _ ],
10,[-0.025901 0.005912 -0.001162  _ ],[-0.015505 0.000440 0.142700  _ ],[-0.016015 0.000366 0.142025  _ ],[-0.010919 0.000477 0.151073  _ ],[-0.003017 0.000457 0.164731  _ ],[-0.006817 0.000484 0.176078  _ ],[-0.024072 0.000567 0.124769  _ ],[-0.026917 0.000557 0.078774  _ ],[-0.024727 0.000485 0.063444  _ ],[-0.094474 0.081041 0.005034  _ ],
11,[-0.006573 0.000050 0.016483  _ ],[-0.002786 0.000092 0.056403  _ ],[-0.000803 0.000128 0.042171  _ ],[-0.001297 0.000109 0.046153  _ ],[-0.000994 0.000111 0.041584  _ ],[-0.001197 0.000094 0.051070  _ ],[-0.003189 0.000138 0.037774  _ ],[-0.003588 0.000129 0.045814  _ ],[-0.005773 0.005413 -0.000594  _ ],[-0.019745 0.001495 0.047336  _ ],
12,[-0.105757 -0.105690 -0.105773  _ ],[-0.077689 -0.077715 -0.075655  _ ],[-0.062668 -0.062730 -0.062707  _ ],[-0.049941 -0.049918 -0.050029  _ ],[-0.045164 -0.045661 -0.045703  _ ],[-0.018004 -0.036638 -0.013482  _ ],[-0.082805 -0.082753 -0.081596  _ ],[-0.108213 -0.108182 -0.108103  _ ],[-0.129969 -0.130399 -0.130400  _ ],[-0.239491 -0.233337 -0.239663  _ ],
13,[-0.122072 -0.122046 -0.122118  _ ],[-0.099654 -0.099800 -0.099776  _ ],[-0.081855 -0.081913 -0.081881  _ ],[-0.058126 -0.058135 -0.056760  _ ],[-0.052384 -0.052395 -0.052369  _ ],[-0.051149 -0.051107 -0.049132  _ ],[-0.097650 -0.097558 -0.097671  _ ],[-0.125588 -0.125668 -0.125658  _ ],[-0.149391 -0.149416 -0.148441  _ ],[-0.302440 -0.302178 -0.302422  _ ],
14,[-0.122972 -0.123013 -0.123007  _ ],[-0.090368 -0.090753 -0.090737  _ ],[-0.084180 -0.084295 -0.084308  _ ],[-0.068986 -0.068990 -0.068938  _ ],[-0.056552 -0.056549 -0.054732  _ ],[-0.050387 -0.051140 -0.050107  _ ],[-0.100219 -0.100240 -0.100036  _ ],[-0.120958 -0.121099 -0.121124  _ ],[-0.147164 -0.147657 -0.147638  _ ],[-0.349339 -0.349403 -0.348922  _ ],
15,[-0.133773 -0.133678 -0.133790  _ ],[-0.098211 -0.098473 -0.098478  _ ],[-0.090517 -0.090559 -0.090287  _ ],[-0.075467 -0.075440 -0.075156  _ ],[-0.070114 -0.070165 -0.070107  _ ],[-0.054801 -0.060573 -0.055732  _ ],[-0.099216 -0.099141 -0.098949  _ ],[-0.138124 -0.138114 -0.138259  _ ],[-0.160870 -0.160834 -0.160467  _ ],[-0.389299 -0.389257 -0.389440  _ ],
16,[-0.121135 -0.121154 -0.121076  _ ],[-0.097303 -0.097493 -0.097420  _ ],[-0.087806 -0.088232 -0.088207  _ ],[-0.079216 -0.079258 -0.077715  _ ],[-0.072783 -0.073550 -0.073698  _ ],[-0.056541 -0.063533 -0.056537  _ ],[-0.095725 -0.095745 -0.093894  _ ],[-0.127507 -0.127562 -0.127052  _ ],[-0.146204 -0.146075 -0.146165  _ ],[-0.388960 -0.389122 -0.389109  _ ],
17,[-0.113199 -0.113246 -0.113275  _ ],[-0.072440 -0.073389 -0.073458  _ ],[-0.064375 -0.067443 -0.064414  _ ],[-0.041857 -0.069988 -0.043413  _ ],[-0.012143 -0.065268 -0.029593  _ ],[0.004165 -0.064366 -0.033431  _ ],[-0.048657 -0.072333 -0.048702  _ ],[-0.121648 -0.121488 -0.121528  _ ],[-0.150358 -0.150469 -0.150400  _ ],[-0.365991 -0.365979 -0.365691  _ ],
18,[-0.041036 -0.048768 -0.042255  _ ],[0.065588 -0.070715 -0.037380  _ ],[0.065486 -0.065666 -0.039693  _ ],[0.082655 -0.064120 -0.036715  _ ],[0.086705 -0.069221 -0.034407  _ ],[0.109137 -0.066098 -0.035639  _ ],[0.179451 -0.066142 -0.041444  _ ],[0.048687 -0.068058 -0.033342  _ ],[-0.084238 -0.084448 -0.084476  _ ],[-0.160755 -0.239569 -0.162353  _ ],
19,[0.113390 -0.054872 -0.038917  _ ],[0.174461 -0.078207 -0.054316  _ ],[0.168828 -0.074085 -0.053965  _ ],[0.161761 -0.077834 -0.048972  _ ],[0.171651 -0.074883 -0.061106  _ ],[0.189436 -0.074246 -0.048922  _ ],[0.259687 -0.074980 -0.053620  _ ],[0.276875 -0.081988 -0.059578  _ ],[0.138964 -0.078125 -0.054942  _ ],[0.068886 -0.261297 -0.190206  _ ],
20,[0.117041 -0.021013 -0.017111  _ ],[0.056841 -0.024451 -0.021113  _ ],[0.051026 -0.021106 -0.022025  _ ],[0.040183 -0.020248 -0.019961  _ ],[0.037641 -0.022781 -0.020827  _ ],[0.033072 -0.022884 -0.016917  _ ],[0.076637 -0.022958 -0.018170  _ ],[0.116348 -0.025106 -0.022585  _ ],[0.126633 -0.027627 -0.022668  _ ],[0.402523 -0.121490 -0.106674  _ ],
