,A,2,3,4,5,6,7,8,9,10,
5,[1002 6344 1102 0],[1498 8564 1486 0],[1386 8420 1425 0],[1599 9188 1491 0],[1556 9113 1504 0],[1555 9083 1561 0],[1511 8496 1570 0],[1554 8574 1545 0],[1590 8539 1546 0],[5666 31841 5639 0],
6,[1063 6125 1050 0],[1445 8021 1446 0],[1570 8746 1627 0],[1394 8243 1430 0],[1512 8540 1572 0],[1540 8639 1491 0],[1527 8566 1487 0],[1506 8550 1502 0],[1547 8866 1604 0],[5679 32064 5571 0],
7,[2118 12575 2146 0],[3025 17366 2972 0],[2948 17281 3003 0],[3053 17429 3123 0],[2947 17255 3032 0],[3102 17852 3137 0],[3061 17564 3064 0],[3036 17433 3138 0],[3171 17734 3145 0],[11544 65938 11452 0],
8,[2132 12809 2216 0],[3043 18126 3135 0],[3072 18210 3101 0],[3153 19130 3237 0],[3089 18352 3178 0],[3081 18025 3329 0],[3171 18625 3224 0],[3121 18448 3113 0],[3191 18470 3172 0],[11682 68563 11741 0],
9,[3370 20115 3374 0],[4722 28038 4914 0],[4744 27629 5329 0],[4767 27744 5613 0],[4730 26797 6293 0],[4769 23026 10114 0],[4756 27624 4760 0],[4847 28209 4831 0],[4845 28677 4842 0],[18161 104982 17811 0],
10,[3410 20950 3416 0],[4804 26185 8696 0],[4941 26107 8926 0],[4810 18178 17183 0],[5007 21894 14016 0],[4893 7012 27972 0],[4963 27085 7643 0],[5114 29135 5144 0],[4958 29964 5047 0],[18999 111401 18553 0],
11,[605 5704 635 0],[766 5731 3203 0],[866 5448 3631 0],[806 5193 4159 0],[840 796 8479 0],[793 750 8277 0],[811 3663 4673 0],[808 7528 1077 0],[854 7969 928 0],[3044 30091 3366 0],
12,[8554 51266 8452 0],[12009 68341 14758 0],[12348 62856 21924 0],[13316 65181 18496 0],[21818 53585 21060 0],[17157 45988 31881 0],[11960 69914 12957 0],[12079 71893 12147 0],[12212 72840 12144 0],[44543 270641 44665 0],
13,[8832 55335 8931 0],[15062 69996 20143 0],[15926 65369 20479 0],[34266 43174 26488 0],[47799 26128 28618 0],[38142 20885 41084 0],[12518 70004 19990 0],[12604 77843 13886 0],[12999 80418 12684 0],[47198 298077 47096 0],
14,[8191 52210 8235 0],[28326 44207 24256 0],[46824 25839 22889 0],[56060 15878 19140 0],[58461 13972 17810 0],[46967 12941 28044 0],[11455 56401 28431 0],[11607 71139 15354 0],[11779 75831 12471 0],[43240 282024 45592 0],
15,[8445 53962 10179 0],[62839 14607 23816 0],[67564 12040 19792 0],[68356 11736 16962 0],[66674 11088 13427 0],[64564 11182 14354 0],[11866 17351 71693 0],[12323 60006 32609 0],[12136 76660 16916 0],[46380 290262 55614 0],
16,[7710 31288 29947 0],[60687 10937 20084 0],[64903 10420 13551 0],[65084 10193 10495 0],[62726 10097 11134 0],[56096 9456 11618 0],[10719 10716 69176 0],[10800 13411 74191 0],[11651 52612 36059 0],[53615 233726 84904 0],
17,[24691 8033 39078 0],[72231 10971 10876 0],[69087 10594 10643 0],[66738 10659 10490 0],[64137 10293 10300 0],[61428 10183 10209 0],[68464 10404 10936 0],[31022 11472 56999 0],[66369 11770 26670 0],[294348 42525 55327 0],
18,[49867 6960 6925 0],[62320 9488 9457 0],[59004 9125 9376 0],[56951 8924 9099 0],[54370 8942 8865 0],[51629 9013 8918 0],[60011 9488 9205 0],[65966 9677 9306 0],[72698 10051 9972 0],[272864 36701 36881 0],
19,[48670 6926 6853 0],[59241 9310 9555 0],[56946 9193 9135 0],[54397 9054 9064 0],[51563 8840 8932 0],[48070 8457 8830 0],[58076 9339 9268 0],[65277 9797 9956 0],[69551 9533 9533 0],[271493 37481 37632 0],
20,[23284 2607 2749 0],[22800 3005 3026 0],[20492 2808 2839 0],[15812 2615 2688 0],[14030 2484 2463 0],[8338 2383 2378 0],[23594 3086 3080 0],[29154 3511 3569 0],[34253 3770 3705 0],[129983 14202 14507 0],
