,A,2,3,4,5,6,7,8,9,10,
5,861,1087,1108,1213,1154,1182,1090,1202,1177,4196,
6,738,1148,1167,1088,1159,1073,1211,1149,1242,4236,
7,1648,2325,2319,2292,2299,2388,2373,2409,2441,8318,
8,1729,2432,2453,643,2355,2319,2473,2429,2477,8989,
9,2545,3641,3652,3771,3661,3695,3532,3771,3817,13725,
10,2685,4009,4039,3833,3937,3851,4015,3987,3928,14260,
11,762,889,873,667,860,677,809,1108,1159,3944,
12,4083,3171,5226,6152,2556,1564,2439,4582,5367,20569,
13,2223,5241,5133,2289,5896,6054,6253,4824,4828,15315,
14,1998,3936,4263,4652,3974,4463,2568,3120,4201,14653,
15,2615,4281,4749,4848,5005,3184,2309,5612,3504,16717,
16,3365,4323,3798,1567,4613,2435,5563,5314,3017,11985,
17,2913,2610,6853,6653,6960,6834,2525,2149,4146,16790,
18,5335,6263,6170,5386,5688,5144,6318,6555,2437,24020,
19,5137,5570,5157,4939,4911,4783,5241,6723,7020,27596,
20,2097,972,849,738,537,480,1001,1346,1711,10471,
21,1518,1103,938,744,636,564,1076,1499,1796,7854,
A-2,746,1109,1143,1185,1022,1130,1114,1186,1173,4391,
A-3,826,1115,539,1181,1136,966,1226,1275,1258,4428,
A-4,851,1213,1171,966,1150,1124,1266,1291,1373,4802,
A-5,938,1453,1292,1209,1079,1278,1437,1429,1389,5329,
A-6,1096,1532,1463,1246,1172,1225,1403,1587,1585,5953,
A-7,1150,1740,689,1551,1374,1325,1753,1856,1723,6757,
A-8,1240,1836,1655,1358,1296,1329,1781,1743,1922,7247,
A-9,1336,1762,1507,1400,1223,1199,1625,1938,1999,7694,
A-10,827,889,632,375,165,199,827,887,960,4547,
A-A,745,1305,848,464,466,477,1155,1277,1048,4184,
2-2,780,1021,1186,1241,486,1127,1195,1137,1081,4184,
3-3,782,1130,945,1068,1090,1136,428,1040,1151,1820,
4-4,317,458,516,368,925,449,494,461,1123,1714,
5-5,346,460,504,484,392,481,448,482,418,1793,
6-6,879,1116,1135,1090,1115,859,1113,1092,1158,4069,
7-7,840,1110,1135,1084,1176,1181,912,1196,1153,4273,
8-8,793,1230,1168,1127,1167,1085,1153,694,1175,4019,
9-9,743,972,478,482,433,498,491,476,908,4259,
10-10,5882,8205,8321,8362,8273,8305,8261,8201,8278,29627,
