,A,2,3,4,5,6,7,8,9,10,
5,[1084 6234 1042 0],[1390 8581 1457 0],[1456 8530 1420 0],[1559 9228 1551 0],[1624 9210 1558 0],[1589 9320 1587 0],[1568 9037 1503 0],[1536 8979 1469 0],[1531 8932 1517 0],[5609 31644 5666 0],
6,[1045 6093 1087 0],[1425 8175 1456 0],[1521 8768 1497 0],[1436 8098 1534 0],[1481 8730 1522 0],[1607 8776 1619 0],[1530 8667 1577 0],[1599 8780 1535 0],[1524 8899 1507 0],[5719 32733 5692 0],
7,[2173 12496 2117 0],[2999 17471 2944 0],[2961 17490 2943 0],[3097 17667 3029 0],[3113 17458 3035 0],[3111 17923 3185 0],[3140 17903 3157 0],[3116 18242 3102 0],[3143 18074 3173 0],[11643 65791 11401 0],
8,[2166 12918 2181 0],[3120 18227 3132 0],[3030 18315 3108 0],[3164 18961 3269 0],[3043 18493 3211 0],[3012 18552 3231 0],[3057 18765 3262 0],[3221 18851 3216 0],[3249 18782 3218 0],[11578 68064 11798 0],
9,[3256 20124 3344 0],[4725 27916 4798 0],[4733 27427 5568 0],[4747 28152 5036 0],[4747 24592 8368 0],[4785 25984 7243 0],[4802 28012 4894 0],[4788 28628 4844 0],[4909 29248 4882 0],[17790 105505 17837 0],
10,[3420 21109 3499 0],[4936 27820 6701 0],[4916 8827 25995 0],[4798 4951 30356 0],[5041 16023 19900 0],[4968 4857 29927 0],[4884 27598 7191 0],[4815 29618 5292 0],[5002 30602 5053 0],[18514 111827 18377 0],
11,[574 5782 593 0],[848 836 8061 0],[831 808 8241 0],[844 804 8701 0],[777 822 8229 0],[812 772 8220 0],[876 7639 984 0],[863 8242 866 0],[846 8332 989 0],[3174 29871 3148 0],
12,[8274 51396 8356 0],[11699 70373 12493 0],[12160 66245 17554 0],[12387 59514 23495 0],[17743 46343 32347 0],[13306 41788 39928 0],[11985 71530 12609 0],[12219 73583 12166 0],[12114 74205 12024 0],[44864 272269 44776 0],
13,[8876 55371 8844 0],[12948 68499 23758 0],[17244 59140 24202 0],[21507 48039 32236 0],[34492 15846 51242 0],[24561 17535 57138 0],[12738 74987 16280 0],[12726 79580 13247 0],[12521 79788 12998 0],[47061 297117 47169 0],
14,[8141 52047 8057 0],[25920 40179 30056 0],[37287 21512 35330 0],[60706 10960 17629 0],[60319 10833 17182 0],[57851 10820 17421 0],[11705 53481 31432 0],[11614 72700 13355 0],[11685 76018 12139 0],[42885 284972 43947 0],
15,[8326 54504 9556 0],[71770 14285 15723 0],[70121 12542 14779 0],[70042 11431 13144 0],[66406 11037 11476 0],[58373 11194 19184 0],[11881 19138 70045 0],[12242 55102 37428 0],[12178 73839 19327 0],[45321 296162 50699 0],
16,[7895 31285 30167 0],[58440 10686 21953 0],[65649 10361 11083 0],[63395 10150 10720 0],[60585 10058 10593 0],[56131 9634 10776 0],[10789 10586 69992 0],[10875 11807 75776 0],[12186 25053 61711 0],[44832 235041 93912 0],
17,[21363 8558 42376 0],[71088 11016 10735 0],[67392 10579 10576 0],[64539 10337 10283 0],[61946 10369 10272 0],[59720 10295 10171 0],[69992 10475 10727 0],[24768 11185 63658 0],[63057 11317 27547 0],[298355 42218 53651 0],
18,[49689 7073 7011 0],[61570 9295 9364 0],[57810 9235 9273 0],[55074 8941 9010 0],[52244 8874 8766 0],[49281 8654 8735 0],[60558 9233 9736 0],[65900 9442 9446 0],[70009 10107 10005 0],[271020 36944 36646 0],
19,[48229 7116 6992 0],[58073 9530 9492 0],[54881 9279 9320 0],[52461 9128 8975 0],[49177 8604 8591 0],[46828 8676 8729 0],[58327 9394 9213 0],[65537 9848 9891 0],[65550 9729 9561 0],[273501 37563 37431 0],
20,[23705 2675 2698 0],[22062 2965 2881 0],[13985 2631 2698 0],[10680 2505 2501 0],[10670 2319 2349 0],[7074 2259 2357 0],[24681 3062 3133 0],[29516 3487 3497 0],[32253 3837 3762 0],[131027 14394 14335 0],
21,[20302 3419 0 0],[16030 3751 0 0],[13373 3637 0 0],[11247 3332 0 0],[7679 3220 0 0],[7572 3108 0 0],[19677 4167 0 0],[24171 4493 0 0],[27023 4740 0 0],[113381 18069 0 0],
A-2,[981 5887 960 0],[1520 8755 1531 0],[1544 9236 1527 0],[1551 9211 1611 0],[1574 9011 1756 0],[1494 8944 1774 0],[1628 9132 1634 0],[1535 9086 1595 0],[1604 9111 1564 0],[5815 32983 5912 0],
A-3,[1034 6194 1035 0],[1626 9657 1657 0],[1511 9019 1529 0],[1591 9732 1666 0],[1580 9671 1789 0],[1704 9752 1792 0],[1627 9743 1623 0],[1641 9556 1565 0],[1583 9548 1584 0],[5986 35203 5993 0],
A-4,[1062 6536 1073 0],[1646 9741 1713 0],[1684 9876 1601 0],[1518 9111 1560 0],[1609 9914 1886 0],[1696 9362 2212 0],[1694 9841 1668 0],[1668 9998 1673 0],[1712 10204 1700 0],[6183 38341 6108 0],
A-5,[1180 7050 1140 0],[1806 11166 1788 0],[1729 11089 1861 0],[1782 10921 1997 0],[1642 10231 2066 0],[1756 11083 1815 0],[1826 11198 1746 0],[1742 11029 1789 0],[1846 10953 1749 0],[6395 41285 6623 0],
A-6,[1253 7799 1173 0],[1803 12269 1839 0],[1817 12169 2082 0],[1928 11605 2479 0],[1882 10584 3717 0],[1834 9689 3815 0],[1888 12426 1899 0],[1899 12445 1886 0],[1814 11990 1909 0],[6935 45427 6929 0],
A-7,[1257 8716 1310 0],[2392 13278 2082 0],[2697 12767 2003 0],[2065 11515 4177 0],[2811 9604 4823 0],[2026 3501 11965 0],[13030 1898 1893 0],[2098 13438 1980 0],[2003 13541 2010 0],[7549 50508 7484 0],
A-8,[9136 1596 1366 0],[14180 2113 2697 0],[14731 2093 2230 0],[14248 1986 2805 0],[14401 2006 2218 0],[12187 2028 3723 0],[14141 2076 2119 0],[14134 1977 2029 0],[14637 2099 2112 0],[7892 53917 7722 0],
A-9,[9863 1414 1388 0],[15284 2238 2218 0],[15267 2088 2197 0],[15392 2091 2071 0],[14513 1962 2396 0],[13635 1963 2408 0],[14020 2158 2096 0],[15202 2254 2217 0],[14985 2110 2114 0],[60115 8182 8232 0],
A-10,[5776 747 751 0],[8908 1228 1189 0],[7585 1032 1027 0],[7129 997 1039 0],[7879 1035 986 0],[6418 1049 1021 0],[8242 1063 1083 0],[9084 1151 1110 0],[9117 1113 1216 0],[37223 4493 4575 0],
A-A,[322 312 375 5046],[542 554 499 8760],[523 504 543 8599],[559 535 541 8824],[547 553 567 8813],[557 545 580 8846],[566 488 514 8875],[564 541 544 8797],[548 533 524 8434],[2041 2072 2056 31936],
2-2,[371 401 392 5746],[437 493 495 7511],[566 529 533 8532],[559 571 492 8633],[492 529 546 8821],[521 526 582 8621],[537 532 544 8516],[553 545 530 8653],[526 558 522 8619],[1912 10195 2014 11627],
3-3,[345 353 357 5597],[527 940 582 7790],[475 451 469 7362],[558 533 576 8835],[544 541 575 8648],[581 525 521 8741],[552 541 581 8537],[565 537 544 8441],[548 517 553 8498],[2011 7286 1984 18923],
4-4,[370 354 363 5804],[517 3736 528 1094],[552 3805 482 986],[449 3191 542 923],[494 3712 593 1150],[527 3652 508 1042],[571 3738 540 1179],[534 2279 551 4042],[558 512 471 8459],[1938 3282 2096 27412],
5-5,[393 2513 361 743],[521 521 3709 1067],[499 1223 3007 1083],[554 507 3605 1019],[462 444 3311 1001],[547 568 3667 1089],[532 3336 923 1135],[556 3267 880 1049],[486 3701 513 1001],[1958 13615 1976 3881],
6-6,[380 374 365 5923],[577 523 526 8617],[546 562 550 8659],[534 535 521 8575],[576 534 562 8694],[455 496 466 7658],[526 574 557 8435],[529 531 518 8403],[539 545 553 8470],[2018 1959 1949 30402],
7-7,[389 369 346 5753],[535 538 553 8376],[501 535 506 8519],[558 554 566 8654],[545 539 527 8981],[524 578 525 8692],[470 473 492 7617],[548 504 528 8427],[525 530 535 8320],[1986 1996 1965 31500],
8-8,[381 367 428 5762],[488 507 512 8356],[558 529 605 8600],[492 542 544 8968],[547 552 555 8738],[506 530 542 8643],[548 560 534 8735],[428 468 485 7532],[513 519 537 8521],[1959 1904 1978 31212],
9-9,[352 336 374 5854],[510 544 558 8632],[550 554 496 8752],[540 545 564 8698],[487 535 530 8652],[2379 522 517 3886],[3583 537 534 1111],[527 513 518 8569],[458 467 452 7338],[1910 1976 2005 31366],
10-10,[43959 6611 6587 14463],[63349 9602 9466 20040],[63581 9316 9560 19668],[63303 9445 9459 20007],[63444 9338 9491 19998],[62937 9352 9481 19650],[63058 9370 9188 19675],[62847 9638 9604 19977],[63013 9574 9370 19650],[224669 33612 33496 70165],
