,A,2,3,4,5,6,7,8,9,10,
5,[-0.478304 0.098409 -0.974002  _ ],[-0.264662 0.103950 -0.542313  _ ],[-0.102785 0.087573 -0.264291  _ ],[-0.295619 0.125077 -0.292789  _ ],[-0.054962 0.138655 0.094235  _ ],[-0.043082 0.112538 -0.209700  _ ],[-0.267405 0.135047 -0.808244  _ ],[-0.482015 0.098058 -1.013887  _ ],[-0.512425 0.095454 -1.145745  _ ],[-0.558267 0.068782 -1.200316  _ ],
6,[-0.440501 0.074210 -0.864329  _ ],[-0.289127 0.090938 -0.352718  _ ],[-0.208073 0.090339 -0.248902  _ ],[-0.115693 0.105274 -0.343645  _ ],[-0.182440 0.119835 -0.217871  _ ],[-0.090944 0.111297 -0.019712  _ ],[-0.300859 0.092705 -0.928307  _ ],[-0.336102 0.095796 -0.951398  _ ],[-0.454518 0.084179 -0.921405  _ ],[-0.525136 0.075634 -1.177752  _ ],
7,[-0.599126 0.062591 -1.132837  _ ],[-0.213134 0.064157 -0.674824  _ ],[-0.253438 0.079611 -0.381816  _ ],[-0.217094 0.114096 -0.161582  _ ],[-0.049970 0.116477 -0.147425  _ ],[-0.192105 0.094234 -0.097667  _ ],[-0.477187 0.125553 -0.630222  _ ],[-0.583264 0.094950 -0.876385  _ ],[-0.604918 0.083642 -1.027071  _ ],[-0.552272 0.052081 -0.987076  _ ],
8,[-0.604850 0.084740 -0.744036  _ ],[-0.318322 0.103635 -0.430078  _ ],[-0.154500 0.130489 -0.081320  _ ],[-0.087593 0.145480 -0.023946  _ ],[-0.075778 0.153446 -0.152807  _ ],[-0.121848 0.189640 0.103100  _ ],[-0.429027 0.253177 -0.078356  _ ],[-0.423981 0.143678 -0.518266  _ ],[-0.551932 0.079548 -0.591976  _ ],[-0.516411 0.061286 -0.927869  _ ],
9,[-0.684945 0.165052 -0.184819  _ ],[-0.313234 0.201770 0.120228  _ ],[-0.256952 0.248185 -0.020849  _ ],[-0.143435 0.259403 0.180595  _ ],[-0.025582 0.249022 0.111037  _ ],[-0.047087 0.227309 0.200269  _ ],[-0.443643 0.279811 0.151325  _ ],[-0.419084 0.270517 -0.056759  _ ],[-0.605123 0.174442 -0.448930  _ ],[-0.590667 0.081329 -0.447429  _ ],
10,[-0.696707 0.295829 0.007514  _ ],[-0.307858 0.284350 0.197264  _ ],[-0.247788 0.331670 -0.022392  _ ],[-0.058038 0.343822 0.236576  _ ],[-0.173429 0.343626 0.247116  _ ],[-0.154221 0.380281 0.235290  _ ],[-0.479424 0.386003 0.110016  _ ],[-0.580382 0.333967 0.063662  _ ],[-0.538716 0.322662 -0.131238  _ ],[-0.509582 0.279404 -0.107941  _ ],
11,[-0.326585 0.389808 -0.049167  _ ],[-0.133569 0.366693 0.171741  _ ],[-0.123854 0.358556 0.136146  _ ],[-0.094780 0.145991 0.574680  _ ],[-0.080206 0.230389 0.687626  _ ],[-0.011009 0.378924 0.243714  _ ],[-0.378911 0.400838 0.189957  _ ],[-0.239860 0.432399 0.324420  _ ],[-0.369848 0.335190 0.003407  _ ],[-0.462473 0.370275 0.063289  _ ],
12,[-0.676718 -0.210494 -0.782016  _ ],[-0.367762 -0.121667 -0.439740  _ ],[-0.373852 -0.099183 -0.334591  _ ],[-0.291676 -0.025705 -0.322234  _ ],[-0.317738 -0.168999 -0.289752  _ ],[-0.298768 -0.127807 -0.313711  _ ],[-0.368492 -0.038861 -0.279188  _ ],[-0.495082 -0.091072 -0.417654  _ ],[-0.467684 -0.129114 -0.488309  _ ],[-0.488638 -0.179426 -0.502861  _ ],
13,[-0.610868 -0.223503 -0.391841  _ ],[-0.410890 -0.161012 -0.378519  _ ],[-0.428767 -0.272478 -0.450212  _ ],[-0.389895 -0.291672 -0.386227  _ ],[-0.266852 -0.373260 -0.369739  _ ],[-0.085428 -0.377861 -0.358769  _ ],[-0.533605 -0.226726 -0.400327  _ ],[-0.513772 -0.236992 -0.393528  _ ],[-0.487450 -0.200358 -0.389775  _ ],[-0.639934 -0.309761 -0.434395  _ ],
14,[-0.702385 -0.251111 -0.522852  _ ],[-0.472197 -0.308999 -0.504937  _ ],[-0.450366 -0.182274 -0.471284  _ ],[-0.208267 -0.410765 -0.415052  _ ],[-0.178651 -0.345525 -0.356963  _ ],[-0.048428 -0.388724 -0.433815  _ ],[-0.621074 -0.207882 -0.522713  _ ],[-0.520366 -0.317844 -0.480806  _ ],[-0.543353 -0.311691 -0.535911  _ ],[-0.557554 -0.254945 -0.614456  _ ],
