,A,2,3,4,5,6,7,8,9,10,
5,6092,8342,8808,9471,9483,9362,9276,9325,9397,34305,
6,5955,7846,9040,8355,8715,8885,8780,8719,9296,34533,
7,12391,17434,17498,17793,17843,18344,18286,18207,18731,68360,
8,13248,18830,18966,19524,19120,18756,19325,19623,19113,70662,
9,19800,28296,26563,25290,29256,28935,28771,29208,30165,110146,
10,21357,30589,31075,31251,31793,31489,31139,30888,30944,116819,
11,6412,8670,9541,9063,7410,7388,8944,9363,9774,36097,
12,51828,67399,70323,62201,34105,65968,70657,71478,75874,286265,
13,56761,64910,40008,74074,50880,61989,75914,78550,83516,313929,
14,53189,19510,25145,62194,55955,48764,72670,69506,79184,299936,
15,53095,72056,67240,68176,58034,44257,75131,50135,79314,323142,
16,55789,61607,64870,59713,53874,48356,66284,74694,82166,281721,
17,55404,67276,65558,58534,54402,52066,66038,73513,61431,320563,
18,51125,54823,53351,49421,45667,43133,55960,61506,73535,281033,
19,48157,51913,52060,46067,36725,34541,52914,62706,68155,282645,
20,23439,11135,9356,6017,3841,1517,11705,19162,34531,134570,
21,16808,11307,9553,6104,3957,1739,12381,19508,24391,107792,
A-2,6081,8314,9392,6967,9480,9010,9423,9439,9390,34701,
A-3,6236,9883,9159,9039,9467,8865,10019,10033,10028,36931,
A-4,6378,10182,10104,9443,9726,8251,10141,10156,10580,39092,
A-5,7333,11474,11604,11236,9764,8841,11738,11683,11600,42925,
A-6,8046,11971,11351,12747,10842,9173,12800,12879,12932,47958,
A-7,9195,9116,14315,13187,11523,10365,14014,14546,14663,54195,
A-8,10215,14633,7563,13856,11764,10570,15023,14479,15772,58197,
A-9,10445,14752,15258,13487,9793,8492,15059,15689,15920,65649,
A-10,6340,6421,6736,5692,3636,494,6636,6676,10297,42059,
A-A,5430,8630,9349,9403,9120,3686,9088,9179,9241,34270,
2-2,6269,3432,9165,9475,9089,8891,9100,9076,9215,33238,
3-3,5888,9450,7842,9241,9076,9078,8895,8956,9013,33423,
4-4,2672,3830,3814,3195,3709,3674,3861,3789,8877,32194,
5-5,2552,3841,3810,3625,3398,3839,3834,3783,3690,13846,
6-6,6031,9286,9142,9238,9215,7500,8909,9001,8821,32840,
7-7,6079,9322,9137,9412,9274,9401,7932,8702,8787,32917,
8-8,6274,9150,9420,9352,9320,8995,8888,7925,9192,32675,
9-9,6155,3677,8996,3702,3792,3714,3877,9021,7800,33244,
10-10,44600,63933,64108,63999,64375,64221,64026,63753,63934,228644,
