,A,2,3,4,5,6,7,8,9,10,
5,[749 4203 751 0],[1068 5529 1003 0],[1019 5643 1016 0],[1104 6114 1089 0],[1118 5931 1104 0],[1092 5955 1022 0],[1110 5947 1104 0],[1097 5861 1074 0],[1123 5826 1149 0],[4025 21164 3958 0],
6,[787 4115 730 0],[970 5334 1031 0],[1071 5771 1088 0],[1020 5257 1044 0],[1052 5659 1066 0],[1101 5590 1096 0],[1064 5607 1051 0],[1108 5581 1113 0],[1037 6122 1059 0],[4014 21374 4001 0],
7,[1456 8240 1482 0],[2087 11609 2119 0],[2092 11391 2095 0],[2088 11470 2092 0],[2121 11372 2132 0],[2157 11832 2127 0],[2135 11688 2206 0],[2204 11626 2155 0],[2164 11793 2159 0],[8114 43431 8033 0],
8,[1514 8476 1523 0],[2233 12058 2161 0],[2161 12096 2199 0],[2247 12597 2216 0],[2271 12185 2369 0],[2169 11916 2401 0],[2252 12326 2207 0],[2238 12381 2191 0],[2194 12390 2198 0],[8358 44860 8338 0],
9,[2363 13084 2377 0],[3366 18236 3369 0],[3382 18313 3610 0],[3275 17117 4690 0],[3236 17509 4314 0],[3421 16791 4915 0],[3353 18325 3240 0],[3364 18527 3360 0],[3406 18973 3377 0],[12443 68878 12529 0],
10,[2263 13823 2473 0],[3413 15473 7361 0],[3435 13595 9225 0],[3431 15440 7721 0],[3515 3552 20034 0],[3429 12042 11108 0],[3343 18444 4404 0],[3537 19095 3791 0],[3539 19662 3733 0],[13048 73312 12960 0],
11,[418 3823 447 0],[530 579 5294 0],[594 586 5375 0],[560 531 5461 0],[595 550 5551 0],[581 579 5479 0],[571 3579 1985 0],[580 4947 834 0],[637 5446 629 0],[2186 19348 2290 0],
12,[5833 33525 6038 0],[8252 44723 9579 0],[8518 42096 13504 0],[9219 32677 22510 0],[11452 31588 20104 0],[12261 31045 20621 0],[8441 46186 9323 0],[8455 47539 8571 0],[8447 48247 8462 0],[31349 177227 31619 0],
13,[6140 36524 6032 0],[10136 45934 13403 0],[15040 26346 25482 0],[17471 24873 25142 0],[36403 9850 20697 0],[19200 10900 37176 0],[8753 48600 10790 0],[8834 51407 9369 0],[8948 52359 9140 0],[33168 195809 33339 0],
14,[5724 34391 5809 0],[13384 32316 18288 0],[30059 13747 18207 0],[36546 8091 14504 0],[39021 7773 11284 0],[39070 7697 11233 0],[8099 30584 25358 0],[8009 45374 10874 0],[8160 49308 8135 0],[30521 184269 30819 0],
15,[6057 35750 7035 0],[39436 8376 19454 0],[42294 8131 13412 0],[44585 8067 10438 0],[41717 7736 8944 0],[37632 7840 14636 0],[8319 9431 49504 0],[8330 44398 16502 0],[8436 50109 11108 0],[31595 192558 36469 0],
16,[5312 21967 18319 0],[42810 7427 9941 0],[41552 7309 8438 0],[41296 7137 7523 0],[40076 7187 7012 0],[37890 6795 6931 0],[7397 7522 45121 0],[7590 10129 47581 0],[7814 15171 43500 0],[34879 140213 70496 0],
17,[29144 5508 13239 0],[46773 7520 7525 0],[43297 7513 7434 0],[41801 7186 7182 0],[40003 7276 7265 0],[40378 7132 7101 0],[44555 7323 7371 0],[10882 7619 47295 0],[38904 8399 20508 0],[192046 29692 37897 0],
